year_month,ptax_avg_brl_per_usd
2012-01-01,1.789014
2012-02-01,1.717758
2012-03-01,1.7947
2012-04-01,1.854225
2012-05-01,1.985386
2012-06-01,2.04857
2012-07-01,2.02815
2012-08-01,2.028865
2012-09-01,2.0275
2012-10-01,2.029282
2012-11-01,2.067195
2012-12-01,2.07724
2013-01-01,2.030477
2013-02-01,1.972678
2013-03-01,1.98227
2013-04-01,2.001632
2013-05-01,2.034267
2013-06-01,2.172375
2013-07-01,2.251561
2013-08-01,2.341595
2013-09-01,2.2699
2013-10-01,2.188057
2013-11-01,2.29471
2013-12-01,2.344862
2014-01-01,2.381605
2014-02-01,2.38309
2014-03-01,2.325495
2014-04-01,2.232175
2014-05-01,2.220281
2014-06-01,2.23486
2014-07-01,2.224022
2014-08-01,2.267424
2014-09-01,2.332255
2014-10-01,2.447643
2014-11-01,2.54773
2014-12-01,2.638736
2015-01-01,2.633619
2015-02-01,2.815839
2015-03-01,3.138864
2015-04-01,3.042595
2015-05-01,3.061075
2015-06-01,3.111124
2015-07-01,3.222509
2015-08-01,3.513695
2015-09-01,3.90581
2015-10-01,3.879505
2015-11-01,3.7758
2015-12-01,3.870495
2016-01-01,4.051715
2016-02-01,3.973116
2016-03-01,3.703309
2016-04-01,3.56524
2016-05-01,3.538686
2016-06-01,3.423877
2016-07-01,3.274967
2016-08-01,3.209057
2016-09-01,3.255771
2016-10-01,3.185245
2016-11-01,3.34143
2016-12-01,3.351668
2017-01-01,3.195986
2017-02-01,3.103589
2017-03-01,3.12733
2017-04-01,3.135572
2017-05-01,3.208705
2017-06-01,3.294767
2017-07-01,3.205538
2017-08-01,3.150313
2017-09-01,3.13419
2017-10-01,3.190638
2017-11-01,3.258735
2017-12-01,3.29131
2018-01-01,3.209986
2018-02-01,3.240906
2018-03-01,3.278614
2018-04-01,3.4069
2018-05-01,3.635462
2018-06-01,3.772571
2018-07-01,3.828136
2018-08-01,3.929157
2018-09-01,4.115947
2018-10-01,3.757805
2018-11-01,3.786015
2018-12-01,3.884405
2019-01-01,3.741055
2019-02-01,3.723025
2019-03-01,3.845884
2019-04-01,3.895557
2019-05-01,4.000918
2019-06-01,3.858226
2019-07-01,3.778713
2019-08-01,4.019382
2019-09-01,4.1209
2019-10-01,4.086387
2019-11-01,4.154725
2019-12-01,4.108924
2020-01-01,4.148864
2020-02-01,4.340411
2020-03-01,4.883218
2020-04-01,5.324985
2020-05-01,5.64285
2020-06-01,5.195995
2020-07-01,5.279596
2020-08-01,5.460633
2020-09-01,5.398881
2020-10-01,5.62519
2020-11-01,5.417235
2020-12-01,5.144945
2021-01-01,5.3556
2021-02-01,5.415894
2021-03-01,5.645548
2021-04-01,5.561535
2021-05-01,5.290448
2021-06-01,5.031305
2021-07-01,5.156027
2021-08-01,5.251123
2021-09-01,5.27909
2021-10-01,5.539375
2021-11-01,5.55626
2021-12-01,5.650604
2022-01-01,5.533505
2022-02-01,5.195979
2022-03-01,4.967782
2022-04-01,4.757416
2022-05-01,4.95445
2022-06-01,5.04861
2022-07-01,5.367476
2022-08-01,5.142696
2022-09-01,5.236357
2022-10-01,5.249695
2022-11-01,5.274055
2022-12-01,5.241832
2023-01-01,5.200082
2023-02-01,5.171089
2023-03-01,5.210861
2023-04-01,5.019133
2023-05-01,4.982241
2023-06-01,4.850967
2023-07-01,4.800233
2023-08-01,4.902943
2023-09-01,4.93639
2023-10-01,5.064243
2023-11-01,4.897735
2023-12-01,4.89664
2024-01-01,4.913795
2024-02-01,4.963789
2024-03-01,4.979535
2024-04-01,5.128486
2024-05-01,5.132448
2024-06-01,5.388375
2024-07-01,5.541448
2024-08-01,5.552014
2024-09-01,5.540967
2024-10-01,5.623509
2024-11-01,5.806458
2024-12-01,6.096395
2025-01-01,6.021173
2025-02-01,5.765045
2025-03-01,5.746216
2025-04-01,5.783085
2025-05-01,5.666781
2025-06-01,5.546455
2025-07-01,5.527887
2025-08-01,5.446324
2025-09-01,5.366809
2025-10-01,5.384926
2025-11-01,5.3552
