period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,region_header,6,G-10 and Luxembourg,,,,,,,,
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,7,BELGIUM,16443.0,162.0,10912.0,928.0,17533.0,1903.0,6795.0,22426.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,8,CANADA,41480.0,7688.0,31909.0,33630.0,82798.0,5315.0,3764.0,81245.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,9,FRANCE,170327.0,175.0,137347.0,2519.0,173021.0,8768.0,16798.0,181052.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,10,GERMANY,118638.0,304.0,77432.0,32952.0,151894.0,8752.0,19418.0,162567.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,11,ITALY,46121.0,243.0,33275.0,3751.0,50115.0,4861.0,2458.0,47709.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,12,JAPAN,62926.0,47897.0,96955.0,172736.0,283559.0,6182.0,18909.0,296288.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,13,LUXEMBOURG,44108.0,721.0,25971.0,4637.0,49466.0,8109.0,2510.0,43863.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,14,NETHERLANDS,80798.0,51.0,34428.0,5964.0,86813.0,15618.0,3101.0,74293.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,15,SWEDEN,23070.0,12.0,18054.0,161.0,23243.0,1870.0,1348.0,22720.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,16,SWITZERLAND,35161.0,6025.0,34018.0,15149.0,56335.0,4389.0,5502.0,57448.0
2015Q2,2015,Q2,Table 2,2,LFI,G-10 and Luxembourg,country_data,17,UNITED KINGDOM,75764.0,113432.0,142886.0,230315.0,419511.0,33118.0,34161.0,420554.0
