period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,region_header,9,G-10 and Luxembourg,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,10,BELGIUM,2307.0,37.0,0.0,37.0,0.0,2344.0,181.0,8.0,107.0,106.0,91.0,91.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,11,CANADA,40846.0,28086.0,2483.0,25603.0,3471.0,72403.0,48511.0,3999.0,375.0,1027.0,208.0,859.0,73.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,12,FRANCE,20561.0,15790.0,442.0,15348.0,204.0,36555.0,11462.0,445.0,2776.0,2775.0,1538.0,1537.0,260.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,13,GERMANY,13016.0,4943.0,64.0,4879.0,118.0,18077.0,2948.0,2061.0,1709.0,1707.0,952.0,950.0,69.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,14,ITALY,845.0,6206.0,79.0,6127.0,0.0,7051.0,1362.0,136.0,3705.0,3702.0,1304.0,1301.0,12.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,15,JAPAN,28342.0,7766.0,125.0,7641.0,32.0,36140.0,657.0,337.0,903.0,912.0,314.0,323.0,10.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,16,LUXEMBOURG,6694.0,706.0,78.0,628.0,52.0,7452.0,1049.0,239.0,190.0,190.0,132.0,132.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,17,NETHERLANDS,4763.0,1691.0,37.0,1654.0,72.0,6526.0,1363.0,455.0,352.0,365.0,278.0,291.0,94.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,18,SWEDEN,2889.0,190.0,4.0,186.0,4.0,3083.0,206.0,118.0,107.0,106.0,100.0,99.0,9.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,19,SWITZERLAND,3984.0,1191.0,41.0,1150.0,89.0,5264.0,1188.0,335.0,56.0,53.0,41.0,39.0,116.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,20,UNITED KINGDOM,29227.0,31819.0,1811.0,30008.0,2007.0,63053.0,25141.0,1160.0,495.0,497.0,385.0,387.0,225.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,subtotal,21,Total,153474.0,98425.0,5164.0,93261.0,6049.0,257948.0,94068.0,9293.0,10775.0,11440.0,5343.0,6009.0,868.0
2015Q3,2015,Q3,Table 1,1,All Others,G-10 and Luxembourg,empty,22,,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,region_header,23,Non G-10 Developed Countries,,,,,,,,,,,,,
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,24,AUSTRALIA,10613.0,13631.0,965.0,12666.0,502.0,24746.0,13577.0,776.0,397.0,397.0,282.0,283.0,33.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,25,AUSTRIA,384.0,58.0,0.0,58.0,0.0,442.0,93.0,0.0,123.0,114.0,82.0,74.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,26,CYPRUS,71.0,80.0,0.0,80.0,0.0,151.0,52.0,5.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,27,DENMARK,725.0,30.0,1.0,29.0,2.0,757.0,58.0,0.0,107.0,107.0,107.0,107.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,28,FINLAND,1603.0,93.0,0.0,93.0,0.0,1696.0,310.0,0.0,82.0,83.0,50.0,51.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,29,GREECE,116.0,0.0,0.0,0.0,0.0,116.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,30,IRELAND,3170.0,553.0,46.0,507.0,1444.0,5167.0,2419.0,132.0,45.0,42.0,33.0,30.0,18.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,31,ISRAEL,753.0,62.0,0.0,62.0,5.0,820.0,544.0,125.0,205.0,206.0,87.0,88.0,47.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,32,NEW ZEALAND,281.0,1743.0,14.0,1729.0,3.0,2027.0,1496.0,9.0,26.0,26.0,24.0,24.0,0.0
2015Q3,2015,Q3,Table 1,1,All Others,Non G-10 Developed Countries,country_data,33,NORWAY,2239.0,97.0,25.0,72.0,8.0,2344.0,118.0,3.0,139.0,141.0,133.0,134.0,17.0
