period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,8,BELGIUM,3737.0,615.0,1586.0,5938.0,3823.0,200.0,6185.0,4568.0,1005.0,11758.0,6522.0,0.0,3711.0,61.0,525.0,4297.0,2628.0,52.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,9,CANADA,22491.0,5800.0,7483.0,35774.0,32376.0,1084.0,18500.0,12331.0,2533.0,33364.0,4234.0,212.0,24156.0,4983.0,6022.0,35161.0,24636.0,780.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,10,FRANCE,55294.0,522.0,14876.0,70692.0,43575.0,13.0,30579.0,876.0,2800.0,34255.0,31845.0,83.0,71639.0,1082.0,3531.0,76252.0,71543.0,22.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,11,GERMANY,30360.0,1009.0,11162.0,42531.0,19855.0,45.0,54914.0,31302.0,11401.0,97617.0,52245.0,0.0,22126.0,3632.0,6892.0,32650.0,22316.0,75.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,12,ITALY,13141.0,1207.0,2231.0,16579.0,14494.0,6.0,17011.0,471.0,19423.0,36905.0,19179.0,2.0,5612.0,1563.0,1337.0,8512.0,5223.0,130.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,13,JAPAN,43017.0,43977.0,4841.0,91835.0,28202.0,39891.0,4804.0,114896.0,3111.0,122811.0,4804.0,6901.0,13986.0,54816.0,7275.0,76077.0,12402.0,7236.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,14,LUXEMBOURG,3446.0,99.0,492.0,4037.0,4234.0,37.0,2316.0,4131.0,14.0,6461.0,2653.0,1.0,21875.0,980.0,4305.0,27160.0,24077.0,301.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,15,NETHERLANDS,11702.0,247.0,4913.0,16862.0,10140.0,32.0,8857.0,7723.0,659.0,17239.0,9120.0,0.0,27272.0,86.0,6850.0,34208.0,28483.0,15.0
2015Q4,2015,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,16,SWEDEN,9125.0,308.0,867.0,10300.0,9198.0,2.0,2544.0,590.0,93.0,3227.0,2465.0,0.0,3853.0,3.0,617.0,4473.0,3875.0,3.0
