period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,9,BELGIUM,777.0,12.0,789.0,12.0,0.0,12.0,0.0,801.0,1004.0,6.0,1010.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,10,CANADA,7196.0,1673.0,8869.0,5854.0,6857.0,12711.0,436.0,22016.0,5981.0,1626.0,7607.0,1301.0,17.0,1318.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,11,FRANCE,1982.0,71.0,2053.0,651.0,444.0,1095.0,25.0,3173.0,1977.0,64.0,2041.0,11.0,0.0,11.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,12,GERMANY,2210.0,389.0,2599.0,556.0,269.0,825.0,4.0,3428.0,2118.0,388.0,2506.0,1.0,0.0,1.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,13,ITALY,111.0,32.0,143.0,652.0,470.0,1122.0,0.0,1265.0,52.0,24.0,76.0,15.0,0.0,15.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,14,JAPAN,937.0,215.0,1152.0,985.0,1514.0,2499.0,3.0,3654.0,213.0,218.0,431.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,15,LUXEMBOURG,3013.0,51.0,3064.0,16.0,0.0,16.0,8.0,3088.0,3055.0,34.0,3089.0,12.0,0.0,12.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,16,NETHERLANDS,4502.0,38.0,4540.0,994.0,98.0,1092.0,63.0,5695.0,5922.0,34.0,5956.0,828.0,0.0,828.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,17,SWEDEN,452.0,9.0,461.0,72.0,164.0,236.0,10.0,707.0,385.0,9.0,394.0,1.0,0.0,1.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,18,SWITZERLAND,1141.0,104.0,1245.0,231.0,0.0,231.0,12.0,1488.0,899.0,122.0,1021.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,19,UNITED KINGDOM,6223.0,599.0,6822.0,2930.0,5656.0,8586.0,533.0,15941.0,6004.0,605.0,6609.0,475.0,41.0,516.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Non G-10 Developed Countries,country_data,23,AUSTRALIA,1398.0,80.0,1478.0,2191.0,1681.0,3872.0,16.0,5366.0,1435.0,89.0,1524.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Non G-10 Developed Countries,country_data,24,AUSTRIA,177.0,7.0,184.0,31.0,30.0,61.0,0.0,245.0,188.0,7.0,195.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Non G-10 Developed Countries,country_data,25,CYPRUS,44.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,2017,Q2,Table 4.2,4.2,All Others,Non G-10 Developed Countries,country_data,26,DENMARK,99.0,2.0,101.0,21.0,0.0,21.0,0.0,122.0,64.0,2.0,66.0,0.0,0.0,0.0
