period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,region_header,9,G-10 and Luxembourg,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,10,BELGIUM,19820.0,5018.0,879.0,4139.0,2319.0,27157.0,4044.0,440.0,21940.0,23315.0,11203.0,12580.0,198.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,11,CANADA,93728.0,57394.0,10130.0,47264.0,18216.0,169338.0,81837.0,12847.0,31795.0,31572.0,16037.0,15706.0,190.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,12,FRANCE,166168.0,15190.0,307.0,14883.0,15074.0,196432.0,88233.0,3881.0,244639.0,245955.0,121648.0,122979.0,643.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,13,GERMANY,214078.0,98773.0,496.0,98277.0,23731.0,336582.0,46875.0,6486.0,210996.0,218943.0,105178.0,113134.0,1139.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,14,ITALY,38331.0,6146.0,762.0,5384.0,18466.0,62943.0,8893.0,1145.0,231423.0,239345.0,63503.0,71329.0,220.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,15,JAPAN,119856.0,264371.0,51110.0,213261.0,14552.0,398779.0,88881.0,4518.0,126496.0,131813.0,57332.0,62592.0,363.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,16,LUXEMBOURG,51300.0,13941.0,2283.0,11658.0,5352.0,70593.0,10891.0,3029.0,34868.0,35576.0,16013.0,16721.0,851.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,17,NETHERLANDS,58318.0,11179.0,894.0,10285.0,12911.0,82408.0,23000.0,3997.0,119611.0,121239.0,58501.0,60125.0,1367.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,18,SWEDEN,25423.0,1141.0,6.0,1135.0,1200.0,27764.0,6120.0,199.0,38266.0,37911.0,20690.0,20336.0,245.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,19,SWITZERLAND,81663.0,24112.0,6571.0,17541.0,5371.0,111146.0,15943.0,4899.0,71186.0,70565.0,39783.0,39115.0,1880.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,country_data,20,UNITED KINGDOM,140371.0,357880.0,102153.0,255727.0,56915.0,555166.0,130654.0,15302.0,319049.0,402413.0,163206.0,164125.0,1789.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,subtotal,21,Total,1009056.0,855145.0,175591.0,679554.0,174107.0,2038308.0,505371.0,56743.0,1450269.0,1558647.0,673094.0,698742.0,8885.0
2017Q3,2017,Q3,Table 1,1,All Banks,G-10 and Luxembourg,empty,22,,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,region_header,23,Non G-10 Developed Countries,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,24,AUSTRALIA,28854.0,65618.0,3172.0,62446.0,4893.0,99365.0,27171.0,1960.0,55013.0,55624.0,26824.0,27441.0,412.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,25,AUSTRIA,12254.0,62.0,1.0,61.0,650.0,12966.0,1514.0,158.0,13198.0,13849.0,6065.0,6716.0,206.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,26,CYPRUS,2577.0,0.0,0.0,0.0,132.0,2709.0,253.0,16.0,512.0,472.0,199.0,160.0,6.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,27,DENMARK,9561.0,260.0,73.0,187.0,1958.0,11779.0,3852.0,148.0,14713.0,14671.0,8196.0,8155.0,46.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,28,FINLAND,10726.0,124.0,0.0,124.0,536.0,11386.0,1614.0,198.0,20139.0,20150.0,9980.0,9971.0,103.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,29,GREECE,10251.0,193.0,0.0,193.0,958.0,11402.0,1337.0,187.0,3742.0,3657.0,2124.0,2038.0,33.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,30,IRELAND,68789.0,10286.0,1214.0,9072.0,3981.0,83056.0,9043.0,1531.0,16982.0,17439.0,8880.0,9307.0,111.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,31,ISRAEL,5151.0,1384.0,256.0,1128.0,1045.0,7580.0,1930.0,498.0,3684.0,3704.0,1755.0,1755.0,127.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,32,NEW ZEALAND,2121.0,1642.0,5.0,1637.0,444.0,4207.0,1049.0,90.0,2798.0,2902.0,1668.0,1775.0,14.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,33,NORWAY,19883.0,214.0,99.0,115.0,661.0,20758.0,3115.0,149.0,13297.0,13296.0,7150.0,7151.0,101.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,34,PORTUGAL,5198.0,55.0,18.0,37.0,170.0,5423.0,649.0,94.0,25188.0,24394.0,11013.0,10217.0,44.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,35,SLOVAKIA,232.0,326.0,211.0,115.0,11.0,569.0,49.0,34.0,1789.0,1824.0,717.0,751.0,0.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,36,SPAIN,33676.0,3055.0,159.0,2896.0,2894.0,39625.0,7627.0,1614.0,83792.0,84982.0,34092.0,35283.0,545.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,country_data,37,OTHER NON G-10 DEV.,4493.0,0.0,0.0,0.0,461.0,4954.0,403.0,67.0,1037.0,943.0,514.0,418.0,0.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,subtotal,38,Total,213766.0,83219.0,5208.0,78011.0,18794.0,315779.0,59606.0,6744.0,255884.0,257907.0,119177.0,121138.0,1748.0
2017Q3,2017,Q3,Table 1,1,All Banks,Non G-10 Developed Countries,empty,39,,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,region_header,40,Eastern Europe,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,41,BULGARIA,51.0,244.0,69.0,175.0,4.0,299.0,23.0,73.0,2465.0,2455.0,1010.0,1000.0,3.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,42,CZECH REPUBLIC,6454.0,2906.0,334.0,2572.0,145.0,9505.0,1739.0,312.0,1437.0,1407.0,731.0,700.0,16.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,43,HUNGARY,1510.0,2095.0,270.0,1825.0,51.0,3656.0,421.0,309.0,4340.0,4346.0,1594.0,1600.0,23.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,44,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,45,POLAND,3210.0,10731.0,3.0,10728.0,198.0,14139.0,4225.0,602.0,4712.0,4932.0,1709.0,1930.0,98.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,46,ROMANIA,431.0,1566.0,364.0,1202.0,11.0,2008.0,85.0,149.0,1784.0,1799.0,840.0,857.0,14.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,47,RUSSIA,6069.0,6133.0,541.0,5592.0,195.0,12397.0,1992.0,315.0,45368.0,44934.0,17354.0,16854.0,206.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,48,TURKEY,14515.0,3178.0,691.0,2487.0,882.0,18575.0,411.0,213.0,40586.0,38331.0,15905.0,13642.0,3161.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,country_data,49,OTHER E. EUROPE,1521.0,535.0,6.0,529.0,24.0,2080.0,112.0,52.0,8480.0,8684.0,4044.0,4250.0,160.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,subtotal,50,Total,33761.0,27388.0,2278.0,25110.0,1510.0,62659.0,9008.0,2025.0,109172.0,106888.0,43187.0,40833.0,3681.0
2017Q3,2017,Q3,Table 1,1,All Banks,Eastern Europe,empty,51,,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,region_header,52,Latin America and Caribbean,,,,,,,,,,,,,
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,53,ANGUILLA,3295.0,0.0,0.0,0.0,55.0,3350.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,54,ARGENTINA,2909.0,3632.0,538.0,3094.0,35.0,6576.0,622.0,89.0,2946.0,2961.0,2334.0,2333.0,184.0
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,55,BRAZIL,47451.0,34399.0,1320.0,33079.0,1692.0,83542.0,5565.0,2045.0,42897.0,47480.0,14330.0,18793.0,7090.0
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,56,CHILE,8629.0,2602.0,1.0,2601.0,1032.0,12263.0,787.0,167.0,5545.0,6042.0,2443.0,2918.0,3903.0
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,57,COLOMBIA,5934.0,3679.0,24.0,3655.0,332.0,9945.0,2032.0,385.0,10731.0,11470.0,3633.0,4349.0,1174.0
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,58,COSTA RICA,780.0,526.0,246.0,280.0,26.0,1332.0,59.0,120.0,17.0,11.0,17.0,11.0,342.0
2017Q3,2017,Q3,Table 1,1,All Banks,Latin America and Caribbean,country_data,59,DOMINICAN REPUBLIC,1104.0,406.0,74.0,332.0,1.0,1511.0,19.0,121.0,0.0,5.0,0.0,5.0,353.0
