period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,8,BELGIUM,32551.0,9308.0,41859.0,18744.0,-13020.0,2047.0,7640.0,2224.0,1529.0,0.0,822.0,1529.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,9,CANADA,6081.0,27702.0,33783.0,40710.0,16083.0,11873.0,17315.0,3148.0,23276.0,0.0,7307.0,23276.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,10,FRANCE,478.0,4854.0,5332.0,60412.0,8670.0,13521.0,44598.0,11943.0,84000.0,14.0,44278.0,84000.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,11,GERMANY,20508.0,54752.0,75260.0,115922.0,46802.0,24898.0,41045.0,12992.0,31014.0,18.0,13907.0,31014.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,12,ITALY,240.0,3159.0,3399.0,38591.0,1110.0,2527.0,24822.0,9670.0,6009.0,18.0,1491.0,6009.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,13,JAPAN,4973.0,70236.0,75209.0,86541.0,207500.0,5847.0,99426.0,28914.0,151149.0,0.0,65241.0,151149.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,14,LUXEMBOURG,20562.0,14006.0,34568.0,87069.0,-19958.0,2259.0,10408.0,1323.0,12755.0,9.0,722.0,12755.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,15,NETHERLANDS,27880.0,7161.0,35041.0,59919.0,-31244.0,8043.0,18424.0,2317.0,5870.0,0.0,1638.0,5870.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,16,SWEDEN,639.0,935.0,1574.0,10833.0,-915.0,1955.0,6900.0,1423.0,6866.0,0.0,2638.0,6866.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,17,SWITZERLAND,8333.0,1946.0,10279.0,40146.0,14248.0,1937.0,7904.0,193.0,4179.0,0.0,362.0,4179.0
2017Q4,2017,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,966877.0,251521.0,1218398.0,299376.0,226610.0,25233.0,69304.0,14159.0,102094.0,0.0,48253.0,102094.0
2017Q4,2017,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,22,AUSTRALIA,2909.0,53211.0,56120.0,69813.0,10815.0,12923.0,26109.0,3509.0,6746.0,3.0,3424.0,6746.0
2017Q4,2017,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,23,AUSTRIA,4.0,81.0,85.0,7326.0,-128.0,3628.0,5631.0,2886.0,1323.0,0.0,613.0,1323.0
2017Q4,2017,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,2293.0,-1.0,0.0,1264.0,12.0,238.0,0.0,153.0,238.0
2017Q4,2017,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,25,DENMARK,2276.0,1121.0,3397.0,9892.0,-3208.0,28.0,2926.0,79.0,4873.0,0.0,408.0,4873.0
2017Q4,2017,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,26,FINLAND,482.0,961.0,1443.0,5453.0,-1251.0,2386.0,4618.0,1948.0,1368.0,0.0,766.0,1368.0
