period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,region_header,8,G-10 and Luxembourg,,,,,,,,,,,,,,
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,9,BELGIUM,6738.0,34.0,6772.0,235.0,90.0,325.0,213.0,7310.0,6111.0,45.0,6156.0,140.0,0.0,140.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,10,CANADA,20894.0,2221.0,23115.0,23210.0,9439.0,32649.0,2970.0,58734.0,20293.0,2005.0,22298.0,8214.0,20.0,8234.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,11,FRANCE,21204.0,691.0,21895.0,8075.0,1886.0,9961.0,862.0,32718.0,20316.0,696.0,21012.0,187.0,5.0,192.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,12,GERMANY,35455.0,852.0,36307.0,2203.0,637.0,2840.0,2007.0,41154.0,30946.0,1651.0,32597.0,791.0,10.0,801.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,13,ITALY,8476.0,387.0,8863.0,2790.0,1388.0,4178.0,487.0,13528.0,7267.0,380.0,7647.0,517.0,26.0,543.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,14,JAPAN,22925.0,320.0,23245.0,27454.0,2013.0,29467.0,648.0,53360.0,19461.0,289.0,19750.0,1403.0,0.0,1403.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,15,LUXEMBOURG,15418.0,491.0,15909.0,1418.0,0.0,1418.0,1670.0,18997.0,18552.0,258.0,18810.0,38.0,0.0,38.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,16,NETHERLANDS,29957.0,74.0,30031.0,1077.0,740.0,1817.0,1664.0,33512.0,36568.0,80.0,36648.0,850.0,0.0,850.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,17,SWEDEN,5345.0,48.0,5393.0,69.0,225.0,294.0,147.0,5834.0,5235.0,55.0,5290.0,1.0,0.0,1.0
2018Q1,2018,Q1,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,18,SWITZERLAND,14560.0,423.0,14983.0,3065.0,2045.0,5110.0,1460.0,21553.0,13357.0,378.0,13735.0,3517.0,1841.0,5358.0
