period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,8,BELGIUM,17136.0,6200.0,23336.0,15696.0,155.0,2542.0,6680.0,986.0,996.0,0.0,379.0,996.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,9,CANADA,5046.0,27045.0,32091.0,36733.0,17762.0,8587.0,17112.0,2481.0,22240.0,0.0,11660.0,22240.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,10,FRANCE,705.0,5003.0,5708.0,54023.0,10917.0,11528.0,38099.0,5748.0,90026.0,4.0,43801.0,90026.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,11,GERMANY,21312.0,61368.0,82680.0,103688.0,78369.0,22091.0,38126.0,7217.0,25838.0,0.0,14859.0,25838.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,12,ITALY,195.0,3197.0,3392.0,37129.0,712.0,2898.0,26882.0,7419.0,9154.0,0.0,3397.0,9154.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,13,JAPAN,4841.0,66377.0,71218.0,79981.0,259430.0,6192.0,114256.0,19899.0,164857.0,0.0,81072.0,164857.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,14,LUXEMBOURG,25366.0,15587.0,40953.0,76345.0,-31379.0,1361.0,11289.0,583.0,13669.0,0.0,826.0,13669.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,15,NETHERLANDS,27104.0,7715.0,34819.0,57508.0,-25547.0,6450.0,18410.0,1393.0,2503.0,0.0,386.0,2503.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,16,SWEDEN,607.0,1088.0,1695.0,12841.0,-1627.0,1304.0,5726.0,284.0,4316.0,0.0,2782.0,4316.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,17,SWITZERLAND,7327.0,1936.0,9263.0,36426.0,24534.0,1743.0,6849.0,266.0,4712.0,0.0,336.0,4712.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,1024135.0,218654.0,1242789.0,242199.0,196884.0,19502.0,71413.0,9761.0,90124.0,4.0,44328.0,90124.0
