period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,8,BELGIUM,13379.0,6124.0,19503.0,16764.0,9819.0,2271.0,6517.0,1055.0,2396.0,0.0,128.0,2396.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,9,CANADA,8645.0,31015.0,39660.0,49335.0,29505.0,16963.0,21641.0,3610.0,35290.0,458.0,13055.0,34627.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,10,FRANCE,2775.0,5821.0,8596.0,62096.0,18728.0,11468.0,45704.0,8484.0,79397.0,254.0,38337.0,79395.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,11,GERMANY,23289.0,66310.0,89599.0,112459.0,85347.0,25645.0,37344.0,5319.0,77444.0,9.0,18614.0,77198.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,12,ITALY,254.0,3645.0,3899.0,52529.0,1236.0,3125.0,32037.0,8574.0,9218.0,78.0,2774.0,9215.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,13,JAPAN,4343.0,75991.0,80334.0,85524.0,250323.0,12789.0,113127.0,17925.0,173729.0,5.0,97124.0,173721.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,14,LUXEMBOURG,44860.0,19602.0,64462.0,77213.0,-41165.0,1547.0,12426.0,1529.0,21619.0,81.0,1147.0,21388.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,15,NETHERLANDS,30937.0,9325.0,40262.0,54914.0,-29478.0,7318.0,17645.0,1390.0,2952.0,0.0,702.0,2896.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,16,SWEDEN,10.0,351.0,361.0,16485.0,-22.0,3171.0,9938.0,210.0,3180.0,6.0,2379.0,3089.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,17,SWITZERLAND,7530.0,1918.0,9448.0,36088.0,22502.0,2178.0,9323.0,337.0,25990.0,80.0,16137.0,25965.0
2019Q2,2019,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,1066837.0,225012.0,1291849.0,270982.0,231664.0,24944.0,78819.0,15051.0,100179.0,299.0,47114.0,97521.0
2019Q2,2019,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,22,AUSTRALIA,9109.0,53464.0,62573.0,74882.0,20633.0,13080.0,28229.0,2515.0,6791.0,67.0,4067.0,6729.0
2019Q2,2019,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,23,AUSTRIA,4.0,115.0,119.0,5723.0,-34.0,2831.0,3917.0,1528.0,362.0,1.0,85.0,362.0
2019Q2,2019,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,2987.0,0.0,0.0,1417.0,15.0,373.0,3.0,139.0,342.0
2019Q2,2019,Q2,Table 3,3,All Banks,Non G-10 Developed Countries,country_data,25,DENMARK,1.0,248.0,249.0,10528.0,176.0,167.0,3422.0,127.0,4175.0,0.0,881.0,4152.0
