period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,region_header,8,G-10 and Luxembourg,,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,9,BELGIUM,266.0,12.0,278.0,70.0,83.0,153.0,0.0,431.0,293.0,9.0,302.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,10,CANADA,8309.0,2514.0,10823.0,6306.0,7525.0,13831.0,754.0,25408.0,7480.0,2501.0,9981.0,1407.0,21.0,1428.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,11,FRANCE,1395.0,82.0,1477.0,729.0,758.0,1487.0,2.0,2966.0,1629.0,68.0,1697.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,12,GERMANY,2718.0,558.0,3276.0,646.0,562.0,1208.0,0.0,4484.0,2516.0,559.0,3075.0,4.0,0.0,4.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,13,ITALY,111.0,38.0,149.0,641.0,703.0,1344.0,0.0,1493.0,64.0,27.0,91.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,14,JAPAN,1559.0,315.0,1874.0,1723.0,2400.0,4123.0,4.0,6001.0,631.0,310.0,941.0,0.0,0.0,0.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,15,LUXEMBOURG,2338.0,55.0,2393.0,3.0,0.0,3.0,41.0,2437.0,1931.0,17.0,1948.0,1.0,0.0,1.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,16,NETHERLANDS,3419.0,22.0,3441.0,1035.0,185.0,1220.0,146.0,4807.0,4312.0,16.0,4328.0,867.0,0.0,867.0
2019Q4,2019,Q4,Table 4.2,4.2,All Others,G-10 and Luxembourg,country_data,17,SWEDEN,279.0,275.0,554.0,41.0,139.0,180.0,0.0,734.0,263.0,274.0,537.0,0.0,0.0,0.0
