period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,region_header,9,G-10 and Luxembourg,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,10,BELGIUM,26251.0,9888.0,661.0,9227.0,1847.0,37986.0,3562.0,453.0,14857.0,16937.0,7015.0,9096.0,228.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,11,CANADA,58569.0,46457.0,8361.0,38096.0,16226.0,121252.0,40738.0,11038.0,25888.0,23992.0,13806.0,11910.0,581.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,12,FRANCE,134224.0,23818.0,411.0,23407.0,16789.0,174831.0,173507.0,3131.0,200727.0,215045.0,88832.0,104037.0,702.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,13,GERMANY,112933.0,123293.0,1803.0,121490.0,28840.0,265066.0,42870.0,3250.0,162053.0,170879.0,73793.0,82619.0,1138.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,14,ITALY,55202.0,5360.0,1089.0,4271.0,19520.0,80082.0,6603.0,565.0,174911.0,183786.0,45387.0,54279.0,586.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,15,JAPAN,104596.0,329268.0,49583.0,279685.0,6307.0,440171.0,61931.0,4565.0,103667.0,104492.0,41289.0,42112.0,1141.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,16,LUXEMBOURG,48532.0,11828.0,3364.0,8464.0,6217.0,66577.0,18162.0,2443.0,29979.0,32197.0,15102.0,17320.0,1154.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,17,NETHERLANDS,49591.0,12169.0,63.0,12106.0,10360.0,72120.0,21816.0,3738.0,110285.0,119833.0,51634.0,61181.0,964.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,18,SWEDEN,19331.0,68.0,11.0,57.0,771.0,20170.0,5100.0,252.0,27303.0,28691.0,14699.0,16087.0,107.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,19,SWITZERLAND,29328.0,29718.0,5193.0,24525.0,5594.0,64640.0,15512.0,3897.0,58500.0,60517.0,27731.0,29745.0,878.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,country_data,20,UNITED KINGDOM,69941.0,309173.0,77736.0,231437.0,53079.0,432193.0,91347.0,7292.0,263886.0,275319.0,127007.0,138447.0,2811.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,subtotal,21,Total,708498.0,901040.0,148275.0,752765.0,165550.0,1775088.0,481148.0,40624.0,1172056.0,1231688.0,506295.0,566833.0,10290.0
2019Q4,2019,Q4,Table 1,1,LFI,G-10 and Luxembourg,empty,22,,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,region_header,23,Non G-10 Developed Countries,,,,,,,,,,,,,
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,24,AUSTRALIA,25966.0,66740.0,2497.0,64243.0,4298.0,97004.0,20696.0,1854.0,36687.0,36521.0,18694.0,18528.0,446.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,25,AUSTRIA,9399.0,0.0,0.0,0.0,491.0,9890.0,1981.0,56.0,5951.0,6918.0,2725.0,3690.0,17.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,26,CYPRUS,2188.0,0.0,0.0,0.0,49.0,2237.0,117.0,33.0,28.0,26.0,26.0,25.0,1.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,27,DENMARK,9078.0,345.0,1.0,344.0,2222.0,11645.0,3105.0,166.0,14572.0,15689.0,7696.0,8812.0,173.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,28,FINLAND,13651.0,24.0,0.0,24.0,1096.0,14771.0,2238.0,253.0,12403.0,13257.0,6454.0,7306.0,132.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,29,GREECE,6200.0,211.0,0.0,211.0,2649.0,9060.0,214.0,119.0,4929.0,5536.0,2820.0,3427.0,3.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,30,IRELAND,79354.0,4985.0,687.0,4298.0,4303.0,88642.0,14750.0,1750.0,9192.0,9672.0,5534.0,6014.0,242.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,31,ISRAEL,4871.0,1214.0,115.0,1099.0,572.0,6657.0,1266.0,259.0,2511.0,2516.0,1188.0,1192.0,70.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,32,NEW ZEALAND,1909.0,1217.0,54.0,1163.0,785.0,3911.0,477.0,48.0,1168.0,1137.0,727.0,697.0,5.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,33,NORWAY,11697.0,111.0,0.0,111.0,486.0,12294.0,3386.0,104.0,9539.0,10839.0,4550.0,5850.0,46.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,34,PORTUGAL,3451.0,32.0,0.0,32.0,448.0,3931.0,784.0,124.0,10077.0,9142.0,5328.0,4392.0,110.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,35,SLOVAKIA,528.0,187.0,8.0,179.0,30.0,745.0,21.0,44.0,225.0,328.0,138.0,240.0,2.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,36,SPAIN,37541.0,1649.0,223.0,1426.0,2508.0,41698.0,6520.0,1643.0,63558.0,65758.0,25887.0,28087.0,750.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,country_data,37,OTHER NON G-10 DEV.,19162.0,0.0,0.0,0.0,409.0,19571.0,901.0,5.0,331.0,523.0,216.0,408.0,0.0
2019Q4,2019,Q4,Table 1,1,LFI,Non G-10 Developed Countries,subtotal,38,Total,224995.0,76715.0,3585.0,73130.0,20346.0,322056.0,56456.0,6458.0,171171.0,177862.0,81983.0,88668.0,1997.0
