period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,10,BELGIUM,19823.0,2298.0,10.0,2288.0,1270.0,23391.0,3953.0,432.0,14842.0,16136.0,5793.0,7088.0,128.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,11,CANADA,60148.0,52408.0,9338.0,43070.0,9171.0,121727.0,41905.0,10074.0,20224.0,20192.0,9083.0,9050.0,473.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,12,FRANCE,150761.0,22523.0,388.0,22135.0,18492.0,191776.0,218319.0,2912.0,210762.0,221234.0,72792.0,83265.0,1034.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,13,GERMANY,131573.0,145130.0,1098.0,144032.0,29121.0,305824.0,52652.0,2893.0,169233.0,175790.0,61203.0,67758.0,1058.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,14,ITALY,54613.0,5724.0,1195.0,4529.0,18746.0,79083.0,7573.0,565.0,165304.0,172538.0,39530.0,46762.0,518.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,15,JAPAN,121284.0,313526.0,33270.0,280256.0,10195.0,445005.0,83324.0,5582.0,99221.0,100768.0,38102.0,39648.0,516.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,16,LUXEMBOURG,53196.0,13188.0,2267.0,10921.0,4684.0,71068.0,20934.0,2741.0,27809.0,29579.0,11500.0,13271.0,340.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,17,NETHERLANDS,51938.0,11034.0,11.0,11023.0,9419.0,72391.0,24018.0,3197.0,116697.0,123182.0,41440.0,47926.0,820.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,18,SWEDEN,18082.0,723.0,1.0,722.0,820.0,19625.0,5579.0,196.0,27348.0,28111.0,10855.0,11619.0,52.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,19,SWITZERLAND,28886.0,29799.0,6388.0,23411.0,7231.0,65916.0,16240.0,5086.0,59662.0,58890.0,22645.0,21867.0,1389.0
2020Q3,2020,Q3,Table 1,1,LFI,G-10 and Luxembourg,country_data,20,UNITED KINGDOM,63091.0,336395.0,76073.0,260322.0,64560.0,464046.0,89187.0,9835.0,278012.0,285652.0,106755.0,114391.0,2410.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,24,AUSTRALIA,23286.0,84684.0,3271.0,81413.0,6184.0,114154.0,22263.0,1530.0,31052.0,31411.0,15953.0,16310.0,124.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,25,AUSTRIA,8730.0,3.0,1.0,2.0,467.0,9200.0,2173.0,42.0,6216.0,7216.0,2259.0,3257.0,42.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,26,CYPRUS,1880.0,0.0,0.0,0.0,133.0,2013.0,53.0,33.0,2.0,7.0,0.0,5.0,18.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,27,DENMARK,10625.0,338.0,1.0,337.0,2024.0,12987.0,4636.0,128.0,15467.0,16313.0,5824.0,6670.0,353.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,28,FINLAND,11491.0,32.0,0.0,32.0,725.0,12248.0,1793.0,235.0,12839.0,13574.0,4825.0,5558.0,56.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,29,GREECE,2008.0,262.0,0.0,262.0,2401.0,4671.0,106.0,444.0,6286.0,7229.0,2727.0,3669.0,51.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,30,IRELAND,71740.0,8951.0,2121.0,6830.0,4281.0,84972.0,16666.0,2580.0,7341.0,8236.0,3479.0,4374.0,344.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,31,ISRAEL,4981.0,1387.0,196.0,1191.0,601.0,6969.0,1233.0,281.0,2620.0,2679.0,1405.0,1465.0,58.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,32,NEW ZEALAND,2412.0,1640.0,50.0,1590.0,476.0,4528.0,585.0,32.0,681.0,731.0,421.0,472.0,4.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,33,NORWAY,12489.0,72.0,0.0,72.0,333.0,12894.0,3197.0,135.0,9944.0,10852.0,3381.0,4289.0,26.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,34,PORTUGAL,1827.0,25.0,0.0,25.0,540.0,2392.0,522.0,128.0,7188.0,6421.0,3682.0,2914.0,52.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,35,SLOVAKIA,433.0,273.0,5.0,268.0,22.0,728.0,72.0,51.0,88.0,130.0,57.0,99.0,0.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,36,SPAIN,35620.0,1577.0,165.0,1412.0,3010.0,40207.0,6746.0,2146.0,64476.0,66255.0,22157.0,23936.0,520.0
2020Q3,2020,Q3,Table 1,1,LFI,Non G-10 Developed Countries,country_data,37,OTHER NON G-10 DEV.,16664.0,0.0,0.0,0.0,93.0,16757.0,736.0,20.0,290.0,317.0,169.0,196.0,4.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,41,BULGARIA,38.0,593.0,279.0,314.0,11.0,642.0,15.0,70.0,86.0,30.0,85.0,29.0,0.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,42,CZECH REPUBLIC,3432.0,2950.0,268.0,2682.0,257.0,6639.0,783.0,284.0,128.0,101.0,64.0,37.0,2.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,43,HUNGARY,1322.0,1638.0,331.0,1307.0,188.0,3148.0,293.0,169.0,774.0,746.0,443.0,416.0,7.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,44,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,45,POLAND,3016.0,11551.0,1074.0,10477.0,702.0,15269.0,3356.0,641.0,557.0,667.0,281.0,391.0,97.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,46,ROMANIA,430.0,2211.0,545.0,1666.0,22.0,2663.0,58.0,179.0,415.0,341.0,198.0,124.0,3.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,47,RUSSIA,4527.0,7411.0,1377.0,6034.0,504.0,12442.0,1944.0,768.0,19171.0,19709.0,8111.0,8649.0,200.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,48,TURKEY,9213.0,2402.0,406.0,1996.0,774.0,12389.0,221.0,205.0,29401.0,29135.0,9923.0,9656.0,509.0
2020Q3,2020,Q3,Table 1,1,LFI,Eastern Europe,country_data,49,OTHER E. EUROPE,3239.0,686.0,2.0,684.0,83.0,4008.0,86.0,189.0,2024.0,3735.0,1171.0,2883.0,24.0
2020Q3,2020,Q3,Table 1,1,LFI,Latin America and Caribbean,country_data,53,ANGUILLA,706.0,0.0,0.0,0.0,138.0,844.0,802.0,16.0,0.0,0.0,0.0,0.0,0.0
2020Q3,2020,Q3,Table 1,1,LFI,Latin America and Caribbean,country_data,54,ARGENTINA,1594.0,3935.0,421.0,3514.0,6.0,5535.0,183.0,76.0,706.0,667.0,374.0,335.0,126.0
