period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,9,BELGIUM,3020.0,66.0,3086.0,14.0,92.0,106.0,193.0,3385.0,2918.0,96.0,3014.0,0.0,3.0,3.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,10,CANADA,24579.0,3059.0,27638.0,23306.0,7417.0,30723.0,2245.0,60606.0,20138.0,2783.0,22921.0,7773.0,33.0,7806.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,11,FRANCE,23548.0,391.0,23939.0,11012.0,1570.0,12582.0,2104.0,38625.0,21392.0,445.0,21837.0,971.0,10.0,981.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,12,GERMANY,32589.0,728.0,33317.0,4171.0,809.0,4980.0,7098.0,45395.0,27721.0,1132.0,28853.0,50.0,95.0,145.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,13,ITALY,8629.0,263.0,8892.0,2651.0,1440.0,4091.0,402.0,13385.0,7784.0,235.0,8019.0,213.0,42.0,255.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,14,JAPAN,24294.0,493.0,24787.0,42996.0,2228.0,45224.0,876.0,70887.0,19900.0,394.0,20294.0,1195.0,0.0,1195.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,15,LUXEMBOURG,13606.0,23.0,13629.0,1855.0,0.0,1855.0,1185.0,16669.0,22279.0,12.0,22291.0,408.0,0.0,408.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,16,NETHERLANDS,23859.0,122.0,23981.0,143.0,195.0,338.0,1594.0,25913.0,28095.0,164.0,28259.0,56.0,0.0,56.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,17,SWEDEN,13691.0,367.0,14058.0,16.0,79.0,95.0,112.0,14265.0,13629.0,364.0,13993.0,1.0,0.0,1.0
2021Q2,2021,Q2,Table 4.2,4.2,All Banks,G-10 and Luxembourg,country_data,18,SWITZERLAND,15669.0,721.0,16390.0,559.0,2233.0,2792.0,926.0,20108.0,13893.0,539.0,14432.0,557.0,1509.0,2066.0
