period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,8,BELGIUM,6204.0,53.0,464.0,6721.0,6344.0,0.0,6558.0,903.0,253.0,7714.0,6433.0,0.0,3499.0,52.0,69.0,3620.0,3495.0,14.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,9,CANADA,27470.0,6061.0,3531.0,37062.0,24350.0,1055.0,7339.0,25279.0,344.0,32962.0,7236.0,18.0,46823.0,11713.0,1963.0,60499.0,47305.0,1176.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,10,FRANCE,26240.0,1789.0,6563.0,34592.0,24958.0,68.0,28806.0,43112.0,3471.0,75389.0,26980.0,3.0,134637.0,10592.0,4243.0,149472.0,135637.0,1774.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,11,GERMANY,14388.0,3659.0,4679.0,22726.0,14309.0,422.0,31322.0,187350.0,6372.0,225044.0,25116.0,9.0,25858.0,15317.0,5398.0,46573.0,29650.0,1614.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,12,ITALY,11671.0,119.0,1688.0,13478.0,11518.0,91.0,22059.0,741.0,12202.0,35002.0,21871.0,0.0,6533.0,1670.0,1185.0,9388.0,6957.0,404.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,13,JAPAN,55800.0,36457.0,2589.0,94846.0,45407.0,28908.0,27949.0,113158.0,2264.0,143371.0,27882.0,40.0,10951.0,127125.0,4020.0,142096.0,9315.0,656.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,14,LUXEMBOURG,1031.0,236.0,86.0,1353.0,2232.0,144.0,214.0,8258.0,31.0,8503.0,212.0,0.0,60606.0,2784.0,8516.0,71906.0,62763.0,1778.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,15,NETHERLANDS,7566.0,46.0,4561.0,12173.0,5157.0,0.0,5985.0,9476.0,496.0,15957.0,5614.0,19.0,14300.0,65.0,2869.0,17234.0,14203.0,32.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,16,SWEDEN,8580.0,9.0,224.0,8813.0,9420.0,0.0,840.0,1035.0,48.0,1923.0,694.0,0.0,4678.0,10.0,521.0,5209.0,4965.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,17,SWITZERLAND,6330.0,113.0,1252.0,7695.0,3968.0,77.0,879.0,26068.0,85.0,27032.0,738.0,11.0,7919.0,4490.0,1164.0,13573.0,6794.0,4677.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,7879.0,23982.0,5729.0,37590.0,5821.0,25170.0,4994.0,150312.0,15195.0,170501.0,4785.0,10130.0,32782.0,127925.0,31537.0,192244.0,32990.0,26437.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,subtotal,19,Total,173159.0,72524.0,31366.0,277049.0,153484.0,55935.0,136945.0,565692.0,40761.0,743398.0,127561.0,10230.0,348586.0,301743.0,61485.0,711814.0,354074.0,38562.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,22,AUSTRALIA,5557.0,9866.0,1304.0,16727.0,5315.0,222.0,3137.0,46678.0,357.0,50172.0,3137.0,3.0,10244.0,21486.0,3303.0,35033.0,10252.0,956.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,23,AUSTRIA,1567.0,0.0,148.0,1715.0,1542.0,0.0,6528.0,2.0,135.0,6665.0,6508.0,0.0,593.0,4.0,73.0,670.0,606.0,3.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,24,CYPRUS,31.0,0.0,8.0,39.0,30.0,0.0,68.0,0.0,0.0,68.0,68.0,0.0,1968.0,0.0,170.0,2138.0,1582.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,LFI,Non G-10 Developed Countries,country_data,25,DENMARK,2434.0,7.0,640.0,3081.0,1661.0,0.0,946.0,414.0,431.0,1791.0,471.0,1.0,1426.0,9.0,1312.0,2747.0,1491.0,0.0
