period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,region_header,8,G-10 and Luxembourg,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,9,BELGIUM,3253.0,58.0,3311.0,1.0,59.0,60.0,240.0,3611.0,2942.0,87.0,3029.0,0.0,3.0,3.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,10,CANADA,16833.0,511.0,17344.0,17048.0,720.0,17768.0,2756.0,37868.0,13518.0,274.0,13792.0,5078.0,0.0,5078.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,11,FRANCE,23360.0,135.0,23495.0,8291.0,933.0,9224.0,1886.0,34605.0,21162.0,215.0,21377.0,611.0,10.0,621.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,12,GERMANY,30208.0,229.0,30437.0,3304.0,328.0,3632.0,5999.0,40068.0,25182.0,637.0,25819.0,64.0,86.0,150.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,13,ITALY,8407.0,244.0,8651.0,3998.0,914.0,4912.0,1280.0,14843.0,7392.0,231.0,7623.0,262.0,37.0,299.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,14,JAPAN,23007.0,192.0,23199.0,43568.0,1.0,43569.0,1612.0,68380.0,19334.0,118.0,19452.0,2204.0,0.0,2204.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,15,LUXEMBOURG,14203.0,7.0,14210.0,2811.0,1.0,2812.0,1195.0,18217.0,22590.0,8.0,22598.0,501.0,1.0,502.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,16,NETHERLANDS,22975.0,105.0,23080.0,123.0,128.0,251.0,1756.0,25087.0,26445.0,144.0,26589.0,45.0,0.0,45.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,17,SWEDEN,8381.0,63.0,8444.0,16.0,0.0,16.0,182.0,8642.0,8316.0,65.0,8381.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,18,SWITZERLAND,15559.0,378.0,15937.0,507.0,1669.0,2176.0,1707.0,19820.0,15707.0,321.0,16028.0,534.0,1202.0,1736.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,19,UNITED KINGDOM,20816.0,4618.0,25434.0,50862.0,3904.0,54766.0,9104.0,89304.0,19094.0,4194.0,23288.0,14727.0,963.0,15690.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,subtotal,20,Total,187002.0,6540.0,193542.0,130529.0,8657.0,139186.0,27717.0,360445.0,181682.0,6294.0,187976.0,24026.0,2302.0,26328.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,G-10 and Luxembourg,empty,21,,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,region_header,22,Non G-10 Developed Countries,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,23,AUSTRALIA,4898.0,221.0,5119.0,12134.0,8207.0,20341.0,1081.0,26541.0,4443.0,228.0,4671.0,2212.0,0.0,2212.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,24,AUSTRIA,1431.0,17.0,1448.0,0.0,0.0,0.0,592.0,2040.0,1812.0,50.0,1862.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,25,CYPRUS,916.0,105.0,1021.0,0.0,0.0,0.0,8.0,1029.0,982.0,77.0,1059.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,26,DENMARK,3915.0,66.0,3981.0,1.0,0.0,1.0,682.0,4664.0,3798.0,6.0,3804.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,27,FINLAND,4162.0,40.0,4202.0,2.0,0.0,2.0,127.0,4331.0,3944.0,7.0,3951.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,28,GREECE,693.0,68.0,761.0,141.0,0.0,141.0,47.0,949.0,673.0,68.0,741.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,29,IRELAND,13144.0,92.0,13236.0,3278.0,3.0,3281.0,1144.0,17661.0,13474.0,104.0,13578.0,1833.0,0.0,1833.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,30,ISRAEL,4383.0,144.0,4527.0,158.0,0.0,158.0,374.0,5059.0,4011.0,212.0,4223.0,123.0,0.0,123.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,31,NEW ZEALAND,919.0,22.0,941.0,190.0,0.0,190.0,55.0,1186.0,910.0,22.0,932.0,13.0,0.0,13.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,32,NORWAY,3188.0,121.0,3309.0,0.0,0.0,0.0,430.0,3739.0,3151.0,203.0,3354.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,33,PORTUGAL,1011.0,47.0,1058.0,1.0,0.0,1.0,792.0,1851.0,1047.0,46.0,1093.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,34,SLOVAKIA,155.0,0.0,155.0,104.0,0.0,104.0,250.0,509.0,187.0,0.0,187.0,3.0,0.0,3.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,35,SPAIN,13867.0,476.0,14343.0,558.0,112.0,670.0,3240.0,18253.0,12675.0,448.0,13123.0,124.0,0.0,124.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,36,OTHER NON G-10 DEV.,267.0,207.0,474.0,2.0,0.0,2.0,22.0,498.0,273.0,175.0,448.0,0.0,0.0,0.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,subtotal,37,Total,52949.0,1626.0,54575.0,16569.0,8322.0,24891.0,8844.0,88310.0,51380.0,1646.0,53026.0,4308.0,0.0,4308.0
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Non G-10 Developed Countries,empty,38,,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Eastern Europe,region_header,39,Eastern Europe,,,,,,,,,,,,,,
2021Q4,2021,Q4,Table 4.2,4.2,LFI,Eastern Europe,country_data,40,BULGARIA,86.0,4.0,90.0,29.0,0.0,29.0,24.0,143.0,100.0,4.0,104.0,38.0,0.0,38.0
