period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,8,BELGIUM,7310.0,720.0,464.0,8494.0,7470.0,407.0,6843.0,8996.0,270.0,16109.0,6512.0,0.0,3594.0,55.0,69.0,3718.0,3660.0,14.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,9,CANADA,44131.0,13279.0,3973.0,61383.0,39625.0,2091.0,17708.0,26675.0,356.0,44739.0,17513.0,790.0,60912.0,12588.0,2030.0,75530.0,61730.0,1222.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,10,FRANCE,50164.0,1795.0,7037.0,58996.0,44823.0,68.0,31725.0,43699.0,3479.0,78903.0,29042.0,3.0,136924.0,10598.0,4566.0,152088.0,137829.0,1774.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,11,GERMANY,48680.0,3786.0,4969.0,57435.0,21258.0,435.0,39445.0,206649.0,6372.0,252466.0,31757.0,9.0,27275.0,15593.0,5409.0,48277.0,30672.0,1718.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,12,ITALY,12169.0,304.0,1688.0,14161.0,11739.0,92.0,23612.0,983.0,12202.0,36797.0,23424.0,0.0,6543.0,1671.0,1185.0,9399.0,6967.0,404.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,13,JAPAN,72791.0,42649.0,2633.0,118073.0,52920.0,33912.0,29856.0,120147.0,2269.0,152272.0,29788.0,40.0,15010.0,127317.0,4082.0,146409.0,13075.0,656.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,14,LUXEMBOURG,1296.0,403.0,86.0,1785.0,2553.0,254.0,307.0,13853.0,31.0,14191.0,295.0,0.0,72894.0,3079.0,8890.0,84863.0,73827.0,1994.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,15,NETHERLANDS,9646.0,74.0,4583.0,14303.0,6792.0,5.0,7529.0,13723.0,496.0,21748.0,6841.0,40.0,15267.0,164.0,2874.0,18305.0,15000.0,39.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,16,SWEDEN,10617.0,9.0,224.0,10850.0,10479.0,0.0,2693.0,1045.0,48.0,3786.0,2667.0,0.0,5370.0,39.0,521.0,5930.0,5660.0,2.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,17,SWITZERLAND,54278.0,207.0,1294.0,55779.0,4938.0,79.0,5671.0,26068.0,85.0,31824.0,1059.0,11.0,10319.0,4697.0,1356.0,16372.0,7218.0,4685.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,50402.0,29819.0,7632.0,87853.0,76099.0,34887.0,7228.0,192666.0,15195.0,215089.0,5225.0,10140.0,48876.0,146057.0,32476.0,227409.0,49173.0,29630.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,22,AUSTRALIA,10572.0,11579.0,1353.0,23504.0,10695.0,238.0,3142.0,48995.0,357.0,52494.0,3137.0,3.0,10841.0,21661.0,4235.0,36737.0,10811.0,973.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,23,AUSTRIA,1930.0,1.0,148.0,2079.0,1903.0,0.0,7594.0,3.0,135.0,7732.0,7574.0,0.0,606.0,5.0,74.0,685.0,609.0,3.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,24,CYPRUS,31.0,0.0,8.0,39.0,30.0,0.0,68.0,0.0,0.0,68.0,68.0,0.0,2008.0,0.0,170.0,2178.0,1622.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,25,DENMARK,2951.0,7.0,646.0,3604.0,2640.0,0.0,1336.0,414.0,431.0,2181.0,585.0,1.0,1622.0,9.0,1312.0,2943.0,1671.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,26,FINLAND,7434.0,21.0,465.0,7920.0,6443.0,0.0,4314.0,3.0,125.0,4442.0,4038.0,0.0,696.0,2.0,199.0,897.0,710.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,27,GREECE,1458.0,0.0,656.0,2114.0,1456.0,0.0,1196.0,4.0,729.0,1929.0,1196.0,0.0,447.0,69.0,0.0,516.0,447.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,28,IRELAND,2134.0,883.0,271.0,3288.0,5354.0,584.0,1676.0,14014.0,44.0,15734.0,1689.0,68.0,77440.0,5066.0,6944.0,89450.0,85675.0,2143.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,29,ISRAEL,1268.0,60.0,140.0,1468.0,1287.0,8.0,3591.0,2476.0,106.0,6173.0,3636.0,6.0,1589.0,30.0,508.0,2127.0,1745.0,0.0
2021Q4,2021,Q4,Table 4.1,4.1,All Banks,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,584.0,161.0,98.0,843.0,617.0,0.0,564.0,1201.0,226.0,1991.0,561.0,0.0,762.0,11.0,291.0,1064.0,832.0,0.0
