period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,10,BELGIUM,17994.0,9871.0,376.0,9495.0,907.0,28772.0,5478.0,227.0,12847.0,14264.0,4958.0,6376.0,179.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,11,CANADA,152683.0,79352.0,10164.0,69188.0,8536.0,240571.0,89337.0,16872.0,23850.0,26229.0,9712.0,12101.0,463.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,12,FRANCE,205681.0,63326.0,866.0,62460.0,15430.0,284437.0,247275.0,5687.0,199407.0,211522.0,70404.0,82517.0,626.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,13,GERMANY,165534.0,202420.0,954.0,201466.0,28777.0,396731.0,73128.0,4391.0,151340.0,160296.0,53940.0,62895.0,944.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,14,ITALY,42993.0,9326.0,718.0,8608.0,15057.0,67376.0,6821.0,1486.0,148104.0,154583.0,37177.0,43656.0,244.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,15,JAPAN,144767.0,293073.0,34281.0,258792.0,12392.0,450232.0,55528.0,7427.0,76359.0,78938.0,30873.0,33451.0,269.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,16,LUXEMBOURG,83532.0,18566.0,1621.0,16945.0,7389.0,109487.0,36352.0,3409.0,23134.0,25568.0,9910.0,12339.0,810.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,17,NETHERLANDS,52235.0,12507.0,104.0,12403.0,8155.0,72897.0,35472.0,4113.0,108122.0,115604.0,39165.0,46647.0,700.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,18,SWEDEN,25314.0,969.0,1.0,968.0,889.0,27172.0,9645.0,373.0,22694.0,24297.0,8775.0,10379.0,24.0
2022Q1,2022,Q1,Table 1,1,All Banks,G-10 and Luxembourg,country_data,19,SWITZERLAND,84255.0,36448.0,6847.0,29601.0,3920.0,124623.0,18946.0,6017.0,52085.0,54197.0,20395.0,22556.0,1354.0
