period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,7,BELGIUM,18112.0,380.0,14622.0,9486.0,27978.0,1634.0,1519.0,27865.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,8,CANADA,143907.0,11120.0,120393.0,70507.0,225534.0,10883.0,17391.0,232035.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,9,FRANCE,198602.0,844.0,179678.0,62464.0,261910.0,3730.0,10821.0,269007.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,10,GERMANY,134494.0,2179.0,103018.0,199935.0,336608.0,11971.0,43321.0,367954.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,11,ITALY,41751.0,717.0,35877.0,8736.0,51204.0,756.0,1874.0,52319.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,12,JAPAN,119073.0,34637.0,126446.0,257510.0,411220.0,4024.0,30650.0,437840.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,13,LUXEMBOURG,101817.0,1641.0,73138.0,16802.0,120260.0,24364.0,6206.0,102098.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,14,NETHERLANDS,50624.0,110.0,33232.0,12410.0,63144.0,8801.0,10403.0,64742.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,15,SWEDEN,25799.0,4.0,21654.0,966.0,26769.0,2961.0,2477.0,26283.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,16,SWITZERLAND,29580.0,6944.0,30515.0,29596.0,66120.0,4196.0,63247.0,120703.0
2022Q1,2022,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,17,UNITED KINGDOM,150252.0,97039.0,178562.0,361947.0,609238.0,61740.0,39033.0,586419.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,21,AUSTRALIA,30216.0,3554.0,22633.0,115660.0,149430.0,5806.0,3619.0,147208.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,22,AUSTRIA,8508.0,1.0,5255.0,92.0,8601.0,703.0,545.0,8445.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,23,CYPRUS,3382.0,0.0,3047.0,0.0,3382.0,98.0,574.0,3857.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,24,DENMARK,6790.0,3.0,5857.0,420.0,7213.0,786.0,2597.0,9018.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,25,FINLAND,9198.0,0.0,6695.0,89.0,9287.0,114.0,694.0,9870.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,26,GREECE,2936.0,0.0,1994.0,230.0,3166.0,170.0,39.0,3034.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,27,IRELAND,110268.0,3183.0,79156.0,16911.0,130362.0,20367.0,5353.0,115351.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,28,ISRAEL,12690.0,153.0,9520.0,2600.0,15443.0,469.0,694.0,15665.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,29,NEW ZEALAND,4254.0,12.0,3304.0,2333.0,6599.0,544.0,130.0,6185.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,30,NORWAY,19552.0,3.0,16572.0,85.0,19640.0,1250.0,1785.0,20175.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,31,PORTUGAL,3817.0,5.0,2915.0,35.0,3857.0,140.0,64.0,3783.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,32,SLOVAKIA,1172.0,6.0,1081.0,195.0,1373.0,89.0,26.0,1309.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,33,SPAIN,37099.0,131.0,28148.0,1581.0,38811.0,921.0,2173.0,40059.0
2022Q1,2022,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,34,OTHER NON G-10 DEV.,37937.0,0.0,37417.0,2.0,37939.0,508.0,196.0,37627.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,38,BULGARIA,212.0,276.0,388.0,362.0,850.0,64.0,2.0,789.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,39,CZECH REPUBLIC,4311.0,321.0,4232.0,3526.0,8158.0,198.0,34.0,7996.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,40,HUNGARY,1418.0,266.0,1544.0,1230.0,2914.0,476.0,103.0,2541.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,41,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,42,POLAND,3725.0,1140.0,4097.0,10907.0,15772.0,747.0,371.0,15393.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,43,ROMANIA,762.0,322.0,957.0,1745.0,2829.0,259.0,26.0,2595.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,44,RUSSIA,7410.0,1392.0,7373.0,7012.0,15814.0,565.0,485.0,15736.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,45,TURKEY,9418.0,768.0,7942.0,1183.0,11369.0,1054.0,991.0,11302.0
2022Q1,2022,Q1,Table 2,2,All Banks,Eastern Europe,country_data,46,OTHER E. EUROPE,2218.0,108.0,2098.0,980.0,3306.0,373.0,292.0,3225.0
2022Q1,2022,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,50,ANGUILLA,1311.0,0.0,1305.0,0.0,1311.0,933.0,38.0,416.0
2022Q1,2022,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,51,ARGENTINA,2054.0,634.0,1875.0,5156.0,7844.0,973.0,207.0,7068.0
2022Q1,2022,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,52,BRAZIL,40150.0,3337.0,33106.0,41446.0,84933.0,7194.0,9566.0,87280.0
2022Q1,2022,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,53,CHILE,7699.0,99.0,6267.0,2799.0,10597.0,807.0,622.0,10412.0
2022Q1,2022,Q1,Table 2,2,All Banks,Latin America and Caribbean,country_data,54,COLOMBIA,4796.0,6.0,3485.0,3369.0,8171.0,1024.0,424.0,7564.0
