period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,8,BELGIUM,930.0,1009.0,1.0,1940.0,1045.0,673.0,237.0,7180.0,4.0,7421.0,68.0,0.0,90.0,15.0,0.0,105.0,128.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,9,CANADA,22231.0,4919.0,1034.0,28184.0,17552.0,1108.0,3430.0,1377.0,14.0,4821.0,3430.0,755.0,13296.0,987.0,552.0,14835.0,13416.0,80.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,10,FRANCE,23990.0,15.0,565.0,24570.0,12340.0,0.0,3226.0,540.0,0.0,3766.0,2505.0,0.0,1466.0,6.0,360.0,1832.0,1365.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,11,GERMANY,36454.0,548.0,473.0,37475.0,7688.0,9.0,7863.0,24197.0,11.0,32071.0,6622.0,0.0,1296.0,942.0,9.0,2247.0,1038.0,712.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,12,ITALY,101.0,73.0,0.0,174.0,91.0,0.0,557.0,165.0,6.0,728.0,557.0,0.0,12.0,0.0,0.0,12.0,11.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,13,JAPAN,16426.0,4661.0,87.0,21174.0,7751.0,3503.0,6622.0,5435.0,7.0,12064.0,6622.0,0.0,5768.0,181.0,106.0,6055.0,5397.0,1.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,14,LUXEMBOURG,798.0,873.0,120.0,1791.0,1024.0,196.0,70.0,4566.0,0.0,4636.0,61.0,0.0,6123.0,339.0,454.0,6916.0,4528.0,263.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,15,NETHERLANDS,1481.0,19.0,7.0,1507.0,1116.0,5.0,1141.0,100.0,1.0,1242.0,928.0,20.0,764.0,168.0,46.0,978.0,675.0,32.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,16,SWEDEN,2396.0,0.0,0.0,2396.0,909.0,0.0,1555.0,1.0,0.0,1556.0,1678.0,0.0,415.0,2.0,1.0,418.0,414.0,2.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,17,SWITZERLAND,51281.0,120.0,174.0,51575.0,1357.0,3.0,465.0,0.0,0.0,465.0,337.0,0.0,1580.0,200.0,5.0,1785.0,617.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,34947.0,8764.0,1570.0,45281.0,68891.0,11345.0,2032.0,31866.0,0.0,33898.0,670.0,10.0,24548.0,15702.0,4255.0,44505.0,19829.0,2905.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,22,AUSTRALIA,4835.0,1356.0,171.0,6362.0,4770.0,21.0,0.0,1047.0,0.0,1047.0,0.0,0.0,420.0,100.0,1808.0,2328.0,469.0,9.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,23,AUSTRIA,228.0,1.0,0.0,229.0,228.0,0.0,1042.0,2.0,0.0,1044.0,1042.0,0.0,13.0,1.0,0.0,14.0,8.0,0.0
2022Q4,2022,Q4,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
