period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,8,BELGIUM,1999.0,2038.0,4037.0,1338.0,16205.0,266.0,14.0,2.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,9,CANADA,2495.0,4295.0,6790.0,6239.0,-6528.0,14880.0,1124.0,96.0,8704.0,466.0,670.0,8302.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,10,FRANCE,4.0,415.0,419.0,580.0,953.0,4781.0,278.0,20.0,6702.0,1.0,51.0,6664.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,11,GERMANY,577.0,5054.0,5631.0,5811.0,9834.0,8899.0,478.0,15.0,23133.0,0.0,29.0,23104.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,12,ITALY,2.0,1151.0,1153.0,4424.0,699.0,446.0,95.0,3.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,13,JAPAN,49.0,4885.0,4934.0,5018.0,5459.0,3674.0,6546.0,43.0,11689.0,2.0,4043.0,11677.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,14,LUXEMBOURG,10441.0,7174.0,17615.0,17142.0,-9239.0,275.0,130.0,2.0,231.0,0.0,168.0,63.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,15,NETHERLANDS,1327.0,2172.0,3499.0,5187.0,1876.0,2779.0,280.0,20.0,167.0,0.0,144.0,23.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,16,SWEDEN,1.0,49.0,50.0,1158.0,68.0,1520.0,39.0,1.0,75.0,0.0,0.0,75.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,17,SWITZERLAND,1.0,22.0,23.0,397.0,261.0,1219.0,882.0,147.0,1121.0,0.0,21.0,1100.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,73166.0,39449.0,112615.0,52866.0,-28964.0,9916.0,1153.0,77.0,25379.0,135.0,735.0,25138.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,subtotal,19,Total,90062.0,66704.0,156766.0,100160.0,-9376.0,48655.0,11019.0,426.0,77201.0,604.0,5861.0,76146.0
2023Q1,2023,Q1,Table 3,3,All Others,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,22,AUSTRALIA,4665.0,5235.0,9900.0,9917.0,820.0,4447.0,122.0,27.0,651.0,0.0,643.0,628.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,23,AUSTRIA,0.0,66.0,66.0,235.0,28.0,1128.0,0.0,0.0,52.0,0.0,52.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,25,DENMARK,0.0,2.0,2.0,2191.0,7.0,410.0,8.0,0.0,25.0,0.0,25.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,26,FINLAND,0.0,2.0,2.0,959.0,64.0,1055.0,17.0,11.0,5.0,0.0,0.0,5.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,27,GREECE,0.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Non G-10 Developed Countries,country_data,28,IRELAND,6503.0,5622.0,12125.0,21366.0,-7291.0,396.0,276.0,3.0,2489.0,0.0,63.0,2426.0
