period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,7,BELGIUM,1949.0,879.0,2090.0,9140.0,11968.0,371.0,263.0,11847.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,8,CANADA,45251.0,4588.0,22367.0,16687.0,66526.0,4800.0,9583.0,71243.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,9,FRANCE,16055.0,0.0,11714.0,1666.0,17721.0,751.0,13298.0,30266.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,10,GERMANY,18840.0,18.0,8478.0,15968.0,34826.0,2612.0,28228.0,60439.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,11,ITALY,678.0,0.0,207.0,1972.0,2650.0,89.0,104.0,2664.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,12,JAPAN,22727.0,4006.0,24422.0,7106.0,33839.0,1363.0,10049.0,42529.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,13,LUXEMBOURG,9026.0,165.0,5447.0,5902.0,15093.0,2000.0,2961.0,16052.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,14,NETHERLANDS,5501.0,22.0,1147.0,4228.0,9751.0,1476.0,1665.0,9935.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,15,SWEDEN,3110.0,2.0,1812.0,116.0,3228.0,290.0,1370.0,4308.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,16,SWITZERLAND,5048.0,3.0,4030.0,270.0,5321.0,540.0,41798.0,46485.0
2023Q1,2023,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,17,UNITED KINGDOM,92170.0,12993.0,81019.0,50918.0,156081.0,37978.0,14920.0,133003.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,21,AUSTRALIA,6124.0,88.0,2037.0,9642.0,15854.0,1035.0,1139.0,15891.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,22,AUSTRIA,1267.0,0.0,407.0,100.0,1367.0,45.0,62.0,1384.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,23,CYPRUS,11.0,0.0,7.0,0.0,11.0,0.0,10.0,21.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,24,DENMARK,1127.0,0.0,538.0,9.0,1136.0,581.0,396.0,951.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,25,FINLAND,1156.0,0.0,229.0,75.0,1231.0,51.0,445.0,1626.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,26,GREECE,68.0,0.0,41.0,0.0,68.0,46.0,54.0,76.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,27,IRELAND,10525.0,162.0,6497.0,4612.0,15299.0,4057.0,2464.0,13708.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,28,ISRAEL,1888.0,0.0,1306.0,2.0,1890.0,116.0,151.0,1911.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,29,NEW ZEALAND,695.0,0.0,421.0,350.0,1045.0,366.0,47.0,726.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,30,NORWAY,2543.0,4.0,1053.0,49.0,2596.0,525.0,717.0,2789.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,31,PORTUGAL,293.0,2.0,111.0,0.0,295.0,54.0,0.0,242.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,32,SLOVAKIA,8.0,0.0,7.0,0.0,8.0,5.0,3.0,6.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,33,SPAIN,1709.0,17.0,852.0,595.0,2321.0,226.0,522.0,2616.0
2023Q1,2023,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,34,OTHER NON G-10 DEV.,209.0,0.0,68.0,0.0,209.0,22.0,96.0,284.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,38,BULGARIA,12.0,0.0,9.0,0.0,12.0,9.0,0.0,3.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,39,CZECH REPUBLIC,152.0,0.0,148.0,0.0,152.0,60.0,14.0,106.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,40,HUNGARY,128.0,17.0,121.0,25.0,170.0,81.0,42.0,131.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,41,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,42,POLAND,356.0,1.0,340.0,240.0,597.0,182.0,61.0,476.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,43,ROMANIA,88.0,0.0,87.0,0.0,88.0,85.0,55.0,58.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,44,RUSSIA,362.0,0.0,350.0,25.0,387.0,1.0,1.0,387.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,45,TURKEY,215.0,0.0,81.0,0.0,215.0,87.0,22.0,150.0
2023Q1,2023,Q1,Table 2,2,All Others,Eastern Europe,country_data,46,OTHER E. EUROPE,122.0,0.0,63.0,0.0,122.0,48.0,9.0,83.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,50,ANGUILLA,132.0,0.0,131.0,0.0,132.0,10.0,0.0,122.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,51,ARGENTINA,632.0,190.0,395.0,684.0,1506.0,454.0,170.0,1222.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,52,BRAZIL,4642.0,127.0,3082.0,607.0,5376.0,856.0,1042.0,5545.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,53,CHILE,1861.0,1.0,1147.0,13.0,1875.0,365.0,113.0,1624.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,54,COLOMBIA,1037.0,0.0,676.0,0.0,1037.0,272.0,277.0,1041.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,55,COSTA RICA,219.0,0.0,174.0,0.0,219.0,92.0,36.0,162.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,56,DOMINICAN REPUBLIC,627.0,0.0,368.0,0.0,627.0,175.0,9.0,258.0
2023Q1,2023,Q1,Table 2,2,All Others,Latin America and Caribbean,country_data,57,ECUADOR,439.0,0.0,251.0,3.0,442.0,227.0,64.0,267.0
