period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,8,BELGIUM,1106.0,1087.0,1.0,2194.0,1237.0,660.0,218.0,8053.0,4.0,8275.0,86.0,0.0,40.0,23.0,0.0,63.0,86.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,9,CANADA,24654.0,3315.0,723.0,28692.0,14978.0,574.0,1678.0,1511.0,6.0,3195.0,1678.0,806.0,10718.0,171.0,161.0,11050.0,10358.0,34.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,10,FRANCE,37118.0,17.0,770.0,37905.0,10510.0,0.0,3154.0,531.0,1.0,3686.0,2579.0,0.0,1516.0,6.0,399.0,1921.0,1371.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,11,GERMANY,50646.0,39.0,266.0,50951.0,5668.0,4.0,7618.0,21904.0,6.0,29528.0,5915.0,0.0,1110.0,15.0,0.0,1125.0,870.0,3.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,12,ITALY,158.0,72.0,0.0,230.0,97.0,0.0,374.0,168.0,6.0,548.0,374.0,0.0,560.0,0.0,0.0,560.0,560.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,13,JAPAN,16199.0,4358.0,531.0,21088.0,7251.0,3003.0,3090.0,6467.0,9.0,9566.0,3090.0,0.0,4366.0,155.0,29.0,4550.0,4182.0,2.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,14,LUXEMBOURG,730.0,195.0,0.0,925.0,1058.0,98.0,75.0,5512.0,0.0,5587.0,67.0,0.0,3935.0,154.0,88.0,4177.0,2917.0,85.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,15,NETHERLANDS,1310.0,35.0,15.0,1360.0,1163.0,4.0,1147.0,55.0,1.0,1203.0,925.0,15.0,530.0,117.0,15.0,662.0,456.0,4.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,16,SWEDEN,2025.0,0.0,0.0,2025.0,783.0,0.0,1405.0,1.0,0.0,1406.0,1532.0,0.0,56.0,1.0,3.0,60.0,59.0,1.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,17,SWITZERLAND,37419.0,40.0,276.0,37735.0,2548.0,4.0,488.0,22.0,0.0,510.0,338.0,0.0,2728.0,236.0,1.0,2965.0,666.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,38931.0,5570.0,803.0,45304.0,87244.0,8935.0,2157.0,23125.0,5.0,25287.0,790.0,8.0,19847.0,13381.0,1254.0,34482.0,19281.0,2271.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,subtotal,19,Total,210296.0,14728.0,3385.0,228409.0,132537.0,13282.0,21404.0,67349.0,38.0,88791.0,17374.0,829.0,45406.0,14259.0,1950.0,61615.0,40806.0,2400.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,,,,,,,
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,22,AUSTRALIA,5730.0,1269.0,141.0,7140.0,4297.0,18.0,0.0,2543.0,0.0,2543.0,0.0,0.0,396.0,267.0,318.0,981.0,456.0,40.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,23,AUSTRIA,12.0,0.0,0.0,12.0,8.0,0.0,919.0,1.0,0.0,920.0,918.0,0.0,212.0,1.0,0.0,213.0,208.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,25,DENMARK,157.0,2.0,11.0,170.0,779.0,0.0,325.0,0.0,0.0,325.0,45.0,0.0,199.0,0.0,1.0,200.0,156.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,26,FINLAND,118.0,1.0,0.0,119.0,45.0,0.0,848.0,0.0,0.0,848.0,729.0,0.0,273.0,0.0,0.0,273.0,273.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,27,GREECE,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,28,IRELAND,185.0,348.0,0.0,533.0,68.0,287.0,84.0,4784.0,2.0,4870.0,83.0,0.0,7843.0,246.0,104.0,8193.0,12823.0,137.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,29,ISRAEL,616.0,3.0,0.0,619.0,656.0,1.0,212.0,0.0,2.0,214.0,215.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,265.0,13.0,1.0,279.0,294.0,0.0,3.0,7.0,0.0,10.0,3.0,0.0,14.0,0.0,0.0,14.0,38.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,31,NORWAY,1292.0,4.0,6.0,1302.0,1181.0,0.0,1124.0,1.0,0.0,1125.0,652.0,0.0,726.0,5.0,11.0,742.0,726.0,3.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,32,PORTUGAL,3.0,0.0,0.0,3.0,8.0,0.0,157.0,0.0,0.0,157.0,157.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,33,SLOVAKIA,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q2,2023,Q2,Table 4.1,4.1,All Others,Non G-10 Developed Countries,country_data,34,SPAIN,550.0,230.0,892.0,1672.0,343.0,0.0,448.0,50.0,0.0,498.0,448.0,0.0,177.0,0.0,0.0,177.0,174.0,0.0
