period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_on_Banking_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Public_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents,Claims_on_Non_Bank_Financial_Sector_Ultimate_Risk_Claims_2_Cross_Border_Claims,Claims_on_Local_Residents,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims,Claims_on_Local_Residents
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,8,BELGIUM,7938.0,77.0,99.0,8114.0,8097.0,0.0,8230.0,81.0,133.0,8444.0,8176.0,0.0,3626.0,33.0,410.0,4069.0,3658.0,6.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,9,CANADA,26151.0,5997.0,2386.0,34534.0,23074.0,977.0,11263.0,24041.0,413.0,35717.0,11055.0,16.0,38753.0,10864.0,2404.0,52021.0,39068.0,1467.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,10,FRANCE,40656.0,1064.0,4406.0,46126.0,39048.0,69.0,28400.0,11522.0,5943.0,45865.0,26107.0,0.0,119116.0,14215.0,3949.0,137280.0,120249.0,1850.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,11,GERMANY,13601.0,6415.0,2648.0,22664.0,13522.0,938.0,22442.0,214865.0,8601.0,245908.0,17063.0,7.0,38175.0,28541.0,18090.0,84806.0,41537.0,353.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,12,ITALY,14308.0,365.0,741.0,15414.0,14042.0,34.0,31229.0,338.0,2834.0,34401.0,31038.0,0.0,6985.0,2608.0,1132.0,10725.0,7027.0,173.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,13,JAPAN,61527.0,34770.0,4712.0,101009.0,53739.0,26102.0,18371.0,150296.0,2259.0,170926.0,18136.0,1.0,16556.0,144337.0,4825.0,165718.0,15467.0,539.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,14,LUXEMBOURG,864.0,193.0,48.0,1105.0,2910.0,140.0,71.0,1235.0,22.0,1328.0,70.0,0.0,57190.0,2493.0,4839.0,64522.0,62592.0,1408.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,15,NETHERLANDS,5988.0,274.0,2223.0,8485.0,2921.0,58.0,5344.0,8422.0,2475.0,16241.0,5159.0,0.0,13052.0,108.0,3363.0,16523.0,15165.0,4.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,16,SWEDEN,6648.0,1.0,235.0,6884.0,7810.0,0.0,670.0,516.0,14.0,1200.0,591.0,0.0,3385.0,8.0,460.0,3853.0,3380.0,7.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,17,SWITZERLAND,11406.0,171.0,1296.0,12873.0,9794.0,134.0,2311.0,27011.0,1.0,29323.0,2142.0,11.0,6837.0,5526.0,698.0,13061.0,6186.0,5538.0
2023Q2,2023,Q2,Table 4.1,4.1,LFI,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,9410.0,17226.0,3495.0,30131.0,7242.0,14669.0,3093.0,174361.0,14570.0,192024.0,2819.0,10306.0,45283.0,105716.0,22098.0,173097.0,44739.0,42338.0
