period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,7,BELGIUM,22894.0,5.0,20010.0,168.0,23067.0,799.0,965.0,23230.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,8,CANADA,89216.0,12584.0,80895.0,54258.0,156058.0,8478.0,12896.0,160475.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,9,FRANCE,195938.0,580.0,171825.0,35334.0,231852.0,4569.0,7896.0,235179.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,10,GERMANY,84426.0,1690.0,72113.0,235802.0,321918.0,7237.0,14709.0,329389.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,11,ITALY,64944.0,389.0,56648.0,6690.0,72023.0,1073.0,1321.0,72273.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,12,JAPAN,100905.0,24118.0,100722.0,287678.0,412701.0,1305.0,16217.0,427608.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,13,LUXEMBOURG,94961.0,2260.0,63931.0,3413.0,100634.0,21777.0,4382.0,83235.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,14,NETHERLANDS,49426.0,179.0,37149.0,10492.0,60097.0,8432.0,7016.0,58682.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,15,SWEDEN,17552.0,15.0,14584.0,156.0,17723.0,2025.0,1204.0,16899.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,16,SWITZERLAND,34448.0,6374.0,36574.0,22462.0,63284.0,2926.0,4814.0,65169.0
2023Q3,2023,Q3,Table 2,2,LFI,G-10 and Luxembourg,country_data,17,UNITED KINGDOM,75243.0,76271.0,104393.0,277557.0,429071.0,24252.0,26621.0,431378.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,21,AUSTRALIA,25196.0,4101.0,21149.0,66003.0,95300.0,4693.0,3931.0,94539.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,22,AUSTRIA,12534.0,0.0,10019.0,2.0,12536.0,686.0,584.0,12435.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,23,CYPRUS,1842.0,0.0,1094.0,0.0,1842.0,201.0,414.0,2053.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,24,DENMARK,9797.0,2.0,9236.0,400.0,10199.0,461.0,1267.0,11007.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,25,FINLAND,11220.0,0.0,10117.0,9.0,11229.0,235.0,1965.0,12958.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,26,GREECE,5016.0,0.0,4662.0,154.0,5170.0,73.0,14.0,5113.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,27,IRELAND,83804.0,3977.0,55590.0,22127.0,109908.0,6890.0,3946.0,106970.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,28,ISRAEL,18736.0,181.0,17285.0,3728.0,22645.0,344.0,512.0,22812.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,29,NEW ZEALAND,4010.0,0.0,3658.0,1935.0,5945.0,232.0,119.0,5831.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,30,NORWAY,15424.0,0.0,14313.0,47.0,15471.0,155.0,709.0,16024.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,31,PORTUGAL,4125.0,0.0,3738.0,24.0,4149.0,94.0,90.0,4145.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,32,SLOVAKIA,2001.0,0.0,1922.0,199.0,2200.0,56.0,11.0,2154.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,33,SPAIN,47278.0,146.0,37405.0,1008.0,48432.0,633.0,1932.0,49730.0
2023Q3,2023,Q3,Table 2,2,LFI,Non G-10 Developed Countries,country_data,34,OTHER NON G-10 DEV.,27170.0,1.0,25603.0,3.0,27174.0,667.0,313.0,26819.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,38,BULGARIA,148.0,50.0,128.0,280.0,478.0,42.0,0.0,437.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,39,CZECH REPUBLIC,6453.0,515.0,6007.0,3894.0,10862.0,284.0,139.0,10714.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,40,HUNGARY,3062.0,329.0,3230.0,1666.0,5057.0,303.0,24.0,4777.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,41,KOSOVO,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,42,POLAND,4223.0,1560.0,4449.0,10181.0,15964.0,3227.0,2520.0,15258.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,43,ROMANIA,968.0,446.0,1204.0,2172.0,3586.0,273.0,3.0,3317.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,44,RUSSIA,1560.0,128.0,1532.0,8452.0,10140.0,33.0,4.0,10071.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,45,TURKEY,11790.0,585.0,10120.0,1636.0,14011.0,2231.0,1647.0,13424.0
2023Q3,2023,Q3,Table 2,2,LFI,Eastern Europe,country_data,46,OTHER E. EUROPE,3790.0,80.0,3221.0,1214.0,5084.0,498.0,250.0,4835.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,50,ANGUILLA,98.0,0.0,97.0,0.0,98.0,0.0,0.0,98.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,51,ARGENTINA,1434.0,926.0,2069.0,4028.0,6388.0,736.0,19.0,5673.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,52,BRAZIL,54725.0,3432.0,48937.0,50699.0,108856.0,3844.0,9276.0,114288.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,53,CHILE,8236.0,15.0,7401.0,3708.0,11959.0,488.0,365.0,11837.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,54,COLOMBIA,4345.0,1.0,2607.0,4343.0,8689.0,1104.0,408.0,7992.0
2023Q3,2023,Q3,Table 2,2,LFI,Latin America and Caribbean,country_data,55,COSTA RICA,303.0,205.0,457.0,946.0,1454.0,90.0,8.0,1372.0
