period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,region_header,6,G-10 and Luxembourg,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,7,BELGIUM,21779.0,356.0,17338.0,9513.0,31648.0,1178.0,1152.0,31618.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,8,CANADA,152668.0,47281.0,126455.0,69268.0,269217.0,12381.0,20379.0,248702.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,9,FRANCE,179269.0,2922.0,150340.0,32054.0,214245.0,4742.0,19201.0,226209.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,10,GERMANY,98107.0,7492.0,65108.0,215670.0,321269.0,10669.0,61106.0,365939.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,11,ITALY,58341.0,536.0,51050.0,8436.0,67313.0,748.0,1947.0,68223.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,12,JAPAN,129319.0,35160.0,131168.0,300429.0,464908.0,2337.0,21794.0,484370.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,13,LUXEMBOURG,114701.0,2237.0,76239.0,9752.0,126690.0,30481.0,6881.0,103024.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,14,NETHERLANDS,53427.0,2623.0,35651.0,14790.0,70840.0,9036.0,7977.0,67385.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,15,SWEDEN,20998.0,0.0,16619.0,278.0,21276.0,3191.0,1464.0,19554.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,16,SWITZERLAND,36175.0,6476.0,35608.0,19133.0,61784.0,3099.0,28340.0,87012.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,country_data,17,UNITED KINGDOM,194815.0,83136.0,207714.0,296874.0,574825.0,75066.0,35238.0,533006.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,subtotal,18,Total,1059599.0,188219.0,913290.0,976197.0,2224015.0,152928.0,205479.0,2235042.0
2024Q1,2024,Q1,Table 2,2,All Banks,G-10 and Luxembourg,empty,19,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,region_header,20,Non G-10 Developed Countries,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,21,AUSTRALIA,30150.0,5450.0,23349.0,81895.0,117495.0,6686.0,4319.0,113959.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,22,AUSTRIA,12634.0,510.0,9178.0,120.0,13264.0,966.0,532.0,12319.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,23,CYPRUS,1865.0,0.0,1106.0,0.0,1865.0,219.0,384.0,2030.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,24,DENMARK,10697.0,1.0,9578.0,415.0,11113.0,613.0,1427.0,11929.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,25,FINLAND,10593.0,363.0,8224.0,91.0,11047.0,130.0,3094.0,13646.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,26,GREECE,5859.0,1.0,5410.0,190.0,6050.0,101.0,47.0,5998.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,27,IRELAND,106247.0,3471.0,70795.0,26413.0,136131.0,11374.0,6207.0,130946.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,28,ISRAEL,18267.0,160.0,15984.0,3458.0,21885.0,495.0,947.0,22334.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,29,NEW ZEALAND,2776.0,4.0,1980.0,2734.0,5514.0,337.0,221.0,5398.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,30,NORWAY,27202.0,5.0,24399.0,112.0,27319.0,633.0,1311.0,28000.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,31,PORTUGAL,6022.0,0.0,5394.0,17.0,6039.0,145.0,82.0,5974.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,32,SLOVAKIA,1894.0,0.0,1675.0,214.0,2108.0,74.0,15.0,2048.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,33,SPAIN,40141.0,68.0,30477.0,1533.0,41742.0,1015.0,2861.0,43577.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,country_data,34,OTHER NON G-10 DEV.,19053.0,285.0,18563.0,2.0,19340.0,568.0,364.0,18852.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,subtotal,35,Total,293400.0,10318.0,226112.0,117194.0,420912.0,23356.0,21811.0,417010.0
2024Q1,2024,Q1,Table 2,2,All Banks,Non G-10 Developed Countries,empty,36,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,region_header,37,Eastern Europe,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,38,BULGARIA,206.0,40.0,150.0,417.0,663.0,51.0,0.0,612.0
2024Q1,2024,Q1,Table 2,2,All Banks,Eastern Europe,country_data,39,CZECH REPUBLIC,4096.0,358.0,3464.0,3762.0,8216.0,358.0,156.0,8012.0
