period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,region_header,6,G-10 and Luxembourg,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,7,BELGIUM,1436.0,337.0,1112.0,9350.0,11123.0,347.0,225.0,11001.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,8,CANADA,66155.0,31897.0,44431.0,16677.0,114729.0,4690.0,8619.0,90144.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,9,FRANCE,11984.0,2499.0,8021.0,1504.0,15987.0,679.0,11213.0,24024.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,10,GERMANY,15509.0,5744.0,6679.0,19214.0,40467.0,2813.0,44836.0,76719.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,11,ITALY,1138.0,290.0,885.0,2401.0,3829.0,58.0,112.0,3595.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,12,JAPAN,23258.0,2503.0,22718.0,8131.0,33892.0,468.0,5121.0,38544.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,13,LUXEMBOURG,7683.0,172.0,4321.0,6648.0,14503.0,1564.0,1733.0,14604.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,14,NETHERLANDS,5058.0,2420.0,1364.0,3960.0,11438.0,1208.0,1098.0,8929.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,15,SWEDEN,2722.0,0.0,1437.0,122.0,2844.0,322.0,326.0,2846.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,16,SWITZERLAND,3785.0,2.0,2797.0,282.0,4069.0,702.0,22927.0,26289.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,country_data,17,UNITED KINGDOM,119151.0,13007.0,108711.0,51862.0,184020.0,55661.0,13942.0,140517.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,subtotal,18,Total,257879.0,58871.0,202476.0,120151.0,436901.0,68512.0,110152.0,437212.0
2024Q1,2024,Q1,Table 2,2,All Others,G-10 and Luxembourg,empty,19,,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,region_header,20,Non G-10 Developed Countries,,,,,,,,
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,21,AUSTRALIA,6504.0,1184.0,2343.0,10073.0,17761.0,694.0,353.0,16250.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,22,AUSTRIA,1288.0,510.0,228.0,113.0,1911.0,49.0,71.0,1423.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,23,CYPRUS,13.0,0.0,5.0,0.0,13.0,1.0,0.0,12.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,24,DENMARK,793.0,0.0,535.0,8.0,801.0,359.0,320.0,762.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,25,FINLAND,1187.0,363.0,154.0,81.0,1631.0,62.0,379.0,1585.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,26,GREECE,89.0,0.0,32.0,0.0,89.0,20.0,27.0,96.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,27,IRELAND,19698.0,196.0,15298.0,5019.0,24913.0,5759.0,1487.0,20622.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,28,ISRAEL,1037.0,0.0,579.0,6.0,1043.0,94.0,477.0,1423.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,29,NEW ZEALAND,471.0,3.0,223.0,450.0,924.0,113.0,108.0,919.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,30,NORWAY,2562.0,5.0,1236.0,58.0,2625.0,466.0,425.0,2586.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,31,PORTUGAL,288.0,0.0,115.0,0.0,288.0,48.0,0.0,240.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,32,SLOVAKIA,160.0,0.0,7.0,0.0,160.0,6.0,2.0,156.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,33,SPAIN,1661.0,11.0,608.0,691.0,2363.0,243.0,654.0,2760.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,country_data,34,OTHER NON G-10 DEV.,210.0,284.0,45.0,0.0,494.0,17.0,39.0,232.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,subtotal,35,Total,35961.0,2556.0,21408.0,16499.0,55016.0,7931.0,4342.0,49066.0
2024Q1,2024,Q1,Table 2,2,All Others,Non G-10 Developed Countries,empty,36,,,,,,,,,
