period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,region_header,7,G-10 and Luxembourg,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,8,BELGIUM,3260.0,3296.0,6556.0,29101.0,16541.0,2190.0,6822.0,2140.0,3767.0,0.0,633.0,3767.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,9,CANADA,10954.0,35318.0,46272.0,57265.0,32549.0,21938.0,41091.0,14465.0,77947.0,822.0,15354.0,77834.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,10,FRANCE,5468.0,44354.0,49822.0,111948.0,19695.0,7064.0,48697.0,10726.0,106560.0,1.0,27898.0,106550.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,11,GERMANY,29627.0,185426.0,215053.0,154432.0,293474.0,15828.0,55432.0,14469.0,61913.0,0.0,11413.0,61913.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,12,ITALY,1231.0,17300.0,18531.0,67678.0,-8802.0,2496.0,41246.0,15794.0,16494.0,0.0,2894.0,16494.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,13,JAPAN,11220.0,109679.0,120899.0,160281.0,291598.0,12279.0,140256.0,34345.0,185223.0,1.0,81883.0,185210.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,14,LUXEMBOURG,85777.0,64351.0,150128.0,103315.0,-121293.0,3060.0,10390.0,529.0,11055.0,0.0,1167.0,11049.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,15,NETHERLANDS,27047.0,18837.0,45884.0,84023.0,-42287.0,3909.0,24769.0,3693.0,2549.0,0.0,635.0,2526.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,16,SWEDEN,29.0,827.0,856.0,21089.0,-580.0,1238.0,8140.0,544.0,3347.0,0.0,537.0,3347.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,17,SWITZERLAND,5992.0,3655.0,9647.0,51585.0,21829.0,1043.0,16614.0,716.0,8167.0,0.0,2132.0,8167.0
2024Q2,2024,Q2,Table 3,3,All Banks,G-10 and Luxembourg,country_data,18,UNITED KINGDOM,1275585.0,321506.0,1597091.0,388379.0,99433.0,22770.0,86163.0,18505.0,70596.0,202.0,21051.0,69166.0
