period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Ultimate_Risk_Claims_2_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other,Fair_Value_of_Derivatives_3,Total_Claims,Immediate_Counterparty_Basis_Claims_Cross_Border_Claims_Corporate,Households,Total_Other,Claims_on_Local_Residents_Corporate,Households,Total_Other
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,9,BELGIUM,4373.0,32.0,4405.0,1.0,63.0,64.0,207.0,4676.0,4218.0,43.0,4261.0,1.0,3.0,4.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,10,CANADA,18790.0,746.0,19536.0,28991.0,269.0,29260.0,885.0,49681.0,15680.0,607.0,16287.0,12843.0,8.0,12851.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,11,FRANCE,27991.0,162.0,28153.0,5139.0,436.0,5575.0,1918.0,35646.0,27167.0,245.0,27412.0,590.0,6.0,596.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,12,GERMANY,28702.0,212.0,28914.0,3987.0,309.0,4296.0,3071.0,36281.0,24390.0,286.0,24676.0,214.0,17.0,231.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,13,ITALY,10290.0,233.0,10523.0,1492.0,649.0,2141.0,406.0,13070.0,9841.0,223.0,10064.0,9.0,110.0,119.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,14,JAPAN,22726.0,172.0,22898.0,56202.0,0.0,56202.0,635.0,79735.0,20262.0,155.0,20417.0,1440.0,0.0,1440.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,15,LUXEMBOURG,17785.0,3.0,17788.0,549.0,8.0,557.0,1080.0,19425.0,30392.0,4.0,30396.0,91.0,4.0,95.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,16,NETHERLANDS,26792.0,143.0,26935.0,267.0,101.0,368.0,1698.0,29001.0,28178.0,168.0,28346.0,232.0,1.0,233.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,17,SWEDEN,8933.0,63.0,8996.0,14.0,0.0,14.0,390.0,9400.0,8659.0,65.0,8724.0,12.0,0.0,12.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,18,SWITZERLAND,17586.0,575.0,18161.0,561.0,1327.0,1888.0,2027.0,22076.0,16975.0,612.0,17587.0,527.0,921.0,1448.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,G-10 and Luxembourg,country_data,19,UNITED KINGDOM,26755.0,3664.0,30419.0,48211.0,3343.0,51554.0,5571.0,87544.0,24517.0,3563.0,28080.0,16814.0,1002.0,17816.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,23,AUSTRALIA,6580.0,312.0,6892.0,11092.0,50.0,11142.0,617.0,18651.0,5116.0,330.0,5446.0,1555.0,0.0,1555.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,24,AUSTRIA,1423.0,10.0,1433.0,0.0,0.0,0.0,57.0,1490.0,1984.0,60.0,2044.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,25,CYPRUS,866.0,70.0,936.0,0.0,0.0,0.0,1.0,937.0,843.0,68.0,911.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,26,DENMARK,7467.0,18.0,7485.0,8.0,0.0,8.0,442.0,7935.0,7223.0,18.0,7241.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,27,FINLAND,2869.0,1.0,2870.0,0.0,0.0,0.0,96.0,2966.0,2811.0,4.0,2815.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,28,GREECE,2115.0,58.0,2173.0,92.0,0.0,92.0,27.0,2292.0,2097.0,58.0,2155.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,29,IRELAND,18399.0,156.0,18555.0,2697.0,0.0,2697.0,541.0,21793.0,16961.0,167.0,17128.0,1667.0,0.0,1667.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,30,ISRAEL,4255.0,188.0,4443.0,159.0,0.0,159.0,430.0,5032.0,3876.0,229.0,4105.0,126.0,0.0,126.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,31,NEW ZEALAND,877.0,25.0,902.0,186.0,0.0,186.0,24.0,1112.0,811.0,27.0,838.0,1.0,0.0,1.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,32,NORWAY,3153.0,6.0,3159.0,0.0,0.0,0.0,168.0,3327.0,3138.0,13.0,3151.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,33,PORTUGAL,871.0,67.0,938.0,30.0,0.0,30.0,187.0,1155.0,883.0,54.0,937.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,34,SLOVAKIA,58.0,0.0,58.0,130.0,0.0,130.0,4.0,192.0,73.0,0.0,73.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,35,SPAIN,11443.0,422.0,11865.0,482.0,0.0,482.0,429.0,12776.0,10550.0,390.0,10940.0,42.0,0.0,42.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Non G-10 Developed Countries,country_data,36,OTHER NON G-10 DEV.,652.0,206.0,858.0,0.0,0.0,0.0,4.0,862.0,534.0,154.0,688.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,40,BULGARIA,102.0,8.0,110.0,97.0,0.0,97.0,7.0,214.0,98.0,8.0,106.0,36.0,0.0,36.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,41,CZECH REPUBLIC,754.0,10.0,764.0,602.0,0.0,602.0,111.0,1477.0,770.0,10.0,780.0,418.0,0.0,418.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,42,HUNGARY,396.0,4.0,400.0,185.0,0.0,185.0,40.0,625.0,410.0,4.0,414.0,363.0,0.0,363.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,43,KOSOVO,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,44,POLAND,1045.0,23.0,1068.0,2110.0,1454.0,3564.0,1349.0,5981.0,1122.0,23.0,1145.0,576.0,10.0,586.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,45,ROMANIA,149.0,17.0,166.0,359.0,0.0,359.0,5.0,530.0,158.0,17.0,175.0,251.0,0.0,251.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,46,RUSSIA,112.0,35.0,147.0,4744.0,35.0,4779.0,18.0,4944.0,108.0,35.0,143.0,23.0,3.0,26.0
2024Q2,2024,Q2,Table 4.2,4.2,LFI,Eastern Europe,country_data,47,TURKEY,2571.0,81.0,2652.0,546.0,0.0,546.0,34.0,3232.0,3825.0,82.0,3907.0,340.0,0.0,340.0
