period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Ultimate_Risk_Basis_2_Cross_border_Claims_Excluding_Claims,Claims_on_Local_Residents_Total,In_Non_Local_Currency,In_Local_Currency,Claims_Resulting_From_the,Country_Risk_Claims_4,Off_Balance_Sheet_Items_Cross_Border_and_Local_Commitments_Unused_Commitments,Guarantees_Excluding_Credit_Derivatives,Credit_Derivatives_By_Reference_Gross_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Gross_Net_5_Total_Credit_Derivatives_Sold,Total_Credit_Derivatives_Purchased,Trade_Finance
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,10,BELGIUM,2406.0,9837.0,476.0,9361.0,2.0,12245.0,519.0,1.0,0.0,6.0,0.0,6.0,5.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,11,CANADA,63687.0,19768.0,2435.0,17333.0,1004.0,84459.0,28640.0,6923.0,59.0,1255.0,26.0,1218.0,33.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,12,FRANCE,29742.0,1526.0,0.0,1526.0,1243.0,32511.0,4026.0,600.0,59.0,132.0,9.0,80.0,192.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,13,GERMANY,51108.0,21350.0,8.0,21342.0,594.0,73052.0,11269.0,201.0,0.0,142.0,0.0,142.0,228.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,14,ITALY,1495.0,2249.0,0.0,2249.0,0.0,3744.0,2323.0,165.0,0.0,5.0,0.0,5.0,15.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,15,JAPAN,22461.0,12913.0,13.0,12900.0,466.0,35840.0,2053.0,197.0,59.0,564.0,26.0,530.0,85.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,16,LUXEMBOURG,8278.0,6977.0,75.0,6902.0,98.0,15353.0,4037.0,152.0,0.0,1.0,0.0,1.0,0.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,17,NETHERLANDS,6080.0,2374.0,18.0,2356.0,43.0,8497.0,2313.0,91.0,0.0,55.0,0.0,55.0,50.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,18,SWEDEN,3006.0,110.0,0.0,110.0,0.0,3116.0,1740.0,170.0,0.0,2.0,0.0,2.0,11.0
2024Q3,2024,Q3,Table 1,1,All Others,G-10 and Luxembourg,country_data,19,SWITZERLAND,14816.0,301.0,0.0,301.0,104.0,15221.0,1208.0,163.0,0.0,13.0,0.0,13.0,2.0
