,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,22811,2075,83,1992,5893,30779,,3533,952,34613,33879,13007,,12273,95
,CANADA,84613,65330,11730,53600,19952,169895,,98075,15321,57233,58590,26470,,27534,224
,FRANCE,194463,17630,613,17017,37786,249879,,67022,6099,441194,439836,170588,,169210,766
,GERMANY,139249,38331,495,37836,59133,236713,,32181,7126,388243,394180,150996,,156508,555
,ITALY,45059,9698,240,9458,29293,84050,,12831,1787,352554,364616,86784,,99296,362
,JAPAN,97606,225093,47985,177108,30495,353194,,78913,7538,162687,158620,78155,,74087,105
,LUXEMBOURG,44742,5396,510,4886,8175,58313,,11608,2389,36970,37226,13637,,13773,695
,NETHERLANDS,73644,7536,108,7428,24448,105628,,20217,4238,207227,208261,77848,,78766,1470
,SWEDEN,25423,209,13,196,2205,27837,,7902,425,77688,78557,31844,,32711,49
,SWITZERLAND,40662,23020,1917,21103,15743,79425,,13421,6422,135560,137308,58138,,60022,2116
,UNITED KINGDOM,110546,373550,110336,263214,194304,678400,,154202,17802,582732,596720,235409,,249450,1722
,Total,878818,767868,174030,593838,427427,2074113,,499905,70099,2476701,2507793,942876,,973630,8159
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,40196,61165,3662,57503,8848,110209,,29737,2770,84780,84709,35532,,35460,489
,AUSTRIA,11806,56,0,56,1859,13721,,1524,363,32216,32796,11985,,12565,47
,CYPRUS,1707,75,0,75,817,2599,,66,73,1142,1117,495,,470,0
,DENMARK,12829,85,1,84,4505,17419,,2660,159,19569,19340,8330,,8095,10
,FINLAND,10409,111,0,111,2718,13238,,1582,218,44031,43827,17988,,17761,15
,GREECE,1439,24,0,24,1431,2894,,97,388,10032,10321,4761,,5043,31
,IRELAND,58552,3669,1565,2104,9569,71790,,9099,2578,32498,31603,14623,,13730,120
,ISRAEL,4395,1198,216,982,1045,6638,,2161,367,8319,8478,3629,,3376,84
,NEW ZEALAND,2084,3514,19,3495,645,6243,,2063,69,5634,5746,2435,,2546,6
,NORWAY,13357,228,25,203,1100,14685,,2789,779,27597,27602,11582,,11587,65
,PORTUGAL,4194,238,21,217,342,4774,,430,149,60045,59374,21148,,20441,39
,SLOVAKIA,301,333,18,315,79,713,,59,78,3993,3916,1190,,1112,4
,SPAIN,39550,3169,236,2933,4671,47390,,5353,1401,178617,178855,60862,,61129,370
,OTHER NON G-10 DEV.,1531,1,0,1,368,1900,,257,36,2041,1900,922,,780,10
,Total,202350,73866,5763,68103,37997,314213,,57877,9428,510514,509584,195482,,194095,1290
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,106,322,178,144,5,433,,15,57,4538,4490,1935,,1954,0
,CZECH REPUBLIC,940,8540,454,8086,377,9857,,1081,396,4363,4442,1485,,1566,14
,HUNGARY,2214,5174,975,4199,576,7964,,1510,382,18762,18962,4342,,4649,100
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,3633,17502,4813,12689,256,21391,,4616,382,13431,13578,4175,,4402,45
,ROMANIA,452,1981,687,1294,18,2451,,207,127,4835,4812,2018,,2062,14
,RUSSIA,12155,4436,844,3592,947,17538,,1899,401,91812,90451,24339,,23185,436
,TURKEY,20198,3301,765,2536,1135,24634,,777,351,59919,58843,15803,,14933,5219
