,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,18914,166,12947,969,20049,2064,6900,24886
,CANADA,80357,12823,42938,56438,149618,22587,22898,149943
,FRANCE,185981,614,146288,16838,203433,10281,18941,212093
,GERMANY,127058,358,81211,37639,165055,10001,22554,177580
,ITALY,46907,347,33450,9728,56982,4901,2678,54757
,JAPAN,78590,48423,108553,180090,307103,6534,22157,322699
,LUXEMBOURG,50096,728,27299,4723,55547,9079,3697,50138
,NETHERLANDS,87602,124,36943,7446,95172,17962,3991,81180
,SWEDEN,25467,26,18676,325,25818,2018,1839,25632
,SWITZERLAND,37784,6071,35537,16824,60679,4842,7850,63682
,UNITED KINGDOM,100479,118996,156112,261557,481032,38284,41373,484096
,Total,839235,188676,699954,592577,1620488,128553,154878,1646686
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,38832,4935,16810,59732,103499,6191,4064,101361
,AUSTRIA,12949,0,6568,57,13006,1796,652,11862
,CYPRUS,2436,0,1798,75,2511,887,158,1782
,DENMARK,11606,14,9967,70,11690,724,1949,12914
,FINLAND,9755,1,6044,111,9867,313,964,10520
,GREECE,1445,0,1089,36,1481,273,255,1463
,IRELAND,61276,5248,44324,2152,68676,10641,4185,62221
,ISRAEL,4277,167,2639,930,5374,473,693,5593
,NEW ZEALAND,2518,19,1946,3570,6107,687,186,5598
,NORWAY,13089,38,9568,190,13317,1044,1315,13585
,PORTUGAL,4690,21,2706,219,4930,861,362,4432
,SLOVAKIA,306,17,91,317,640,21,15,634
,SPAIN,40345,227,29041,3212,43784,4404,3339,42719
,OTHER NON G-10 DEV.,3044,1,2293,3,3048,1879,365,1532
,Total,206568,10688,134884,70674,287930,30194,18502,276216
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,139,197,191,157,493,71,7,428
,CZECH REPUBLIC,1077,418,698,8121,9616,279,140,9480
,HUNGARY,2304,987,2010,4219,7510,274,148,7388
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,3665,4787,3635,13000,21452,580,273,21135
,ROMANIA,611,702,1050,1329,2642,208,1,2433
,RUSSIA,8766,779,4460,3995,13540,1039,4095,16591
,TURKEY,18957,795,17042,2766,22518,1622,2630,23499
,OTHER E. EUROPE,2775,13,1841,341,3129,510,61,2681
,Total,38294,8678,30927,33928,80900,4583,7355,83635
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,2876,0,2837,0,2876,150,39,2764
,ARGENTINA,1908,647,1834,4624,7179,1003,154,6329
,BRAZIL,48450,3888,31656,28659,80997,7170,19900,93650
,CHILE,9169,236,5395,2510,11915,1035,515,11397
,COLOMBIA,8199,113,6063,3933,12245,1683,338,10900
,COSTA RICA,1033,387,844,626,2046,164,46,1926
,DOMINICAN REPUBLIC,1621,83,1211,336,2040,504,11,1546
,ECUADOR,1096,586,843,26,1708,279,20,1448
,EL SALVADOR,719,1708,1547,0,2427,263,30,2193
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1784,318,1811,791,2893,384,182,2689
,HONDURAS,492,63,372,128,683,239,5,449
,MEXICO,41076,10453,30229,71543,123072,8321,1960,116718
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3447,1185,2966,855,5487,702,364,5146
,URUGUAY,1247,660,1243,486,2393,354,10,2048
,VENEZUELA,3557,1,2496,921,4479,1206,163,3434
,OTHER LAT. AM. & CAR.,29981,1127,24261,1166,32274,16340,939,16866
,Total,156655,21455,115608,116604,294714,39797,24676,279503
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,58152,6980,55497,27816,92948,6715,11618,97853
,INDIA,42345,4603,40346,30697,77645,4418,9415,82587
,INDONESIA,9281,3461,10367,3758,16500,2988,887,14399
,"KOREA, SOUTH",36097,5471,33707,45764,87332,3353,3624,87572
,KUWAIT,6705,71,6308,252,7028,136,82,6971
,MALAYSIA,5689,1616,3938,9109,16414,486,775,16702
,PAKISTAN,381,38,263,763,1182,169,1,1012
,PHILIPPINES,3292,905,3013,3977,8174,654,262,7777
,QATAR,3417,0,1416,63,3480,527,169,3122
,SAUDI ARABIA,16838,308,15674,1928,19074,809,647,18907
,TAIWAN,19313,3790,22507,18091,41194,1052,1891,42036
,THAILAND,2980,241,1987,7594,10815,641,301,10480
,UNITED ARAB EMIRATES,9700,2368,8105,2897,14965,2367,1011,13605
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,7354,1761,4802,2600,11715,2920,914,9643
,Total,221544,31613,207930,155309,408466,27235,31597,412666
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,156,251,285,1177,1584,350,0,1233
,EGYPT,456,91,365,1566,2113,328,18,1803
,GHANA,680,0,252,0,680,357,123,446
,KENYA,505,189,446,596,1290,44,13,1259
,MOROCCO,475,0,387,348,823,74,2,752
,NIGERIA,2024,220,1445,1677,3921,185,80,3815
,SAINT HELENA,0,0,0,0,0,0,40,40
,SOUTH AFRICA,8221,1052,7031,5107,14380,834,1417,14963
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,3334,400,1954,1085,4819,1517,69,3378
,Total,15851,2203,12165,11556,29610,3689,1762,27689
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,11503,436,10834,98,12037,6212,759,6577
,BAHRAIN,1286,54,1083,425,1765,864,39,936
,BERMUDA,21132,140,11287,2,21274,4047,3768,20993
,CAYMAN ISLANDS,321519,1227,219588,0,322746,39901,4807,287657
,HONG KONG,25673,15050,34279,25771,66494,17178,7190,56440
,LEBANON,1168,169,817,29,1366,220,7,1154
,MAURITIUS,1919,412,1074,14,2345,1156,82,1271
,PANAMA,4818,1299,3361,0,6117,2543,237,3813
,SINGAPORE,37568,11920,45052,23072,72560,7607,5698,70649
,OTHER BANKING CENTERS,14417,1493,9265,941,16851,4473,1942,14322
,Total,441003,32200,336640,50352,523555,84201,24529,463812
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,449,0,106,0,449,0,11,460
,ASIAN,2175,0,567,0,2175,0,349,2524
,CARIBBEAN,0,0,0,0,0,0,0,0
