,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,44762,8330,53092,8807,-33731,,3457,4082,1103,1497,0,264,,1401
,CANADA,7768,41662,49430,44456,30861,,43372,17546,2660,21681,0,12709,,21283
,FRANCE,197,13307,13504,66080,-312,,29058,38040,9813,84387,363,38343,,83967
,GERMANY,10509,35250,45759,67203,28571,,30689,40715,6716,13379,0,4993,,13135
,ITALY,994,8663,9657,27109,3150,,2168,27642,6835,6311,1,843,,6311
,JAPAN,11573,99945,111518,104470,96436,,7629,61965,19525,140344,0,56750,,140341
,LUXEMBOURG,25386,14457,39843,90679,-27158,,6836,8005,894,7537,0,927,,7448
,NETHERLANDS,23435,9558,32993,43554,-28589,,28598,15952,2099,3346,0,2142,,2932
,SWEDEN,595,397,992,11094,1412,,4856,6911,1198,7843,0,2137,,7784
,SWITZERLAND,11211,2114,13325,37938,13213,,4144,7976,224,10654,0,1969,,10626
,UNITED KINGDOM,754572,281979,1036551,299981,340733,,66763,67645,10947,112935,1,45852,,111549
,Total,891002,515662,1406664,801371,424586,,227570,296479,62014,409914,365,166929,,406777
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6781,50205,56986,62736,9250,,25821,19765,1665,4403,27,1915,,4273
,AUSTRIA,4,66,70,5678,-8,,3562,3478,300,2322,0,1539,,2321
,CYPRUS,0,0,0,1139,-3,,0,227,1,383,0,259,,325
,DENMARK,1565,943,2508,12339,-2363,,442,4165,373,2580,0,1064,,2570
,FINLAND,194,340,534,3273,-416,,3091,2638,503,903,0,288,,903
,GREECE,59,441,500,2007,-444,,0,470,116,369,0,369,,107
,IRELAND,24280,38532,62812,73618,-13710,,4826,11665,821,21145,6,7445,,21020
,ISRAEL,1056,719,1775,3861,-544,,463,1536,170,376,0,376,,304
,NEW ZEALAND,70,1131,1201,3435,-535,,208,1582,120,141,19,51,,120
,NORWAY,134,786,920,5273,-652,,1938,2931,142,3765,0,420,,3493
,PORTUGAL,37,123,160,2667,-59,,165,2003,415,1082,0,524,,1082
,SLOVAKIA,52,495,547,939,-358,,4,163,35,49,0,49,,10
,SPAIN,397,1377,1774,8490,3937,,2778,18758,3686,8830,0,2785,,8743
,OTHER NON G-10 DEV.,0,1,1,6490,3,,18,465,43,19,0,8,,6
,Total,34629,95159,129788,191945,-5902,,43316,69846,8390,46367,52,17092,,45277
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,201,254,455,1612,-108,,86,101,39,69,3,66,,32
,CZECH REPUBLIC,1256,5409,6665,6920,561,,1387,797,87,241,2,240,,44
,HUNGARY,1046,2873,3919,4081,734,,1138,1391,152,239,3,131,,166
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,2198,9072,11270,12224,-835,,4652,2651,626,2403,0,939,,2403
,ROMANIA,468,988,1456,1456,601,,588,1133,116,166,0,166,,153
,RUSSIA,2117,3809,5926,11850,-780,,408,3174,458,492,0,478,,488
,TURKEY,680,1345,2025,2857,1478,,246,2616,449,5351,0,4328,,5261
,OTHER E. EUROPE,94,230,324,1718,54,,31,931,215,636,0,399,,636
,Total,8060,23980,32040,42718,1705,,8536,12794,2142,9597,8,6747,,9183
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,709,0,,0,0,0,2385,0,784,,2385
,ARGENTINA,509,3635,4144,4932,1389,,451,1183,142,414,1,401,,358
,BRAZIL,396,13764,14160,16076,15988,,3689,27077,3254,11548,308,9616,,10663
,CHILE,4,46,50,1339,2324,,1198,760,198,16,0,7,,15
,COLOMBIA,58,3273,3331,3817,1087,,185,1453,81,815,0,704,,797
,COSTA RICA,380,343,723,895,555,,109,102,11,259,0,247,,17
,DOMINICAN REPUBLIC,77,233,310,550,112,,112,143,37,54,2,54,,0
,ECUADOR,539,1,540,915,81,,42,457,5,63,2,63,,0
,EL SALVADOR,1284,0,1284,1308,1251,,198,35,10,16,0,16,,8
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,262,440,702,839,836,,109,87,5,145,0,145,,39
,HONDURAS,27,77,104,183,94,,76,35,0,2,0,2,,0
,MEXICO,3686,59123,62809,64876,20570,,22162,17384,1025,7236,3,4918,,6908
,MONTSERRAT,0,0,0,16,0,,0,0,0,0,0,0,,0
,PERU,959,762,1721,2369,318,,191,411,81,161,7,161,,0
,URUGUAY,3095,311,3406,1926,1382,,134,283,8,59,1,59,,0
,VENEZUELA,22,765,787,1459,191,,153,256,102,5,0,5,,0
,OTHER LAT. AM. & CAR.,1318,1062,2380,29332,1163,,711,1839,205,1180,5,250,,1048
,Total,12616,83835,96451,131541,47341,,29520,51505,5164,24358,329,17432,,22238
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6109,23244,29353,48823,7173,,3125,36111,1664,4544,253,1080,,4282
,INDIA,3344,7555,10899,19501,12734,,10783,34670,3075,1802,38,1802,,0
,INDONESIA,2143,2716,4859,11247,2422,,867,4633,704,275,89,119,,182
,"KOREA, SOUTH",4955,30451,35406,39881,19896,,14713,13916,573,12898,0,3979,,12853
,KUWAIT,153,181,334,6566,-5,,224,114,54,5447,0,1342,,5447
,MALAYSIA,4072,7206,11278,17899,598,,623,3163,677,520,39,239,,450
,PAKISTAN,43,568,611,675,201,,305,255,18,75,0,75,,67
,PHILIPPINES,2769,3309,6078,8922,1462,,667,1051,129,801,0,323,,793
,QATAR,16,73,89,1347,-25,,43,238,115,135,0,24,,135
,SAUDI ARABIA,143,37,180,31867,2060,,0,1450,672,14167,0,5203,,14119
,TAIWAN,11433,8857,20290,32625,9375,,1470,10202,184,9444,178,1756,,9024
,THAILAND,1028,5720,6748,9368,1164,,2343,2619,745,846,43,838,,797
,UNITED ARAB EMIRATES,4446,2073,6519,11866,2054,,29,1157,359,1370,38,205,,1323
,WEST BANK AND GAZA,0,0,0,23,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,2686,1805,4491,14788,-852,,735,2052,266,326,1,133,,74
,Total,43340,93795,137135,255398,58257,,35927,111631,9235,52650,679,17118,,49546
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,250,875,1125,1089,301,,31,5,0,0,0,0,,0
,EGYPT,327,1253,1580,1468,244,,493,610,27,43,0,43,,0
,GHANA,0,0,0,387,0,,0,167,6,0,0,0,,0
,KENYA,384,292,676,861,122,,548,81,17,50,0,50,,7
,MOROCCO,60,251,311,299,22,,182,82,9,0,0,0,,0
,NIGERIA,1065,735,1800,5542,93,,834,532,54,528,1,135,,524
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,289,4595,4884,10905,568,,1085,3369,1158,4346,0,1662,,4346
,SOUTH SUDAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,680,1012,1692,5867,173,,480,325,46,698,0,470,,311
,Total,3055,9013,12068,26418,1523,,3653,5171,1317,5665,1,2360,,5188
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,35130,102,35232,6214,-18305,,112,100,3,3944,2,509,,3880
,BAHRAIN,534,225,759,1243,-77,,185,71,3,146,0,139,,144
,BERMUDA,1350,2,1352,11073,6794,,745,2764,156,3816,2,351,,3515
