,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,6334,283,2338,8955,6606,83,5938,608,1550,8096,6755,0,3082,65,282,3429,,1989,51
,CANADA,21167,6145,8470,35782,34426,1620,23110,13727,2449,39286,5164,802,21451,7839,6425,35715,,22071,435
,FRANCE,62191,481,26654,89326,50201,65,31555,475,3201,35231,31816,0,74324,1207,4822,80353,,74729,17
,GERMANY,31186,803,32920,64909,21511,47,52640,30497,13821,96958,51390,2,28560,1624,4105,34289,,27891,81
,ITALY,12416,1076,3808,17300,13323,0,18351,412,21860,40623,19560,2,5766,556,1400,7722,,5425,94
,JAPAN,50987,42479,17653,111119,34493,34881,5042,103283,3744,112069,5279,4874,15009,58409,7642,81060,,13477,6349
,LUXEMBOURG,4597,102,505,5204,5715,51,2873,4034,10,6917,3143,0,24217,970,6320,31507,,26108,539
,NETHERLANDS,11049,243,7982,19274,9777,37,8252,5736,1063,15051,8581,1,34155,155,12110,46420,,35216,37
,SWEDEN,11321,37,797,12155,10790,2,3616,10,281,3907,3572,7,5738,22,965,6725,,5774,12
,SWITZERLAND,15081,1163,5741,21985,12067,105,5182,15254,56,20492,5026,0,6673,299,1378,8350,,6474,259
,UNITED KINGDOM,25909,35757,76216,137882,27753,29529,6559,83147,8740,98446,5487,1094,58017,167105,93763,318885,,47124,69050
,Total,252238,88569,183084,523891,226662,66420,163118,257183,56775,477076,145773,6782,276992,238251,139212,654455,,266278,76924
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,18626,11725,3771,34122,17155,645,2124,11701,277,14102,1839,1,8998,8440,3780,21218,,9079,1349
,AUSTRIA,2447,1,901,3349,2263,0,6601,0,579,7180,6975,0,956,1,135,1092,,1119,0
,CYPRUS,177,0,3,180,156,0,30,0,0,30,42,0,1147,0,473,1620,,1234,0
,DENMARK,4479,14,1272,5765,3567,0,538,24,235,797,520,0,4012,21,1766,5799,,3993,13
,FINLAND,3861,13,1336,5210,3365,0,4233,12,747,4992,4085,0,951,1,401,1353,,883,1
,GREECE,675,1,230,906,610,0,140,0,1180,1320,165,0,16,0,3,19,,41,0
,IRELAND,9885,422,547,10854,9731,211,1477,175,98,1750,1725,8,34430,1847,7858,44135,,36790,4881
,ISRAEL,564,87,349,1000,530,8,1136,878,11,2025,1223,3,455,9,207,671,,500,0
,NEW ZEALAND,569,1152,281,2002,614,10,617,444,110,1171,617,0,188,52,66,306,,311,1
,NORWAY,3258,32,353,3643,3388,5,4875,117,165,5157,4820,0,2406,14,198,2618,,2056,12
,PORTUGAL,1482,3,55,1540,1580,0,1111,1,185,1297,1784,0,405,2,19,426,,209,0
,SLOVAKIA,8,4,3,15,5,0,116,70,64,250,116,0,0,7,0,7,,0,0
,SPAIN,14832,43,2888,17763,14246,2,7882,286,348,8516,8810,0,5467,242,334,6043,,5096,129
,OTHER NON G-10 DEV.,493,1,32,526,1961,1,49,0,89,138,62,0,455,0,172,627,,313,0
,Total,61356,13498,12021,86875,59171,882,30929,13708,4088,48725,32783,12,59886,10636,15412,85934,,61624,6386
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,15,11,0,26,16,11,20,225,0,245,20,129,0,32,0,32,,0,32
,CZECH REPUBLIC,179,658,58,895,234,11,478,2845,36,3359,551,0,3,202,14,219,,3,1
,HUNGARY,143,546,102,791,258,107,1360,2161,422,3943,1405,411,45,27,5,77,,45,9
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1056,2241,178,3475,1016,189,1998,4984,0,6982,2109,178,78,462,17,557,,78,15
,ROMANIA,8,51,8,67,50,13,231,1506,0,1737,247,395,73,173,4,250,,73,152
,RUSSIA,2412,623,482,3517,2396,215,939,1061,1,2001,969,52,175,398,69,642,,88,58
,TURKEY,15874,1529,913,18316,14752,18,265,626,0,891,306,312,665,49,30,744,,712,23
,OTHER E. EUROPE,555,4,57,616,677,4,1195,238,41,1474,1359,0,35,0,2,37,,65,0
,Total,20242,5663,1798,27703,19399,568,6486,13646,500,20632,6966,1477,1074,1343,141,2558,,1064,290
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,115,0,0,0,0,0,0,0,2701,0,40,2741,,2673,0
,ARGENTINA,141,347,15,503,139,34,324,1820,0,2144,306,385,24,37,0,61,,18,2
,BRAZIL,20543,7172,809,28524,10391,184,14282,15902,0,30184,17523,1146,2223,1566,741,4530,,1765,767
,CHILE,4215,2047,1046,7308,4041,18,165,409,11,585,169,50,340,135,332,807,,478,96
,COLOMBIA,3615,186,256,4057,3704,15,1078,1155,1,2234,1110,73,71,20,108,199,,69,0
,COSTA RICA,543,115,1,659,612,58,30,373,0,403,30,151,1,0,1,2,,9,0
,DOMINICAN REPUBLIC,478,14,0,492,608,1,165,235,0,400,256,23,0,0,0,0,,14,0
,ECUADOR,72,97,1,170,72,72,412,162,51,625,412,161,5,45,0,50,,22,45
,EL SALVADOR,267,138,0,405,445,138,22,451,0,473,22,451,21,7,0,28,,34,7
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,964,153,0,1117,1119,52,21,340,0,361,21,111,28,3,0,31,,32,3
,HONDURAS,111,14,2,127,270,4,28,147,2,177,28,51,0,0,0,0,,0,0
,MEXICO,4885,6349,1301,12535,4253,188,11611,26778,240,38629,12396,1807,1535,6684,294,8513,,1598,86
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
