,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5918,1539,7457,873,246,1119,1723,10299,3271,293,3564,22,,10,32
,CANADA,17438,1447,18885,26651,10968,37619,2607,59111,17331,1365,18696,9395,,571,9966
,FRANCE,25303,1090,26393,9663,5804,15467,3110,44970,28015,1220,29235,530,,2,532
,GERMANY,26142,721,26863,5258,149,5407,8287,40557,25481,785,26266,222,,6,228
,ITALY,8272,254,8526,6320,1334,7654,2225,18405,8186,413,8599,221,,30,251
,JAPAN,26284,284,26568,17628,3294,20922,1457,48947,25074,267,25341,2317,,2,2319
,LUXEMBOURG,12624,431,13055,286,4,290,1341,14686,14993,137,15130,138,,0,138
,NETHERLANDS,20025,163,20188,1317,85,1402,3294,24884,33825,203,34028,49,,0,49
,SWEDEN,4565,183,4748,124,16,140,163,5051,5082,249,5331,5,,0,5
,SWITZERLAND,12727,999,13726,3280,3024,6304,8567,28597,13651,566,14217,3169,,2538,5707
,UNITED KINGDOM,17969,2092,20061,59106,28435,87541,15584,123186,17352,2763,20115,18093,,1230,19323
,Total,177267,9203,186470,130506,53359,183865,48358,418693,192261,8261,200522,34161,,4389,38550
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,9327,1121,10448,12336,16963,29299,1020,40767,9546,1213,10759,2940,,0,2940
,AUSTRIA,1781,21,1802,31,23,54,245,2101,2573,19,2592,0,,0,0
,CYPRUS,337,16,353,75,0,75,341,769,991,13,1004,0,,0,0
,DENMARK,3786,14,3800,26,0,26,1233,5059,3513,13,3526,1,,0,1
,FINLAND,1349,15,1364,37,48,85,235,1684,1402,20,1422,0,,0,0
,GREECE,576,32,608,19,4,23,18,649,583,46,629,0,,0,0
,IRELAND,12400,360,12760,894,331,1225,1066,15051,12793,237,13030,148,,0,148
,ISRAEL,1868,372,2240,224,0,224,479,2943,1761,263,2024,156,,0,156
,NEW ZEALAND,550,160,710,816,1050,1866,188,2764,799,177,976,8,,0,8
,NORWAY,2752,66,2818,65,0,65,384,3267,2763,62,2825,21,,0,21
,PORTUGAL,1181,15,1196,145,87,232,83,1511,1082,35,1117,21,,0,21
,SLOVAKIA,173,4,177,252,0,252,12,441,181,4,185,17,,0,17
,SPAIN,10589,780,11369,1805,793,2598,1102,15069,11144,1049,12193,96,,0,96
,OTHER NON G-10 DEV.,519,15,534,0,0,0,75,609,662,46,708,0,,0,0
,Total,47188,2991,50179,16725,19299,36024,6481,92684,49793,3197,52990,3408,,0,3408
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,70,1,71,54,0,54,4,129,103,0,103,25,,0,25
,CZECH REPUBLIC,263,17,280,2609,2226,4835,269,5384,267,22,289,406,,0,406
,HUNGARY,661,5,666,1378,1062,2440,47,3153,590,6,596,363,,97,460
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,484,17,501,3373,6442,9815,61,10377,445,17,462,814,,3591,4405
,ROMANIA,134,6,140,251,0,251,7,398,235,6,241,142,,0,142
