,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2424,36,1,35,7,2467,,153,8,107,106,91,,91,0
,CANADA,41453,27245,4683,22562,4576,73274,,49019,3871,916,3164,716,,2963,39
,FRANCE,16306,14735,429,14306,430,31471,,6926,470,3073,3065,1689,,1681,196
,GERMANY,10319,4694,54,4640,213,15226,,2794,2036,1944,1972,998,,1025,68
,ITALY,990,6058,104,5954,0,7048,,1280,110,4217,4216,1815,,1813,38
,JAPAN,18030,8381,525,7856,21,26432,,800,576,941,946,321,,325,5
,LUXEMBOURG,6123,152,73,79,63,6338,,2586,238,246,247,150,,151,0
,NETHERLANDS,5350,1537,57,1480,232,7119,,1414,483,509,527,387,,405,84
,SWEDEN,2736,176,13,163,68,2980,,185,107,140,137,133,,130,10
,SWITZERLAND,4518,1716,46,1670,158,6392,,882,360,65,61,41,,37,112
,UNITED KINGDOM,28588,34954,3943,31011,3176,66718,,24176,1180,596,605,467,,476,216
,Total,136837,99684,9928,89756,8944,245465,,90215,9439,12754,15046,6808,,9097,768
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,9759,13685,1187,12498,766,24210,,15054,698,422,422,307,,307,28
,AUSTRIA,403,56,0,56,0,459,,190,0,163,154,92,,83,0
,CYPRUS,71,75,0,75,0,146,,52,5,0,0,0,,0,0
,DENMARK,857,29,1,28,11,897,,33,1,108,108,108,,108,0
,FINLAND,1082,97,0,97,0,1179,,318,0,126,129,69,,72,7
,GREECE,111,0,0,0,0,111,,4,7,0,0,0,,0,0
,IRELAND,3498,342,34,308,2938,6778,,1856,185,45,42,33,,30,80
,ISRAEL,616,60,0,60,4,680,,679,147,248,169,90,,11,51
,NEW ZEALAND,349,1849,14,1835,1,2199,,1563,10,27,27,24,,24,0
,NORWAY,1710,96,25,71,9,1815,,104,12,143,144,137,,138,14
,PORTUGAL,288,133,0,133,0,421,,13,80,293,290,192,,188,1
,SLOVAKIA,13,94,0,94,0,107,,0,0,12,12,10,,10,0
,SPAIN,2423,1587,2,1585,68,4078,,187,66,2607,2597,835,,824,5
,OTHER NON G-10 DEV.,339,0,0,0,0,339,,124,20,0,0,0,,0,0
,Total,21519,18103,1263,16840,3797,43419,,20177,1231,4194,4094,1897,,1795,186
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,1,0,0,0,0,1,,6,0,51,51,51,,51,0
,CZECH REPUBLIC,69,5434,252,5182,0,5503,,555,56,71,71,30,,30,0
,HUNGARY,308,2920,828,2092,0,3228,,660,145,645,658,233,,246,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,189,7762,3868,3894,0,7951,,1011,59,722,722,93,,93,0
,ROMANIA,7,0,0,0,0,7,,8,0,5,5,5,,5,0
,RUSSIA,591,36,1,35,0,627,,23,46,6603,6660,1381,,1438,0
,TURKEY,858,16,13,3,0,874,,85,117,2797,2842,761,,806,204
,OTHER E. EUROPE,187,2,2,0,1,190,,29,3,282,289,157,,164,4
,Total,2210,16170,4964,11206,1,18381,,2377,426,11176,11298,2711,,2833,208
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,32,0,0,0,0,32,,1,1,0,0,0,,0,1
,ARGENTINA,238,709,81,628,9,956,,334,54,0,0,0,,0,6
,BRAZIL,13328,188,18,170,145,13661,,2345,94,13935,13454,3923,,3442,537
,CHILE,1790,80,0,80,298,2168,,258,9,870,880,275,,285,33
,COLOMBIA,2346,1,1,0,19,2366,,187,35,3185,3203,676,,694,42
,COSTA RICA,190,0,0,0,0,190,,39,21,0,0,0,,0,52
,DOMINICAN REPUBLIC,292,0,0,0,0,292,,6,4,0,0,0,,0,48
,ECUADOR,192,26,0,26,0,218,,4,21,0,0,0,,0,4
,EL SALVADOR,106,0,0,0,0,106,,2,4,5,0,5,,0,27
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,308,0,0,0,0,308,,4,0,0,1,0,,1,130
,HONDURAS,68,0,0,0,0,68,,6,2,0,0,0,,0,20
,MEXICO,10914,8007,4313,3694,33,18954,,3045,883,9140,8829,2282,,1971,285
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,628,0,0,0,5,633,,193,4,2097,2092,516,,511,94
,URUGUAY,51,597,395,202,30,678,,26,11,0,0,0,,0,1
,VENEZUELA,868,0,0,0,0,868,,31,36,1667,1603,426,,362,34
,OTHER LAT. AM. & CAR.,938,523,299,224,25,1486,,135,186,9,9,6,,6,32
,Total,32289,10131,5107,5024,564,42984,,6616,1365,30908,30071,8109,,7272,1346
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,3298,1673,233,1440,0,4971,,991,121,2358,2358,985,,985,1299
,INDIA,572,1100,23,1077,1,1673,,485,83,526,526,526,,526,80
,INDONESIA,297,0,0,0,0,297,,93,30,1628,1648,418,,438,130
,"KOREA, SOUTH",3853,20,1,19,4,3877,,749,42,911,912,268,,269,36
,KUWAIT,325,0,0,0,1,326,,6,4,0,0,0,,0,23
,MALAYSIA,477,45,24,21,1,523,,1,7,331,341,127,,137,2
,PAKISTAN,1,0,0,0,0,1,,0,6,0,0,0,,0,5
,PHILIPPINES,378,42,18,24,0,420,,13,48,679,699,197,,217,2
,QATAR,451,0,0,0,0,451,,874,4,96,96,55,,55,0
,SAUDI ARABIA,775,15,15,0,56,846,,411,5,0,0,0,,0,33
,TAIWAN,617,168,3,165,0,785,,369,45,0,0,0,,0,33
,THAILAND,62,237,0,237,0,299,,468,25,20,20,15,,15,12
,UNITED ARAB EMIRATES,773,0,0,0,0,773,,154,12,279,279,194,,194,69
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,930,668,0,668,1,1599,,365,27,115,115,80,,80,4
,Total,12809,3968,317,3651,64,16841,,4979,459,6943,6994,2865,,2916,1728
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,0,,4,1,0,0,0,,0,4
,EGYPT,23,0,0,0,0,23,,0,24,218,218,124,,124,0
,GHANA,2,0,0,0,0,2,,0,0,0,0,0,,0,0
,KENYA,4,0,0,0,0,4,,0,1,0,0,0,,0,0
,MOROCCO,1,0,0,0,0,1,,2,0,0,0,0,,0,0
,NIGERIA,26,0,0,0,0,26,,3,5,0,0,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,436,2,0,2,2,440,,40,41,1685,1695,355,,365,14
,SOUTH SUDAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER AFRICA,95,1,0,1,4,100,,108,2,6,6,6,,6,0
,Total,587,3,0,3,6,596,,157,74,1909,1919,485,,495,18
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,363,15,15,0,6,384,,7,45,0,0,0,,0,1
,BAHRAIN,40,0,0,0,1,41,,3,3,10,10,10,,10,0
,BERMUDA,6103,25,23,2,54,6182,,1413,595,234,228,82,,85,6
,CAYMAN ISLANDS,11312,45,40,5,207,11564,,1792,77,76,76,74,,74,22
,HONG KONG,2591,767,429,338,6,3364,,3021,212,254,254,146,,146,210
,LEBANON,15,0,0,0,0,15,,6,2,0,0,0,,0,0
,MAURITIUS,102,280,279,1,0,382,,52,1,0,0,0,,0,0
,PANAMA,698,0,0,0,2,700,,14,37,344,304,120,,80,57
,SINGAPORE,4090,634,154,480,49,4773,,2308,52,56,59,25,,28,13
,OTHER BANKING CENTERS,689,75,38,37,16,780,,304,175,0,0,0,,0,12
,Total,26003,1841,978,863,341,28185,,8920,1199,974,931,457,,423,321
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,199,0,0,0,0,199,,0,0,0,0,0,,0,0
,ASIAN,1241,0,0,0,0,1241,,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,EUROPEAN,2377,0,0,0,0,2377,,0,0,0,0,0,,0,0
,INTERNATIONAL,2484,0,0,0,0,2484,,0,0,0,0,0,,0,12
,LATIN AMERICAN,1103,0,0,0,12,1115,,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,Total,7404,0,0,0,12,7416,,0,0,0,0,0,,0,12
,,,,,,,,,,,,,,,,
,UNITED STATES,166108,3972390,2142,3970248,28768,4167266,,2013629,73400,54822,48621,35159,,29999,6592
,,,,,,,,,,,,,,,,
,Grand Total,405766,4122290,24699,4097591,42497,4570553,,2147070,87593,123680,118974,58491,,54830,11179
