,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,2471,4,2035,41,2516,161,105,2460
,CANADA,38877,5135,11029,22808,66820,17272,19134,68698
,FRANCE,15654,439,8941,14319,30412,1513,2143,31041
,GERMANY,8420,54,3779,4687,13161,1249,3136,15013
,ITALY,786,104,175,5977,6867,40,220,7048
,JAPAN,15664,526,11598,7354,23544,352,3248,26411
,LUXEMBOURG,5988,7,1328,86,6081,970,1187,6275
,NETHERLANDS,6804,73,2515,1482,8359,2344,890,6887
,SWEDEN,2397,14,622,164,2575,148,491,2912
,SWITZERLAND,2623,46,1519,1675,4344,453,2348,6234
,UNITED KINGDOM,24715,5564,13226,31242,61521,5166,7212,63542
,Total,124399,11966,56767,89835,226200,29668,40114,236521
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,9103,1313,3040,12862,23278,960,1139,23444
,AUSTRIA,404,0,144,57,461,15,13,459
,CYPRUS,27,0,1,75,102,4,48,146
,DENMARK,778,1,635,28,807,14,93,886
,FINLAND,1089,0,908,97,1186,7,0,1179
,GREECE,114,0,85,0,114,31,28,111
,IRELAND,3343,114,1086,267,3724,982,1097,3840
,ISRAEL,361,0,171,0,361,35,349,676
,NEW ZEALAND,551,14,173,1838,2403,216,16,2198
,NORWAY,1662,26,678,70,1758,167,216,1806
,PORTUGAL,250,0,26,135,385,13,49,421
,SLOVAKIA,14,0,10,94,108,7,6,107
,SPAIN,1214,3,481,1588,2805,118,1324,4010
,OTHER NON G-10 DEV.,348,0,21,0,348,114,105,339
,Total,19258,1471,7459,17111,37840,2683,4483,39622
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,10,0,10,0,10,10,1,1
,CZECH REPUBLIC,84,251,66,5181,5516,100,85,5503
,HUNGARY,320,827,635,2093,3240,22,9,3228
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,165,3872,138,3895,7932,53,77,7951
,ROMANIA,35,0,33,0,35,28,0,7
,RUSSIA,493,1,59,35,529,5,105,627
,TURKEY,901,31,450,12,944,62,19,874
,OTHER E. EUROPE,199,2,54,1,202,54,41,189
,Total,2207,4984,1445,11217,18408,334,337,18380
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,97,0,74,0,97,97,32,32
,ARGENTINA,417,80,300,631,1128,288,106,947
,BRAZIL,10063,5,5867,160,10228,725,4089,13516
,CHILE,2028,1,639,30,2059,350,160,1870
,COLOMBIA,2549,0,1795,0,2549,279,80,2347
,COSTA RICA,207,0,129,0,207,45,28,190
,DOMINICAN REPUBLIC,482,0,294,0,482,194,4,292
,ECUADOR,326,0,128,26,352,153,20,218
,EL SALVADOR,261,0,192,0,261,157,2,106
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,498,0,449,0,498,214,25,308
,HONDURAS,159,0,129,0,159,94,3,68
,MEXICO,12154,4256,8438,3690,20100,1693,510,18921
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,794,0,372,0,794,209,43,628
,URUGUAY,240,397,518,202,839,198,7,648
,VENEZUELA,1628,0,899,0,1628,894,134,868
,OTHER LAT. AM. & CAR.,2545,315,1748,223,3083,1792,173,1461
,Total,34448,5054,21971,4962,44464,7382,5416,42420
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,2566,250,1950,1515,4331,270,912,4971
,INDIA,892,86,545,1105,2083,389,30,1672
,INDONESIA,243,1,123,0,244,51,104,297
,"KOREA, SOUTH",4172,7,816,10,4189,721,433,3873
,KUWAIT,281,0,268,0,281,6,50,325
,MALAYSIA,280,25,166,36,341,17,198,522
,PAKISTAN,2,0,1,0,2,1,0,1
,PHILIPPINES,374,20,176,21,415,2,16,420
,QATAR,452,0,357,0,452,33,32,451
,SAUDI ARABIA,737,19,466,2,758,3,40,790
,TAIWAN,436,3,364,165,604,161,343,785
,THAILAND,65,0,39,236,301,9,6,299
,UNITED ARAB EMIRATES,715,0,399,1,716,61,118,773
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1017,28,152,682,1727,615,550,1598
,Total,12232,439,5822,3773,16444,2339,2832,16777
,,,,,,,,,
