,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,0,0,0,28,-39,,1696,0,0,1,0,1,,0
,CANADA,1000,12005,13005,4078,18340,,29090,239,7,3549,0,1783,,3262
,FRANCE,68,2025,2093,2121,-1462,,5660,201,2,681,0,681,,679
,GERMANY,0,929,929,1622,379,,2856,103,0,255,0,153,,146
,ITALY,4,561,565,819,-2812,,474,26,0,0,0,0,,0
,JAPAN,0,2362,2362,2617,-7406,,2018,16,0,8037,0,0,,8037
,LUXEMBOURG,2327,707,3034,1612,-1855,,1339,25,8,89,0,89,,0
,NETHERLANDS,48,1544,1592,2860,2423,,2079,90,4,59,0,59,,3
,SWEDEN,0,21,21,645,2231,,1445,19,0,50,0,50,,0
,SWITZERLAND,0,5,5,1049,6163,,995,141,0,10,0,10,,0
,UNITED KINGDOM,27500,17124,44624,15510,8499,,6825,365,4,4201,0,1499,,3134
,Total,30947,37283,68230,32961,24461,,54477,1225,25,16932,0,4325,,15261
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,2681,8579,11260,5651,-4387,,6394,97,0,34,0,34,,4
,AUSTRIA,0,29,29,33,33,,2,0,0,1,0,1,,0
