,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,204,0,0,204,202,3,1751,4,0,1755,1751,0,61,0,7,68,,141,0
,CANADA,9250,3097,3387,15734,23528,840,17059,1876,415,19350,1090,12,6625,606,193,7424,,6733,45
,FRANCE,7875,422,430,8727,7673,62,4533,158,0,4691,4531,0,1608,1156,0,2764,,1334,4
,GERMANY,3445,372,213,4030,2427,11,2668,6,0,2674,2106,0,347,37,0,384,,181,0
,ITALY,140,148,0,288,126,0,14,52,0,66,10,0,32,128,0,160,,26,0
,JAPAN,6970,887,6,7863,5345,1,1877,19,13,1909,1877,0,8076,124,0,8200,,8041,0
,LUXEMBOURG,421,48,0,469,296,5,807,28,0,835,801,0,1506,0,60,1566,,1486,0
,NETHERLANDS,1121,225,12,1358,968,36,1418,0,0,1418,1416,1,306,17,201,524,,368,0
,SWEDEN,1613,30,13,1656,1138,2,219,8,0,227,313,7,340,0,55,395,,340,0
,SWITZERLAND,3287,1036,105,4428,1224,1,0,500,0,500,0,0,151,0,39,190,,89,0
,UNITED KINGDOM,14499,3404,2090,19993,11665,1833,1062,5994,0,7056,396,1,5951,827,1062,7840,,6508,41
,Total,48825,9669,6256,64750,54592,2794,31408,8645,428,40481,14291,21,25003,2895,1617,29515,,25247,90
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,6313,3289,213,9815,5482,148,29,240,0,269,75,1,202,138,551,891,,290,124
,AUSTRIA,21,1,0,22,9,0,96,0,0,96,96,0,125,1,0,126,,125,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
,DENMARK,652,4,11,667,622,0,0,0,0,0,0,0,2,0,0,2,,2,0
,FINLAND,723,13,0,736,723,0,259,1,0,260,259,0,21,0,0,21,,21,0
,GREECE,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,,25,0
,IRELAND,324,95,0,419,195,44,8,2,0,10,0,0,675,121,2929,3725,,257,65
,ISRAEL,51,54,4,109,47,0,152,3,0,155,161,0,10,0,0,10,,2,0
,NEW ZEALAND,124,210,0,334,127,9,0,2,0,2,0,0,6,3,1,10,,6,0
,NORWAY,846,32,0,878,959,5,374,0,0,374,279,0,23,1,9,33,,23,0
,PORTUGAL,4,1,0,5,2,0,130,0,0,130,130,0,0,2,0,2,,0,0
,SLOVAKIA,8,3,0,11,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,1265,18,68,1351,250,1,127,2,0,129,86,0,226,95,0,321,,12,0
,OTHER NON G-10 DEV.,8,0,0,8,7,0,0,0,0,0,0,0,11,0,0,11,,87,0
,Total,10343,3720,296,14359,8426,207,1175,250,0,1425,1086,1,1301,361,3490,5152,,851,189
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,33,619,0,652,36,8,0,717,0,717,0,0,0,154,0,154,,0,0
,HUNGARY,24,459,0,483,19,101,0,561,0,561,0,404,0,11,0,11,,0,9
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,65,1506,0,1571,27,86,22,239,0,261,22,2,6,59,0,65,,6,10
,ROMANIA,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,,1,0
,RUSSIA,20,21,0,41,18,1,0,5,0,5,0,0,1,0,0,1,,1,0
,TURKEY,325,16,0,341,381,13,2,0,0,2,2,9,2,0,0,2,,2,0
,OTHER E. EUROPE,12,2,0,14,20,2,1,0,1,2,1,0,0,0,0,0,,12,0
,Total,480,2623,0,3103,504,211,25,1522,1,1548,25,415,10,224,0,234,,22,19
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,94,0,0,0,0,0,0,0,32,0,0,32,,0,0
,ARGENTINA,26,140,0,166,7,2,4,2,0,6,1,0,14,6,0,20,,7,0
,BRAZIL,5159,39,142,5340,3627,0,2120,0,0,2120,2056,0,164,7,1,172,,137,0
,CHILE,410,61,220,691,357,0,60,3,1,64,60,0,41,0,0,41,,64,1
,COLOMBIA,1470,0,18,1488,1594,0,59,0,0,59,59,0,35,0,0,35,,36,0
,COSTA RICA,108,0,0,108,112,0,0,0,0,0,0,0,0,0,0,0,,8,0
,DOMINICAN REPUBLIC,199,0,0,199,242,0,1,0,0,1,2,0,0,0,0,0,,1,0
,ECUADOR,1,25,0,26,1,0,0,1,0,1,0,0,5,0,0,5,,5,0
,EL SALVADOR,66,0,0,66,173,0,0,0,0,0,0,0,5,0,0,5,,5,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,220,0,0,220,293,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HONDURAS,27,0,0,27,75,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MEXICO,1547,374,21,1942,1382,40,4103,121,0,4224,4094,0,653,188,0,841,,601,4
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,171,0,2,173,200,0,34,0,0,34,34,0,19,0,0,19,,18,0
,URUGUAY,5,7,0,12,19,3,0,421,30,451,0,273,8,1,0,9,,11,1
,VENEZUELA,18,0,0,18,26,0,16,0,0,16,8,0,0,0,0,0,,2,0
