,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,387,21,408,32,0,32,0,440,357,20,377,1,,0,1
,CANADA,7791,728,8519,15025,6641,21666,581,30766,6821,705,7526,4220,,18,4238
,FRANCE,2178,112,2290,7722,5277,12999,0,15289,2042,74,2116,373,,0,373
,GERMANY,3251,608,3859,4221,58,4279,0,8138,3066,640,3706,43,,0,43
,ITALY,773,31,804,5217,513,5730,0,6534,596,28,624,104,,0,104
,JAPAN,978,129,1107,6249,1102,7351,2,8460,275,126,401,525,,0,525
,LUXEMBOURG,3309,80,3389,72,4,76,3,3468,3335,70,3405,2,,0,2
,NETHERLANDS,2409,96,2505,1210,85,1295,19,3819,3952,100,4052,36,,0,36
,SWEDEN,408,156,564,122,16,138,0,702,450,156,606,5,,0,5
,SWITZERLAND,923,157,1080,180,0,180,13,1273,1157,153,1310,45,,0,45
,UNITED KINGDOM,6421,655,7076,8462,16267,24729,24,31829,5441,705,6146,3664,,25,3689
,Total,28828,2773,31601,48512,29963,78475,642,110718,27492,2777,30269,9018,,43,9061
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,2322,893,3215,4190,5828,10018,2,13235,2357,899,3256,1040,,0,1040
,AUSTRIA,154,7,161,31,23,54,0,215,167,7,174,0,,0,0
,CYPRUS,70,1,71,75,0,75,0,146,25,1,26,0,,0,0
,DENMARK,202,1,203,25,0,25,0,228,153,1,154,1,,0,1
,FINLAND,78,1,79,36,47,83,0,162,85,1,86,0,,0,0
,GREECE,101,6,107,0,0,0,0,107,82,6,88,0,,0,0
,IRELAND,2403,88,2491,124,0,124,9,2624,2802,89,2891,5,,0,5
,ISRAEL,384,19,403,3,0,3,0,406,124,27,151,0,,0,0
,NEW ZEALAND,115,104,219,584,1050,1634,0,1853,313,105,418,5,,0,5
,NORWAY,450,17,467,63,0,63,0,530,388,13,401,21,,0,21
,PORTUGAL,154,0,154,43,87,130,0,284,116,2,118,0,,0,0
,SLOVAKIA,5,0,5,91,0,91,0,96,12,0,12,0,,0,0
,SPAIN,774,31,805,692,780,1472,0,2277,823,43,866,2,,0,2
,OTHER NON G-10 DEV.,310,10,320,0,0,0,0,320,244,10,254,0,,0,0
,Total,7522,1178,8700,5957,7815,13772,11,22483,7691,1204,8895,1074,,0,1074
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,0,1,1,0,0,0,0,1,10,0,10,0,,0,0
,CZECH REPUBLIC,35,1,36,1921,2023,3944,0,3980,48,0,48,243,,0,243
,HUNGARY,282,2,284,1062,827,1889,0,2173,299,2,301,218,,95,313
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,94,2,96,1049,4909,5958,0,6054,109,1,110,208,,3566,3774
,ROMANIA,3,2,5,0,0,0,0,5,29,2,31,0,,0,0
,RUSSIA,526,44,570,10,0,10,0,580,437,37,474,0,,0,0
,TURKEY,498,31,529,0,0,0,0,529,497,19,516,9,,0,9
,OTHER E. EUROPE,161,13,174,0,0,0,0,174,162,4,166,0,,0,0
,Total,1599,96,1695,4042,7759,11801,0,13496,1591,65,1656,678,,3661,4339
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,3,0,3,0,,0,0
,ARGENTINA,84,110,194,224,337,561,9,764,271,131,402,36,,42,78
,BRAZIL,5534,351,5885,118,24,142,2,6029,3806,437,4243,5,,0,5
,CHILE,1263,16,1279,16,0,16,77,1372,1488,59,1547,0,,0,0
,COLOMBIA,649,133,782,1,0,1,1,784,757,103,860,0,,0,0
,COSTA RICA,74,8,82,0,0,0,0,82,75,12,87,0,,0,0
,DOMINICAN REPUBLIC,69,23,92,0,0,0,0,92,181,56,237,0,,0,0
,ECUADOR,127,59,186,0,0,0,0,186,246,74,320,0,,0,0
,EL SALVADOR,7,28,35,0,0,0,0,35,48,35,83,0,,0,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,69,19,88,0,0,0,0,88,155,50,205,0,,0,0
,HONDURAS,24,17,41,0,0,0,0,41,56,28,84,0,,0,0
,MEXICO,3840,771,4611,5819,1505,7324,12,11947,5062,1015,6077,4204,,8,4212
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,375,29,404,0,0,0,3,407,459,83,542,0,,0,0
,URUGUAY,26,12,38,129,39,168,0,206,189,21,210,116,,4,120
,VENEZUELA,213,621,834,0,0,0,0,834,688,904,1592,0,,0,0
,OTHER LAT. AM. & CAR.,655,170,825,182,328,510,11,1346,2092,239,2331,115,,188,303
,Total,13009,2367,15376,6489,2233,8722,115,24213,15576,3247,18823,4476,,242,4718
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,709,439,1148,497,67,564,0,1712,627,428,1055,33,,0,33
,INDIA,320,18,338,589,172,761,0,1099,325,18,343,24,,0,24
,INDONESIA,201,18,219,0,0,0,0,219,104,18,122,0,,0,0
,"KOREA, SOUTH",435,20,455,0,0,0,0,455,308,12,320,3,,0,3
,KUWAIT,31,6,37,0,0,0,0,37,32,6,38,0,,0,0
,MALAYSIA,155,7,162,32,0,32,0,194,155,7,162,23,,0,23
,PAKISTAN,0,1,1,0,0,0,0,1,0,1,1,0,,0,0
,PHILIPPINES,197,20,217,4,0,4,0,221,192,20,212,0,,0,0
,QATAR,88,4,92,0,0,0,0,92,80,4,84,0,,0,0
,SAUDI ARABIA,386,57,443,0,0,0,0,443,372,33,405,2,,0,2
,TAIWAN,65,46,111,5,131,136,0,247,48,46,94,0,,3,3
,THAILAND,21,3,24,93,108,201,0,225,16,4,20,0,,0,0
,UNITED ARAB EMIRATES,438,28,466,0,0,0,0,466,339,27,366,0,,0,0
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,708,20,728,0,660,660,0,1388,259,20,279,14,,0,14
,Total,3754,687,4441,1220,1138,2358,0,6799,2857,644,3501,99,,3,102
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EGYPT,18,4,22,0,0,0,0,22,0,4,4,0,,0,0
,GHANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,KENYA,0,0,0,0,0,0,0,0,2,0,2,0,,0,0
,MOROCCO,0,1,1,0,0,0,0,1,2,1,3,0,,0,0
