,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,20387,2039,82,1957,5886,28312,,3380,944,34506,33773,12916,,12182,95
,CANADA,43160,38085,7047,31038,15376,96621,,49056,11450,56317,55426,25754,,24571,185
,FRANCE,178157,2895,184,2711,37356,218408,,60096,5629,438121,436771,168899,,167529,570
,GERMANY,128930,33637,441,33196,58920,221487,,29387,5090,386299,392208,149998,,155483,487
,ITALY,44069,3640,136,3504,29293,77002,,11551,1677,348337,360400,84969,,97483,324
,JAPAN,79576,216712,47460,169252,30474,326762,,78113,6962,161746,157674,77834,,73762,100
,LUXEMBOURG,38619,5244,437,4807,8112,51975,,9022,2151,36724,36979,13487,,13622,695
,NETHERLANDS,68294,5999,51,5948,24216,98509,,18803,3755,206718,207734,77461,,78361,1386
,SWEDEN,22687,33,0,33,2137,24857,,7717,318,77548,78420,31711,,32581,39
,SWITZERLAND,36144,21304,1871,19433,15585,73033,,12539,6062,135495,137247,58097,,59985,2004
,UNITED KINGDOM,81958,338596,106393,232203,191128,611682,,130026,16622,582136,596115,234942,,248974,1506
,Total,741981,668184,164102,504082,418483,1828648,,409690,60660,2463947,2492747,936068,,964533,7391
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,30437,47480,2475,45005,8082,85999,,14683,2072,84358,84287,35225,,35153,461
,AUSTRIA,11403,0,0,0,1859,13262,,1334,363,32053,32642,11893,,12482,47
,CYPRUS,1636,0,0,0,817,2453,,14,68,1142,1117,495,,470,0
,DENMARK,11972,56,0,56,4494,16522,,2627,158,19461,19232,8222,,7987,10
,FINLAND,9327,14,0,14,2718,12059,,1264,218,43905,43698,17919,,17689,8
,GREECE,1328,24,0,24,1431,2783,,93,381,10032,10321,4761,,5043,31
,IRELAND,55054,3327,1531,1796,6631,65012,,7243,2393,32453,31561,14590,,13700,40
,ISRAEL,3779,1138,216,922,1041,5958,,1482,220,8071,8309,3539,,3365,33
,NEW ZEALAND,1735,1665,5,1660,644,4044,,500,59,5607,5719,2411,,2522,6
,NORWAY,11647,132,0,132,1091,12870,,2685,767,27454,27458,11445,,11449,51
,PORTUGAL,3906,105,21,84,342,4353,,417,69,59752,59084,20956,,20253,38
