,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,16443,162,10912,928,17533,1903,6795,22426
,CANADA,41480,7688,31909,33630,82798,5315,3764,81245
,FRANCE,170327,175,137347,2519,173021,8768,16798,181052
,GERMANY,118638,304,77432,32952,151894,8752,19418,162567
,ITALY,46121,243,33275,3751,50115,4861,2458,47709
,JAPAN,62926,47897,96955,172736,283559,6182,18909,296288
,LUXEMBOURG,44108,721,25971,4637,49466,8109,2510,43863
,NETHERLANDS,80798,51,34428,5964,86813,15618,3101,74293
,SWEDEN,23070,12,18054,161,23243,1870,1348,22720
,SWITZERLAND,35161,6025,34018,15149,56335,4389,5502,57448
,UNITED KINGDOM,75764,113432,142886,230315,419511,33118,34161,420554
,Total,714836,176710,643187,502742,1394288,98885,114764,1410165
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,29729,3622,13770,46870,80221,5231,2925,77917
,AUSTRIA,12545,0,6424,0,12545,1781,639,11403
,CYPRUS,2409,0,1797,0,2409,883,110,1636
,DENMARK,10828,13,9332,42,10883,710,1856,12028
,FINLAND,8666,1,5136,14,8681,306,964,9341
,GREECE,1331,0,1004,36,1367,242,227,1352
,IRELAND,57933,5134,43238,1885,64952,9659,3088,58381
,ISRAEL,3916,167,2468,930,5013,438,344,4917
,NEW ZEALAND,1967,5,1773,1732,3704,471,170,3400
,NORWAY,11427,12,8890,120,11559,877,1099,11779
,PORTUGAL,4440,21,2680,84,4545,848,313,4011
,SLOVAKIA,292,17,81,223,532,14,9,527
,SPAIN,39131,224,28560,1624,40979,4286,2015,38709
,OTHER NON G-10 DEV.,2696,1,2272,3,2700,1765,260,1193
,Total,187310,9217,127425,53563,250090,27511,14019,236594
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,129,197,181,157,483,61,6,427
,CZECH REPUBLIC,993,167,632,2940,4100,179,55,3977
,HUNGARY,1984,160,1375,2126,4270,252,139,4160
,POLAND,3500,915,3497,9105,13520,527,196,13184
,ROMANIA,576,702,1017,1329,2607,180,1,2426
,RUSSIA,8273,778,4401,3960,13011,1034,3990,15964
,TURKEY,18056,764,16592,2754,21574,1560,2611,22625
,OTHER E. EUROPE,2576,11,1787,340,2927,456,20,2492
,Total,36087,3694,29482,22711,62492,4249,7018,65255
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,2779,0,2763,0,2779,53,7,2732
,ARGENTINA,1491,567,1534,3993,6051,715,48,5382
,BRAZIL,38387,3883,25789,28499,70769,6445,15811,80134
,CHILE,7141,235,4756,2480,9856,685,355,9527
,COLOMBIA,5650,113,4268,3933,9696,1404,258,8553
,COSTA RICA,826,387,715,626,1839,119,18,1736
,DOMINICAN REPUBLIC,1139,83,917,336,1558,310,7,1254
,ECUADOR,770,586,715,0,1356,126,0,1230
,EL SALVADOR,458,1708,1355,0,2166,106,28,2087
,GUATEMALA,1286,318,1362,791,2395,170,157,2381
,HONDURAS,333,63,243,128,524,145,2,381
,MEXICO,28922,6197,21791,67853,102972,6628,1450,97797
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,2653,1185,2594,855,4693,493,321,4518
,URUGUAY,1007,263,725,284,1554,156,3,1400
,VENEZUELA,1929,1,1597,921,2851,312,29,2566
,OTHER LAT. AM. & CAR.,27436,812,22513,943,29191,14548,766,15405
,Total,122207,16401,93637,111642,250250,32415,19260,237083
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,55586,6730,53547,26301,88617,6445,10706,92882
,INDIA,41453,4517,39801,29592,75562,4029,9385,80915
,INDONESIA,9038,3460,10244,3758,16256,2937,783,14102
,"KOREA, SOUTH",31925,5464,32891,45754,83143,2632,3191,83699
,KUWAIT,6424,71,6040,252,6747,130,32,6646
,MALAYSIA,5409,1591,3772,9073,16073,469,577,16180
,PAKISTAN,379,38,262,763,1180,168,1,1011
,PHILIPPINES,2918,885,2837,3956,7759,652,246,7357
,QATAR,2965,0,1059,63,3028,494,137,2671
,SAUDI ARABIA,16101,289,15208,1926,18316,806,607,18117
,TAIWAN,18877,3787,22143,17926,40590,891,1548,41251
,THAILAND,2915,241,1948,7358,10514,632,295,10181
,UNITED ARAB EMIRATES,8985,2368,7706,2896,14249,2306,893,12832
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,6337,1733,4650,1918,9988,2305,364,8045
,Total,209312,31174,202108,151536,392022,24896,28765,395889
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,156,251,285,1177,1584,350,0,1233
,EGYPT,381,91,291,1566,2038,257,0,1780
,GHANA,678,0,250,0,678,357,123,444
,KENYA,500,189,443,596,1285,42,12,1255
,MOROCCO,472,0,385,348,820,72,2,751
,NIGERIA,1996,220,1425,1677,3893,183,80,3789
,SAINT HELENA,0,0,0,0,0,0,40,40
,SOUTH AFRICA,7781,1052,6870,5105,13938,800,1386,14525
,OTHER AFRICA,2983,400,1883,1084,4467,1261,69,3282
,Total,14947,2203,11832,11553,28703,3322,1712,27099
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,10360,435,10034,98,10893,5427,734,6199
,BAHRAIN,1244,52,1081,424,1720,862,39,896
,BERMUDA,15075,115,9493,0,15190,3797,3468,14865
,CAYMAN ISLANDS,308345,1219,213887,0,309564,36211,2944,276300
,HONG KONG,22259,14293,30675,25419,61971,15186,6298,53082
,LEBANON,1153,169,814,29,1351,220,7,1139
,MAURITIUS,1786,132,865,14,1932,1101,58,889
,PANAMA,3374,1296,2430,0,4670,1731,173,3115
,SINGAPORE,33927,11848,41848,22576,68351,7213,4789,65925
,OTHER BANKING CENTERS,13680,1450,9032,899,16029,4349,1875,13558
,Total,411203,31009,320159,49459,491671,76097,20385,435968
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,250,0,106,0,250,0,11,261
,ASIAN,934,0,567,0,934,0,349,1283
,EUROPEAN,11444,0,4708,0,11444,0,975,12419
,INTERNATIONAL,3376,0,2093,0,3376,0,433,3809
,LATIN AMERICAN,864,0,413,0,864,15,28,878
,MIDDLE EASTERN,10,0,10,0,10,0,0,10
,Total,16878,0,7897,0,16878,15,1796,18660
,,,,,,,,,
,UNITED STATES,145569,13078,111564,6936744,7095391,258611,318291,7155077
,,,,,,,,,
,Grand Total,1858349,283486,1547291,7839950,9981785,526001,526010,9981790
