,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,44762,8330,53092,8779,-33692,,1761,4082,1103,1496,0,263,,1401
,CANADA,6768,29657,36425,40378,12521,,14282,17307,2653,18132,0,10926,,18021
,FRANCE,129,11282,11411,63959,1150,,23398,37839,9811,83706,363,37662,,83288
,GERMANY,10509,34321,44830,65581,28192,,27833,40612,6716,13124,0,4840,,12989
,ITALY,990,8102,9092,26290,5962,,1694,27616,6835,6311,1,843,,6311
,JAPAN,11573,97583,109156,101853,103842,,5611,61949,19525,132307,0,56750,,132304
,LUXEMBOURG,23059,13750,36809,89067,-25303,,5497,7980,886,7448,0,838,,7448
,NETHERLANDS,23387,8014,31401,40694,-31012,,26519,15862,2095,3287,0,2083,,2929
,SWEDEN,595,376,971,10449,-819,,3411,6892,1198,7793,0,2087,,7784
,SWITZERLAND,11211,2109,13320,36889,7050,,3149,7835,224,10644,0,1959,,10626
,UNITED KINGDOM,727072,264855,991927,284471,332234,,59938,67280,10943,108734,1,44353,,108415
,Total,860055,478379,1338434,768410,400125,,173093,295254,61989,392982,365,162604,,391516
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4100,41626,45726,57085,13637,,19427,19668,1665,4369,27,1881,,4269
,AUSTRIA,4,37,41,5645,-41,,3560,3478,300,2321,0,1538,,2321
,CYPRUS,0,0,0,1127,0,,0,227,1,383,0,259,,325
,DENMARK,1565,940,2505,12170,-2427,,424,4165,373,2570,0,1054,,2570
,FINLAND,194,281,475,3147,-443,,2724,2638,503,903,0,288,,903
,GREECE,59,441,500,2004,-445,,0,470,116,369,0,369,,107
,IRELAND,8762,5605,14367,65035,117,,4631,11633,821,21029,6,7329,,21002
,ISRAEL,1056,719,1775,3598,-544,,286,1534,170,304,0,304,,304
,NEW ZEALAND,25,1061,1086,2497,717,,60,1582,120,140,19,50,,120
,NORWAY,134,588,722,4459,-575,,1147,2910,142,3765,0,420,,3493
,PORTUGAL,37,87,124,2630,-6,,121,2002,415,1082,0,524,,1082
,SLOVAKIA,52,495,547,928,-284,,4,163,35,49,0,49,,10
,SPAIN,397,1132,1529,8261,4526,,2527,18719,3686,8765,0,2720,,8743
,OTHER NON G-10 DEV.,0,1,1,6484,3,,0,465,43,18,0,7,,6
,Total,16385,53013,69398,175070,14235,,34911,69654,8390,46067,52,16792,,45255
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,201,254,455,1611,-108,,86,101,39,69,3,66,,32
,CZECH REPUBLIC,1127,1719,2846,3155,581,,676,797,87,241,2,240,,44
,HUNGARY,638,1161,1799,1980,609,,577,1391,152,239,3,131,,166
,POLAND,1799,6283,8082,9039,2790,,3183,2651,626,2403,0,939,,2403
,ROMANIA,468,988,1456,1455,601,,588,1133,116,166,0,166,,153
,RUSSIA,2117,3802,5919,11828,-832,,395,3174,458,492,0,478,,488
,TURKEY,680,1345,2025,2837,1478,,231,2616,449,5351,0,4328,,5261
,OTHER E. EUROPE,94,230,324,1706,36,,31,931,215,636,0,399,,636
,Total,7124,15782,22906,33611,5155,,5767,12794,2142,9597,8,6747,,9183
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,708,0,,0,0,0,2385,0,784,,2385
,ARGENTINA,493,3192,3685,4182,946,,449,1182,142,414,1,401,,358
,BRAZIL,396,13664,14060,16020,15975,,3417,25018,3254,11548,308,9616,,10663
,CHILE,4,25,29,1274,2338,,1138,758,198,15,0,6,,15
,COLOMBIA,58,3273,3331,3816,1087,,165,1452,81,815,0,704,,797
,COSTA RICA,380,343,723,894,555,,109,102,11,259,0,247,,17
,DOMINICAN REPUBLIC,77,233,310,550,112,,112,143,37,54,2,54,,0
,ECUADOR,539,0,539,910,81,,42,457,5,63,2,63,,0
,EL SALVADOR,1284,0,1284,1308,1251,,198,35,10,16,0,16,,8
,GUATEMALA,262,440,702,838,836,,109,87,5,145,0,145,,39
,HONDURAS,27,77,104,183,94,,76,35,0,2,0,2,,0
,MEXICO,3652,58402,62054,64093,17031,,21502,13730,1025,7010,3,4692,,6682
,MONTSERRAT,0,0,0,16,0,,0,0,0,0,0,0,,0
,PERU,959,762,1721,2340,318,,163,410,81,161,7,161,,0
,URUGUAY,2050,156,2206,1083,1293,,0,283,8,59,1,59,,0
,VENEZUELA,22,765,787,1453,191,,145,256,102,5,0,5,,0
,OTHER LAT. AM. & CAR.,1053,872,1925,27716,484,,672,1839,205,1176,5,246,,1048
,Total,11256,82204,93460,127384,42592,,28297,45787,5164,24127,329,17201,,22012
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6039,22433,28472,47330,6796,,3079,36100,1664,4450,253,1070,,4197
,INDIA,3317,7165,10482,19142,12321,,10608,34670,3075,1767,38,1767,,0
,INDONESIA,2139,2716,4855,11243,2425,,867,4633,704,275,89,119,,182
,"KOREA, SOUTH",4955,30449,35404,39768,19895,,14660,13914,573,12898,0,3979,,12853
,KUWAIT,153,181,334,6332,-5,,224,114,54,5447,0,1342,,5447
,MALAYSIA,4069,7197,11266,17108,597,,623,3163,677,520,39,239,,450
,PAKISTAN,43,568,611,669,201,,305,255,18,75,0,75,,67
,PHILIPPINES,2754,3303,6057,8720,1447,,512,1049,129,801,0,323,,793
,QATAR,16,73,89,1347,-25,,26,238,115,135,0,24,,135
,SAUDI ARABIA,142,37,179,28772,2045,,0,1450,672,14167,0,5203,,14119
,TAIWAN,11432,8798,20230,32493,9226,,1470,10202,184,9444,178,1756,,9024
,THAILAND,1016,5645,6661,9291,1219,,2343,2619,745,840,43,832,,797
,UNITED ARAB EMIRATES,4446,2073,6519,11415,2052,,22,1157,359,1363,38,198,,1323
,WEST BANK AND GAZA,0,0,0,23,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,2686,1693,4379,14653,-760,,712,2051,266,291,1,98,,74
,Total,43207,92331,135538,248306,57434,,35451,111615,9235,52473,679,17025,,49461
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,250,875,1125,1089,301,,31,5,0,0,0,0,,0
,EGYPT,327,1253,1580,1468,244,,493,610,27,43,0,43,,0
,GHANA,0,0,0,387,0,,0,167,6,0,0,0,,0
,KENYA,384,292,676,861,122,,548,81,17,50,0,50,,7
,MOROCCO,60,251,311,299,22,,182,82,9,0,0,0,,0
,NIGERIA,1065,735,1800,5542,93,,834,532,54,528,1,135,,524
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,289,4593,4882,10884,567,,1084,3369,1158,4346,0,1662,,4346
,OTHER AFRICA,680,1012,1692,5810,173,,480,325,46,698,0,470,,311
,Total,3055,9011,12066,26340,1522,,3652,5171,1317,5665,1,2360,,5188
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,32006,102,32108,5777,-10341,,67,100,3,3944,2,509,,3880
,BAHRAIN,534,225,759,1240,-77,,185,71,3,146,0,139,,144
,BERMUDA,212,1,213,9997,4521,,501,2757,156,2543,2,344,,2249
,CAYMAN ISLANDS,149039,1160,150199,155442,-94888,,62655,19816,1847,146918,132,30280,,146894
,HONG KONG,40932,22429,63361,48696,13969,,5729,9119,1311,821,266,583,,370
,LEBANON,213,21,234,4730,-35,,0,587,13,0,0,0,,0
,MAURITIUS,280,0,280,1233,13606,,65,105,0,63,0,10,,63
,PANAMA,1530,0,1530,3397,-50,,173,231,45,197,2,167,,22
,SINGAPORE,44782,18739,63521,48137,21739,,6488,3094,555,22132,88,7217,,21970
,OTHER BANKING CENTERS,22844,3709,26553,41112,-13147,,681,3191,176,1280,1,445,,1261
,Total,292372,46386,338758,319761,-64703,,76544,39071,4109,178044,493,39694,,176853
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
