,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,6130,283,2338,8751,6404,80,4187,604,1550,6341,5004,0,3021,65,275,3361,,1848,51
,CANADA,11917,3048,5083,20048,10898,780,6051,11851,2034,19936,4074,790,14826,7233,6232,28291,,15338,390
,FRANCE,54316,59,26224,80599,42528,3,27022,317,3201,30540,27285,0,72716,51,4822,77589,,73395,13
,GERMANY,27741,431,32707,60879,19084,36,49972,30491,13821,94284,49284,2,28213,1587,4105,33905,,27710,81
,ITALY,12276,928,3808,17012,13197,0,18337,360,21860,40557,19550,2,5734,428,1400,7562,,5399,94
,JAPAN,44017,41592,17647,103256,29148,34880,3165,103264,3731,110160,3402,4874,6933,58285,7642,72860,,5436,6349
,LUXEMBOURG,4176,54,505,4735,5419,46,2066,4006,10,6082,2342,0,22711,970,6260,29941,,24622,539
,NETHERLANDS,9928,18,7970,17916,8809,1,6834,5736,1063,13633,7165,0,33849,138,11909,45896,,34848,37
,SWEDEN,9708,7,784,10499,9652,0,3397,2,281,3680,3259,0,5398,22,910,6330,,5434,12
,SWITZERLAND,11794,127,5636,17557,10843,104,5182,14754,56,19992,5026,0,6522,299,1339,8160,,6385,259
,UNITED KINGDOM,11410,32353,74126,117889,16088,27696,5497,77153,8740,91390,5091,1093,52066,166278,92701,311045,,40616,69009
,Total,203413,78900,176828,459141,172070,63626,131710,248538,56347,436595,131482,6761,251989,235356,137595,624940,,241031,76834
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,12313,8436,3558,24307,11673,497,2095,11461,277,13833,1764,0,8796,8302,3229,20327,,8789,1225
,AUSTRIA,2426,0,901,3327,2254,0,6505,0,579,7084,6879,0,831,0,135,966,,994,0
,CYPRUS,177,0,3,180,156,0,30,0,0,30,42,0,1147,0,473,1620,,1233,0
,DENMARK,3827,10,1261,5098,2945,0,538,24,235,797,520,0,4010,21,1766,5797,,3991,13
,FINLAND,3138,0,1336,4474,2642,0,3974,11,747,4732,3826,0,930,1,401,1332,,862,1
,GREECE,671,1,230,902,609,0,140,0,1180,1320,165,0,16,0,3,19,,16,0
,IRELAND,9561,327,547,10435,9536,167,1469,173,98,1740,1725,8,33755,1726,4929,40410,,36533,4816
,ISRAEL,513,33,345,891,483,8,984,875,11,1870,1062,3,445,9,207,661,,498,0
,NEW ZEALAND,445,942,281,1668,487,1,617,442,110,1169,617,0,182,49,65,296,,305,1
,NORWAY,2412,0,353,2765,2429,0,4501,117,165,4783,4541,0,2383,13,189,2585,,2033,12
,PORTUGAL,1478,2,55,1535,1578,0,981,1,185,1167,1654,0,405,0,19,424,,209,0
,SLOVAKIA,0,1,3,4,3,0,116,70,64,250,116,0,0,7,0,7,,0,0
,SPAIN,13567,25,2820,16412,13996,1,7755,284,348,8387,8724,0,5241,147,334,5722,,5084,129
,OTHER NON G-10 DEV.,485,1,32,518,1954,1,49,0,89,138,62,0,444,0,172,616,,226,0
,Total,51013,9778,11725,72516,50745,675,29754,13458,4088,47300,31697,11,58585,10275,11922,80782,,60773,6197
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,15,11,0,26,16,11,20,225,0,245,20,129,0,32,0,32,,0,32
,CZECH REPUBLIC,146,39,58,243,198,3,478,2128,36,2642,551,0,3,48,14,65,,3,1
,HUNGARY,119,87,102,308,239,6,1360,1600,422,3382,1405,7,45,16,5,66,,45,0
,POLAND,991,735,178,1904,989,103,1976,4745,0,6721,2087,176,72,403,17,492,,72,5
,ROMANIA,7,51,8,66,47,13,231,1506,0,1737,247,395,72,173,4,249,,72,152
,RUSSIA,2392,602,482,3476,2378,214,939,1056,1,1996,969,52,174,398,69,641,,87,58
,TURKEY,15549,1513,913,17975,14371,5,263,626,0,889,304,303,663,49,30,742,,710,23
,OTHER E. EUROPE,543,2,57,602,657,2,1194,238,40,1472,1358,0,35,0,2,37,,53,0
,Total,19762,3040,1798,24600,18895,357,6461,12124,499,19084,6941,1062,1064,1119,141,2324,,1042,271
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,21,0,0,0,0,0,0,0,2669,0,40,2709,,2673,0
,ARGENTINA,115,207,15,337,132,32,320,1818,0,2138,305,385,10,31,0,41,,11,2
,BRAZIL,15384,7133,667,23184,6764,184,12162,15902,0,28064,15467,1146,2059,1559,740,4358,,1628,767
,CHILE,3805,1986,826,6617,3684,18,105,406,10,521,109,50,299,135,332,766,,414,95
,COLOMBIA,2145,186,238,2569,2110,15,1019,1155,1,2175,1051,73,36,20,108,164,,33,0
,COSTA RICA,435,115,1,551,500,58,30,373,0,403,30,151,1,0,1,2,,1,0
,DOMINICAN REPUBLIC,279,14,0,293,366,1,164,235,0,399,254,23,0,0,0,0,,13,0
,ECUADOR,71,72,1,144,71,72,412,161,51,624,412,161,0,45,0,45,,17,45
,EL SALVADOR,201,138,0,339,272,138,22,451,0,473,22,451,16,7,0,23,,29,7
,GUATEMALA,744,153,0,897,826,52,21,340,0,361,21,111,28,3,0,31,,32,3
,HONDURAS,84,14,2,100,195,4,28,147,2,177,28,51,0,0,0,0,,0,0
,MEXICO,3338,5975,1280,10593,2871,148,7508,26657,240,34405,8302,1807,882,6496,294,7672,,997,82
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1239,54,98,1391,1346,31,149,850,57,1056,172,680,171,62,8,241,,136,17
,URUGUAY,390,5,4,399,394,2,81,310,117,508,118,90,1,19,2,22,,1,0
