,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5531,1518,7049,841,246,1087,1723,9859,2914,273,3187,21,,10,31
,CANADA,9647,719,10366,11626,4327,15953,2026,28345,10510,660,11170,5175,,553,5728
,FRANCE,23125,978,24103,1941,527,2468,3110,29681,25973,1146,27119,157,,2,159
,GERMANY,22891,113,23004,1037,91,1128,8287,32419,22415,145,22560,179,,6,185
,ITALY,7499,223,7722,1103,821,1924,2225,11871,7590,385,7975,117,,30,147
,JAPAN,25306,155,25461,11379,2192,13571,1455,40487,24799,141,24940,1792,,2,1794
,LUXEMBOURG,9315,351,9666,214,0,214,1338,11218,11658,67,11725,136,,0,136
,NETHERLANDS,17616,67,17683,107,0,107,3275,21065,29873,103,29976,13,,0,13
,SWEDEN,4157,27,4184,2,0,2,163,4349,4632,93,4725,0,,0,0
,SWITZERLAND,11804,842,12646,3100,3024,6124,8554,27324,12494,413,12907,3124,,2538,5662
,UNITED KINGDOM,11548,1437,12985,50644,12168,62812,15560,91357,11911,2058,13969,14429,,1205,15634
,Total,148439,6430,154869,81994,23396,105390,47716,307975,164769,5484,170253,25143,,4346,29489
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7005,228,7233,8146,11135,19281,1018,27532,7189,314,7503,1900,,0,1900
,AUSTRIA,1627,14,1641,0,0,0,245,1886,2406,12,2418,0,,0,0
,CYPRUS,267,15,282,0,0,0,341,623,966,12,978,0,,0,0
,DENMARK,3584,13,3597,1,0,1,1233,4831,3360,12,3372,0,,0,0
,FINLAND,1271,14,1285,1,1,2,235,1522,1317,19,1336,0,,0,0
,GREECE,475,26,501,19,4,23,18,542,501,40,541,0,,0,0
,IRELAND,9997,272,10269,770,331,1101,1057,12427,9991,148,10139,143,,0,143
,ISRAEL,1484,353,1837,221,0,221,479,2537,1637,236,1873,156,,0,156
,NEW ZEALAND,435,56,491,232,0,232,188,911,486,72,558,3,,0,3
,NORWAY,2302,49,2351,2,0,2,384,2737,2375,49,2424,0,,0,0
,PORTUGAL,1027,15,1042,102,0,102,83,1227,966,33,999,21,,0,21
,SLOVAKIA,168,4,172,161,0,161,12,345,169,4,173,17,,0,17
,SPAIN,9815,749,10564,1113,13,1126,1102,12792,10321,1006,11327,94,,0,94
,OTHER NON G-10 DEV.,209,5,214,0,0,0,75,289,418,36,454,0,,0,0
,Total,39666,1813,41479,10768,11484,22252,6470,70201,42102,1993,44095,2334,,0,2334
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,70,0,70,54,0,54,4,128,93,0,93,25,,0,25
,CZECH REPUBLIC,228,16,244,688,203,891,269,1404,219,22,241,163,,0,163
,HUNGARY,379,3,382,316,235,551,47,980,291,4,295,145,,2,147
,POLAND,390,15,405,2324,1533,3857,61,4323,336,16,352,606,,25,631
,ROMANIA,131,4,135,251,0,251,7,393,206,4,210,142,,0,142
,RUSSIA,7627,432,8059,1488,856,2344,395,10798,4430,409,4839,447,,7,454
,TURKEY,2696,169,2865,1095,2,1097,193,4155,2501,170,2671,433,,0,433
,OTHER E. EUROPE,412,3,415,61,4,65,89,569,499,9,508,9,,0,9
,Total,11933,642,12575,6277,2833,9110,1065,22750,8575,634,9209,1970,,34,2004
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,63,0,63,0,0,0,13,76,85,0,85,0,,0,0
,ARGENTINA,762,73,835,1177,869,2046,1,2882,922,121,1043,106,,42,148
,BRAZIL,19010,292,19302,4978,1655,6633,1940,27875,14015,513,14528,1786,,0,1786
,CHILE,2544,62,2606,182,3,185,224,3015,2825,109,2934,72,,0,72
,COLOMBIA,1454,62,1516,709,1767,2476,249,4241,2359,97,2456,25,,0,25
,COSTA RICA,247,11,258,127,397,524,36,818,280,15,295,79,,99,178
,DOMINICAN REPUBLIC,384,34,418,144,0,144,4,566,438,68,506,59,,0,59
,ECUADOR,142,19,161,308,0,308,1,470,243,27,270,308,,0,308
,EL SALVADOR,132,8,140,326,786,1112,28,1280,123,12,135,326,,786,1112
,GUATEMALA,467,15,482,109,501,610,45,1137,398,9,407,86,,66,152
,HONDURAS,65,16,81,27,0,27,9,117,94,16,110,8,,0,8
,MEXICO,11334,1526,12860,14831,19250,34081,1550,48491,14062,2690,16752,4092,,68,4160
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1025,78,1103,591,299,890,113,2106,935,64,999,391,,66,457
,URUGUAY,359,22,381,213,0,213,10,604,464,30,494,171,,0,171
,VENEZUELA,218,240,458,132,227,359,0,817,258,376,634,0,,0,0
,OTHER LAT. AM. & CAR.,4686,1183,5869,277,156,433,490,6792,15354,1188,16542,181,,102,283
,Total,42892,3641,46533,24131,25910,50041,4713,101287,52855,5335,58190,7690,,1229,8919
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,23841,670,24511,7720,3524,11244,8063,43818,19391,779,20170,4581,,308,4889
,INDIA,19783,288,20071,7641,4196,11837,795,32703,18976,435,19411,3501,,3,3504
,INDONESIA,1890,1249,3139,2515,1,2516,217,5872,3067,1538,4605,1347,,0,1347
,"KOREA, SOUTH",11195,67,11262,5744,20743,26487,607,38356,9385,67,9452,2912,,194,3106
,KUWAIT,412,28,440,64,0,64,25,529,427,105,532,46,,0,46
,MALAYSIA,714,299,1013,1279,4953,6232,267,7512,725,347,1072,778,,1,779
,PAKISTAN,159,12,171,200,0,200,3,374,208,13,221,30,,0,30
,PHILIPPINES,770,201,971,477,991,1468,39,2478,688,283,971,303,,9,312
,QATAR,911,26,937,3,0,3,558,1498,1189,81,1270,0,,0,0
,SAUDI ARABIA,854,178,1032,879,0,879,57,1968,920,304,1224,206,,0,206
,TAIWAN,7288,473,7761,4019,6091,10110,171,18042,6893,414,7307,2418,,0,2418
,THAILAND,827,94,921,905,1951,2856,403,4180,715,163,878,126,,3,129
,UNITED ARAB EMIRATES,1953,517,2470,712,1185,1897,418,4785,1470,1160,2630,665,,499,1164
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,2256,89,2345,629,53,682,194,3221,2976,140,3116,312,,1,313
,Total,72853,4191,77044,32787,43688,76475,11817,165336,67030,5829,72859,17225,,1018,18243
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,120,0,120,392,0,392,0,512,120,0,120,64,,0,64
,EGYPT,62,52,114,111,150,261,0,375,66,90,156,35,,0,35
,GHANA,141,1,142,0,0,0,0,142,89,11,100,0,,0,0
,KENYA,35,48,83,256,0,256,9,348,35,67,102,140,,0,140
,MOROCCO,56,0,56,74,0,74,2,132,63,0,63,0,,0,0
,NIGERIA,302,0,302,511,0,511,32,845,273,5,278,167,,0,167
,SAINT HELENA,4,0,4,0,0,0,0,4,0,0,0,0,,0,0
,SOUTH AFRICA,1985,37,2022,1799,0,1799,79,3900,954,45,999,58,,0,58
,OTHER AFRICA,770,42,812,454,7,461,265,1538,1488,66,1554,214,,0,214
,Total,3475,180,3655,3597,157,3754,387,7796,3088,284,3372,678,,0,678
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
,BAHAMAS,607,57,664,744,241,985,57,1706,2743,68,2811,431,,1,432
,BAHRAIN,47,11,58,6,175,181,1,240,47,147,194,2,,16,18
,BERMUDA,6684,50,6734,28,0,28,952,7714,5586,7,5593,28,,0,28
,CAYMAN ISLANDS,13884,58,13942,282,31,313,2961,17216,15686,50,15736,288,,1,289
,HONG KONG,6089,1084,7173,9524,8598,18122,2195,27490,6044,1775,7819,7641,,1514,9155
,LEBANON,17,11,28,114,0,114,0,142,10,17,27,121,,0,121
,MAURITIUS,276,34,310,10,0,10,12,332,1125,48,1173,10,,0,10
,PANAMA,697,37,734,349,449,798,364,1896,1672,52,1724,356,,449,805
,SINGAPORE,2938,563,3501,6438,11427,17865,1477,22843,3220,411,3631,5054,,2180,7234
,OTHER BANKING CENTERS,6364,147,6511,25,667,692,672,7875,7154,192,7346,210,,284,494
,Total,37603,2052,39655,17520,21588,39108,8691,87454,43287,2767,46054,14141,,4445,18586
,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,
,UNITED STATES,52010,2150,54160,1113333,1643707,2757040,71265,2882465,36991,1623,38614,3934,,73,4007
,,,,,,,,,,,,,,,,
,Grand Total,408871,21099,429970,1290407,1772763,3063170,152124,3645264,418697,23949,442646,73115,,11145,84260
