,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,22655,2151,936,1215,4737,29543,,2769,918,33786,32885,12725,,11805,137
,CANADA,85436,64828,8345,56483,16702,166966,,95455,14924,57020,56402,25314,,24744,359
,FRANCE,185846,19263,772,18491,30296,235405,,61538,6365,431012,423934,173547,,165786,654
,GERMANY,125088,45117,559,44558,49858,220063,,37403,7209,380701,382555,154091,,155300,614
,ITALY,47070,10861,261,10600,24416,82347,,9369,1804,363069,370932,92586,,100442,381
,JAPAN,106289,242993,53236,189757,30153,379435,,79220,6715,159449,156559,74316,,71424,222
,LUXEMBOURG,45989,7063,1111,5952,6014,59066,,10634,2507,36572,36902,13558,,13863,528
,NETHERLANDS,70395,8545,176,8369,16115,95055,,27804,4312,208096,207633,79626,,78910,1145
,SWEDEN,20765,562,6,556,1447,22774,,6919,430,76316,75919,32961,,32456,106
,SWITZERLAND,33089,24691,5965,18726,7419,65199,,18061,6271,136098,134144,60127,,57859,2050
,UNITED KINGDOM,113621,376353,122319,254034,159491,649465,,144235,16143,582796,596725,241835,,254943,1684
,Total,856243,802427,193686,608741,346648,2005318,,493407,67598,2464915,2474590,960686,,967532,7880
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,38022,59575,3049,56526,6839,104436,,30396,2816,100423,100083,37057,,36692,637
,AUSTRIA,12206,58,0,58,1370,13634,,1551,197,29943,30547,11168,,11750,26
,CYPRUS,1761,80,0,80,487,2328,,69,49,1137,1165,533,,560,5
,DENMARK,10582,126,13,113,3398,14106,,2722,134,20224,20086,8042,,8336,12
,FINLAND,11543,110,1,109,2168,13821,,1645,255,43060,42245,17467,,16591,7
,GREECE,1155,158,0,158,864,2177,,162,384,8909,8899,4346,,4313,5
,IRELAND,63819,4606,1912,2694,5249,73674,,8327,2576,32459,31418,14997,,13953,25
,ISRAEL,4890,1280,256,1024,928,7098,,1199,344,8189,8218,3428,,3454,68
,NEW ZEALAND,1747,3311,19,3292,1398,6456,,1890,105,5707,5791,2448,,2536,10
,NORWAY,11867,173,26,147,783,12823,,3503,715,27440,27392,11730,,11646,89
,PORTUGAL,4769,247,22,225,146,5162,,589,126,55848,54382,20420,,18909,11
,SLOVAKIA,258,333,20,313,98,689,,61,82,3873,3844,1199,,1172,8
,SPAIN,36691,3341,174,3167,4679,44711,,6436,1471,170731,168828,61288,,59295,358
,OTHER NON G-10 DEV.,1467,2,0,2,173,1642,,249,39,2218,2050,1010,,842,10
,Total,200777,73400,5492,67908,28580,302757,,58799,9293,510161,504948,195133,,190049,1271
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,93,325,150,175,4,422,,15,48,5470,5455,2287,,2272,0
,CZECH REPUBLIC,908,9460,410,9050,317,10685,,1176,397,3956,4065,1467,,1577,19
,HUNGARY,2339,2447,132,2315,464,5250,,898,216,19121,19022,4579,,4476,129
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,6546,20203,5107,15096,248,26997,,4876,429,13883,13785,4399,,4293,99
,ROMANIA,350,1931,421,1510,16,2297,,56,148,5164,5188,2104,,2128,32
,RUSSIA,10758,4450,909,3541,735,15943,,1700,451,96136,95060,24886,,23811,219
,TURKEY,18405,3468,892,2576,1100,22973,,578,259,65466,63844,16953,,15260,4904
,OTHER E. EUROPE,2438,434,11,423,201,3073,,145,197,29440,29546,9360,,9451,185
,Total,41837,42718,8032,34686,3085,87640,,9444,2145,238636,235965,66035,,63268,5587
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,3553,0,0,0,71,3624,,276,0,0,0,0,,0,1
,ARGENTINA,1606,4820,621,4199,20,6446,,1950,138,67,30,67,,30,343
,BRAZIL,63815,30668,3592,27076,7321,101804,,7427,2058,61536,60904,22200,,21529,10107
,CHILE,9069,2755,602,2153,1401,13225,,707,147,6228,6589,2806,,3166,2780
,COLOMBIA,6079,3804,161,3643,527,10410,,3357,649,13374,14304,4039,,4714,1534
