,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,18201,188,10948,1096,19485,1921,7240,24806
,CANADA,80769,8680,45283,60110,149559,21378,22082,150264
,FRANCE,174324,646,137750,18476,193446,8420,20083,205109
,GERMANY,110334,458,71496,44444,155236,8669,23648,170205
,ITALY,49603,292,36568,10921,60816,5051,2164,57931
,JAPAN,77837,53804,105802,191995,323636,6099,31741,349282
,LUXEMBOURG,50058,1053,29222,6047,57158,7971,3863,53052
,NETHERLANDS,83462,192,32337,8374,92028,18564,5480,78940
,SWEDEN,20121,7,13237,561,20689,1391,2030,21327
,SWITZERLAND,29182,5846,26545,18731,53759,4499,8519,57780
,UNITED KINGDOM,101296,120252,154174,263714,485262,41117,45836,489974
,Total,795187,191418,663362,624469,1611074,125080,172686,1658670
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,36804,3737,16726,60007,100548,6544,3587,97597
,AUSTRIA,12974,0,7545,80,13054,1356,566,12264
,CYPRUS,2498,0,1384,80,2578,881,145,1841
,DENMARK,9104,13,7490,113,9230,453,1933,10708
,FINLAND,10803,3,6787,110,10916,240,983,11653
,GREECE,1237,0,746,195,1432,342,224,1313
,IRELAND,67246,5358,49183,2664,75268,11154,4317,68425
,ISRAEL,4513,179,2317,986,5678,511,1005,6170
,NEW ZEALAND,2218,19,1666,3393,5630,610,40,5058
,NORWAY,11189,26,7696,147,11362,744,1423,12040
,PORTUGAL,5098,22,3559,228,5348,640,310,5016
,SLOVAKIA,283,19,114,342,644,74,20,591
,SPAIN,38092,165,26570,3432,41689,4405,2744,40032
,OTHER NON G-10 DEV.,2744,1,1986,4,2749,1741,462,1469
,Total,204803,9542,133769,71781,286126,29695,17759,274177
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,134,177,176,184,495,81,2,418
,CZECH REPUBLIC,1022,422,698,9095,10539,310,141,10368
,HUNGARY,2309,136,1828,2342,4787,226,225,4786
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,6746,5091,6391,15380,27217,646,179,26749
,ROMANIA,464,435,680,1550,2449,169,1,2281
,RUSSIA,7635,750,4516,3993,12378,1162,3993,15208
,TURKEY,17015,924,15109,2791,20730,1266,2431,21873
,OTHER E. EUROPE,2811,15,1870,462,3288,476,61,2872
,Total,38136,7950,31268,35797,81883,4336,7033,84555
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,3660,0,3632,0,3660,144,37,3553
,ARGENTINA,1974,623,1959,4687,7284,1017,159,6426
,BRAZIL,49765,3731,33363,28062,81558,6992,19919,94483
,CHILE,9535,605,6068,2097,12237,849,442,11824
,COLOMBIA,7125,162,4880,3886,11173,1790,499,9883
,COSTA RICA,1114,399,882,661,2174,219,46,1997
,DOMINICAN REPUBLIC,1499,65,1081,342,1906,511,17,1410
,ECUADOR,1147,503,824,26,1676,355,19,1337
,EL SALVADOR,713,1672,1605,0,2385,273,29,2144
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1861,265,1791,729,2855,431,171,2594
,HONDURAS,488,90,390,91,669,262,5,410
,MEXICO,34333,9959,23772,72598,116890,8046,1694,110538
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,3199,1222,2757,701,5122,692,350,4781
,URUGUAY,1163,610,1263,555,2328,385,12,1956
,VENEZUELA,4509,1,3421,785,5295,3363,167,2099
,OTHER LAT. AM. & CAR.,34391,906,27448,1047,36344,17430,1018,19931
,Total,156476,20813,115136,116267,293556,42759,24584,275366
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,69405,7316,65309,30082,106803,7257,11712,111208
,INDIA,36379,4318,34786,28846,69543,3512,9116,75151
,INDONESIA,9061,3644,10716,3686,16391,2973,830,14245
,"KOREA, SOUTH",31856,5254,29942,44889,81999,2579,3843,83262
,KUWAIT,5254,46,4798,285,5585,163,99,5520
,MALAYSIA,3642,1396,3227,9627,14665,430,749,14986
,PAKISTAN,432,79,316,761,1272,235,2,1005
,PHILIPPINES,3018,939,2849,3861,7818,683,209,7345
,QATAR,3309,0,1298,79,3388,517,105,2973
,SAUDI ARABIA,16063,348,14710,2381,18792,1016,729,18494
,TAIWAN,23030,3879,26413,17546,44455,1104,1774,45125
,THAILAND,1623,258,1507,7553,9434,600,456,9291
,UNITED ARAB EMIRATES,11028,2908,9263,3329,17265,2136,1123,16255
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,7766,1841,5002,2109,11716,3291,995,9391
,Total,221866,32226,210136,155034,409126,26496,31742,414251
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,114,257,270,1098,1469,386,0,1082
,EGYPT,495,159,474,1492,2146,312,17,1849
,GHANA,907,0,516,0,907,357,139,689
,KENYA,543,162,617,779,1484,42,11,1452
,MOROCCO,327,0,241,421,748,72,2,680
,NIGERIA,1818,234,1491,1570,3622,177,61,3506
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,5469,1285,4463,6119,12873,1015,1334,13189
,SOUTH SUDAN,5,0,5,0,5,1,0,4
,OTHER AFRICA,3811,421,2253,1082,5314,1638,74,3743
,Total,13489,2518,10330,12561,28568,4000,1638,26194
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,12689,507,11788,102,13298,6698,858,7457
,BAHRAIN,931,76,735,383,1390,559,10,836
,BERMUDA,20180,140,10772,2,20322,4015,3337,19641
,CAYMAN ISLANDS,340495,1059,233722,0,341554,44082,5320,302791
,HONG KONG,26072,15607,35135,25493,67172,16934,9023,59233
,LEBANON,1146,197,844,29,1372,280,14,1106
,MAURITIUS,1725,411,924,1,2137,1184,69,1015
,PANAMA,5079,1388,3457,0,6467,2824,332,3974
,SINGAPORE,33592,12480,40795,23540,69612,7996,6124,67741
,OTHER BANKING CENTERS,16283,1836,9998,1731,19850,4844,1748,16755
,Total,458192,33701,348170,51281,543174,89416,26835,480549
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,471,0,135,0,471,0,6,477
,ASIAN,2151,0,337,0,2151,0,336,2487
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,14876,0,5226,0,14876,0,943,15819
,INTERNATIONAL,5786,0,2612,0,5786,0,751,6536
,LATIN AMERICAN,2256,0,405,0,2256,0,62,2319
,MIDDLE EASTERN,18,0,18,0,18,0,0,18
,Total,25558,0,8733,0,25558,0,2098,27656
,,,,,,,,,
,UNITED STATES,346998,144967,259285,10666129,11158094,305728,343069,11195414
,,,,,,,,,
,Grand Total,2260705,443135,1780189,11733319,14437159,627510,627444,14436832
