,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,43127,9875,53002,13478,-32164,,3635,3932,1215,1664,0,79,,1568
,CANADA,7720,38975,46695,43551,32927,,45085,15036,2439,18960,1,8864,,18602
,FRANCE,486,14297,14783,57183,-1762,,27485,38310,9362,70573,51,31081,,70479
,GERMANY,10962,35473,46435,75754,26505,,28297,36461,8980,13015,1,4405,,12738
,ITALY,1363,9838,11201,34041,6823,,2281,24950,8319,10334,55,1159,,10334
,JAPAN,10483,100701,111184,105414,122757,,5194,60640,29003,143272,0,62940,,143269
,LUXEMBOURG,23294,17260,40554,105792,-21205,,6611,6866,680,8690,82,1915,,8563
,NETHERLANDS,26533,6667,33200,42011,-28925,,26337,17981,2362,3584,2,1971,,3285
,SWEDEN,450,398,848,7505,1929,,4980,4857,1325,4649,0,1724,,4529
,SWITZERLAND,10676,2843,13519,39678,14997,,4378,5498,196,6734,0,3135,,6688
,UNITED KINGDOM,796775,285841,1082616,300576,298832,,64862,75325,13082,108267,4,45451,,106805
,Total,931869,522168,1454037,824983,420714,,219145,289856,76963,389742,196,162724,,386860
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6823,49679,56502,61425,7493,,25761,15593,1256,5650,17,3127,,5537
,AUSTRIA,2,83,85,6272,-9,,3042,5114,2499,2068,0,1243,,2067
,CYPRUS,0,0,0,1407,1,,0,453,9,247,0,148,,188
,DENMARK,1479,1038,2517,10043,-2354,,263,3353,260,2293,0,1389,,2281
,FINLAND,230,177,407,4029,-290,,3206,2298,465,1947,0,209,,1947
,GREECE,29,394,423,2041,-206,,0,372,50,428,0,396,,115
,IRELAND,27991,37198,65189,75083,-1288,,4202,12282,405,27400,31,8984,,27271
,ISRAEL,749,792,1541,2784,-319,,428,1230,160,476,0,476,,365
,NEW ZEALAND,18,946,964,3217,-354,,152,1223,126,173,20,110,,154
,NORWAY,118,788,906,9204,-688,,2514,2015,123,3084,0,371,,2846
,PORTUGAL,15,202,217,2520,-109,,153,1628,467,2015,16,511,,2015
