,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,4404,366,1997,6767,4509,106,6206,691,1169,8066,7044,0,4432,65,520,5017,,3273,53
,CANADA,21595,7851,6557,36003,33905,1323,21681,15108,2543,39332,4559,136,22668,4867,5465,33000,,23327,330
,FRANCE,50498,492,21631,72621,38768,45,31648,498,2965,35111,30833,0,74618,1196,3424,79238,,74451,22
,GERMANY,27576,1544,28282,57402,17762,129,48161,36319,12555,97035,45034,8,22931,1568,2494,26993,,22109,48
,ITALY,15381,1049,3671,20101,16941,8,15399,503,17904,33806,16888,2,6939,1527,1286,9752,,6619,46
,JAPAN,61410,48553,16222,126185,35858,38555,4679,112687,4516,121882,5213,6484,13801,63801,8594,86196,,11931,6739
,LUXEMBOURG,3500,629,370,4499,4278,22,2201,4366,19,6586,2564,0,24091,1488,4215,29794,,25470,802
,NETHERLANDS,11341,374,5382,17097,9589,113,8051,6573,980,15604,8105,0,28306,118,7129,35553,,29384,29
,SWEDEN,10073,47,674,10794,9045,2,3042,335,158,3535,3000,1,4184,21,493,4698,,4240,1
,SWITZERLAND,12319,333,4547,17199,8779,153,4957,17976,56,22989,4837,0,4808,101,546,5455,,4466,54
,UNITED KINGDOM,26411,37740,63247,127398,28392,29584,8522,86939,7659,103120,6962,2273,56737,163071,77339,297147,,45982,71659
,Total,244508,98978,152580,496066,207826,70040,154547,281995,50524,487066,135039,8904,263515,237823,111505,612843,,251252,79783
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,16999,11743,3379,32121,15574,575,1510,11835,248,13593,1306,0,8581,8089,2492,19162,,8628,607
,AUSTRIA,2492,1,662,3155,2334,0,6105,0,399,6504,6427,0,879,1,110,990,,592,0
,CYPRUS,172,0,2,174,158,0,42,0,0,42,48,0,1039,0,385,1424,,1115,0
,DENMARK,4017,11,736,4764,3046,0,642,20,69,731,623,0,2932,70,1729,4731,,2904,12
,FINLAND,4454,11,868,5333,3813,0,4442,12,567,5021,4335,1,1405,3,584,1992,,1361,1
,GREECE,520,1,198,719,487,0,97,0,658,755,106,0,20,148,2,170,,45,0
,IRELAND,10765,591,525,11881,10480,281,1514,187,94,1795,2084,13,39229,1836,3974,45039,,42297,4798
,ISRAEL,327,104,300,731,321,10,679,927,19,1625,768,40,425,34,230,689,,480,0
,NEW ZEALAND,374,1066,799,2239,522,9,705,407,277,1389,703,0,146,86,93,325,,190,2
,NORWAY,3493,34,163,3690,3464,5,3559,70,136,3765,3516,0,2358,6,182,2546,,2064,1
,PORTUGAL,2422,2,27,2451,2516,0,989,0,52,1041,1476,0,314,2,4,320,,117,0
,SLOVAKIA,14,4,2,20,33,0,50,61,86,197,50,0,4,10,0,14,,4,0
,SPAIN,9683,107,3070,12860,9046,7,8112,421,343,8876,9039,0,5619,216,450,6285,,5297,76
,OTHER NON G-10 DEV.,432,2,17,451,1696,1,77,0,113,190,102,0,503,0,19,522,,334,0
,Total,56164,13677,10748,80589,53490,888,28523,13940,3061,45524,30583,54,63454,10501,10254,84209,,65428,5497
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,16,19,0,35,27,18,9,238,0,247,10,109,5,4,1,10,,5,4
,CZECH REPUBLIC,239,397,46,682,300,33,381,3689,28,4098,427,0,4,172,10,186,,4,1
,HUNGARY,208,61,115,384,286,4,1226,1788,320,3334,1279,11,27,46,6,79,,27,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1605,3450,193,5248,1612,148,2455,5816,0,8271,2671,141,1926,361,12,2299,,1926,19
,ROMANIA,63,49,3,115,108,3,141,1380,0,1521,146,272,79,201,4,284,,79,47
,RUSSIA,2129,248,342,2719,2165,41,500,1186,1,1687,503,99,158,583,3,744,,59,158
,TURKEY,14012,1506,905,16423,12747,10,157,729,0,886,187,342,747,91,48,886,,887,23
,OTHER E. EUROPE,633,3,55,691,754,4,1137,349,44,1530,1272,0,43,0,0,43,,73,0
,Total,18905,5733,1659,26297,17999,261,6006,15175,393,21574,6495,974,2989,1458,84,4531,,3060,252
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,95,0,0,0,0,0,0,0,3502,0,60,3562,,3474,0
,ARGENTINA,154,243,0,397,176,31,265,1775,0,2040,276,347,16,37,0,53,,16,10
,BRAZIL,20212,4568,541,25321,9600,190,14180,18329,15,32524,17281,1134,2260,1193,5285,8738,,1833,769
,CHILE,4590,1931,888,7409,4455,18,92,413,3,508,104,273,390,246,267,903,,470,242
,COLOMBIA,2609,156,207,2972,2652,18,895,1055,1,1951,938,119,44,19,105,168,,38,0
,COSTA RICA,537,116,1,654,659,71,33,419,0,452,33,153,1,0,1,2,,9,0
,DOMINICAN REPUBLIC,430,10,2,442,583,1,136,258,0,394,221,21,1,0,0,1,,3,0
,ECUADOR,95,63,0,158,96,50,382,101,0,483,382,100,5,42,0,47,,7,42
,EL SALVADOR,226,124,0,350,390,124,22,469,0,491,22,469,14,2,0,16,,56,2
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,1024,112,0,1136,1242,68,9,264,0,273,9,31,30,0,0,30,,30,0
,HONDURAS,93,12,2,107,246,9,23,144,1,168,23,80,1,0,0,1,,2,0
,MEXICO,3410,7936,1212,12558,2918,164,8149,25801,288,34238,8891,1549,984,7063,363,8410,,1062,101
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1415,88,113,1616,1503,8,164,1090,24,1278,187,892,149,47,21,217,,105,12
,URUGUAY,264,22,1,287,283,13,100,787,112,999,132,356,2,18,0,20,,5,1
,VENEZUELA,23,32,0,55,23,1,105,313,1,419,2217,0,0,0,0,0,,0,0
,OTHER LAT. AM. & CAR.,206,182,3,391,339,93,25,919,74,1018,25,343,10031,4,1611,11646,,13288,2
,Total,35288,15595,2970,53853,25260,859,24580,52137,519,77236,30741,5867,17430,8671,7713,33814,,20398,1181
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,30847,6044,10953,47844,28386,1026,10846,11622,1180,23648,11214,656,9426,3626,1669,14721,,8248,698
,INDIA,18846,2234,133,21213,12398,298,3116,14660,2,17778,3115,86,5429,1674,367,7470,,5214,582
,INDONESIA,1307,368,27,1702,1495,676,2396,3248,12,5656,2402,1324,354,419,9,782,,414,146
,"KOREA, SOUTH",6079,2435,674,9188,6387,716,11805,19357,1256,32418,11445,1425,5645,1360,676,7681,,5552,144
,KUWAIT,595,0,105,700,545,0,3921,245,7,4173,3921,0,104,10,8,122,,100,2
,MALAYSIA,2652,594,434,3680,2257,433,122,4006,0,4128,139,169,266,470,127,863,,268,307
,PAKISTAN,90,18,2,110,110,4,50,509,0,559,55,16,4,1,2,7,,4,0
,PHILIPPINES,1257,550,14,1821,1411,507,251,2477,176,2904,322,172,46,164,2,212,,47,0
,QATAR,1747,45,27,1819,1875,0,69,0,65,134,28,0,58,0,113,171,,31,0
,SAUDI ARABIA,1034,623,871,2528,935,27,12978,0,130,13108,12978,4,210,868,76,1154,,210,38
,TAIWAN,2713,2372,333,5418,2423,1196,10008,8198,37,18243,10035,55,3102,407,86,3595,,3148,252
,THAILAND,670,796,137,1603,465,70,73,3315,29,3417,73,8,139,193,112,444,,205,3
,UNITED ARAB EMIRATES,2899,665,1075,4639,3618,605,2299,3106,63,5468,2364,705,1980,180,520,2680,,1990,180
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,1186,297,8,1491,1877,91,946,2550,121,3617,1189,1433,312,20,26,358,,976,0
,Total,71922,17041,14793,103756,64182,5649,58880,73293,3078,135251,59280,6053,27075,9392,3793,40260,,26407,2352
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,12,28,0,40,13,1,0,569,0,569,0,161,0,4,0,4,,0,0
,EGYPT,90,94,6,190,129,73,46,1194,8,1248,132,32,28,17,0,45,,123,20
,GHANA,96,0,0,96,122,0,449,0,1,450,704,0,1,0,0,1,,1,0
,KENYA,191,115,10,316,190,18,30,560,0,590,30,39,232,2,0,234,,232,0
,MOROCCO,156,132,23,311,172,0,49,205,0,254,49,0,0,0,0,0,,0,0
,NIGERIA,1274,176,12,1462,1321,80,176,1050,24,1250,176,0,38,5,0,43,,38,0
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,2755,1527,974,5256,2751,299,1004,1703,6,2713,1169,0,498,1627,194,2319,,479,947
,SOUTH SUDAN,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,195,128,5,328,212,22,1179,744,2,1925,1440,152,125,13,24,162,,181,0
,Total,4773,2200,1030,8003,4914,493,2933,6025,41,8999,3700,384,922,1668,218,2808,,1054,967
,,,,,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,,,,,
,BAHAMAS,172,3,1,176,3054,1,20,88,25,133,20,0,5116,24,446,5586,,6093,2
,BAHRAIN,214,81,37,332,620,46,53,183,1,237,53,2,9,0,2,11,,10,0
,BERMUDA,675,27,0,702,674,44,32,0,0,32,32,0,11161,72,487,11720,,12202,70
,CAYMAN ISLANDS,4221,10,58,4289,12928,10,25,0,1,26,60,0,282234,633,10351,293218,,309268,678
,HONG KONG,8673,2655,523,11851,11139,3713,214,8256,211,8681,354,819,5477,4362,578,10417,,5783,1867
,LEBANON,594,22,31,647,861,21,257,49,0,306,257,26,0,0,0,0,,0,0
,MAURITIUS,127,199,2,328,173,338,0,0,0,0,0,1,309,4,316,629,,465,4
,PANAMA,1049,60,11,1120,1569,138,197,525,103,825,508,448,167,2,74,243,,165,5
,SINGAPORE,10660,2280,665,13605,9268,2644,15523,9970,142,25635,15152,114,4700,2358,1034,8092,,4795,1715
,OTHER BANKING CENTERS,567,44,4,615,408,39,99,55,0,154,99,1,6105,1688,1126,8919,,7941,1203
,Total,26952,5381,1332,33665,40694,6994,16420,19126,483,36029,16535,1411,315278,9143,14414,338835,,346722,5544
,,,,,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,477,0,28,505,471,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,2487,0,142,2629,2151,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,15819,0,476,16295,14876,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,6536,0,1594,8130,5786,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,2319,0,290,2609,2256,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,18,0,0,18,18,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,27656,0,2530,30186,25558,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,
,UNITED STATES,60249,315622,149529,525400,47429,7177,62583,2872961,25728,2961272,58945,25044,98462,2286309,64211,2448982,,89503,11735
,,,,,,,,,,,,,,,,,,,,
,Grand Total,518761,474227,334641,1327629,461794,92361,382128,3334652,86357,3803137,366876,48691,789125,2564965,212192,3566282,,803824,107311
