,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5966,1647,7613,760,269,1029,1052,9694,2906,469,3375,22,,7,29
,CANADA,18018,1474,19492,25558,11444,37002,2136,58630,17568,1410,18978,6856,,35,6891
,FRANCE,27200,1882,29082,10853,6224,17077,2277,48436,28260,2012,30272,574,,5,579
,GERMANY,25624,796,26420,5532,154,5686,6527,38633,24610,819,25429,265,,8,273
,ITALY,9125,226,9351,6272,1510,7782,1556,18689,8783,372,9155,190,,46,236
,JAPAN,26080,319,26399,14644,3308,17952,822,45173,24547,288,24835,2024,,2,2026
,LUXEMBOURG,15561,636,16197,576,4,580,1410,18187,17405,341,17746,229,,0,229
,NETHERLANDS,22586,111,22697,1315,165,1480,2624,26801,36241,143,36384,48,,2,50
,SWEDEN,3268,198,3466,148,11,159,121,3746,3580,256,3836,3,,0,3
,SWITZERLAND,9980,1025,11005,3026,3255,6281,2270,19556,10502,598,11100,2936,,2703,5639
,UNITED KINGDOM,19718,2233,21951,59814,28789,88603,11245,121799,17111,2849,19960,15348,,1388,16736
,Total,183126,10547,193673,128498,55133,183631,32040,409344,191513,9557,201070,28495,,4196,32691
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,9718,1214,10932,11902,16006,27908,720,39560,9997,1299,11296,2555,,0,2555
,AUSTRIA,2707,23,2730,26,30,56,198,2984,3600,21,3621,0,,0,0
,CYPRUS,499,9,508,80,0,80,100,688,1171,6,1177,0,,0,0
,DENMARK,2980,11,2991,25,0,25,865,3881,2521,10,2531,1,,0,1
,FINLAND,1236,6,1242,31,53,84,149,1475,1281,13,1294,1,,0,1
,GREECE,485,33,518,9,0,9,6,533,560,39,599,0,,0,0
,IRELAND,11964,347,12311,1588,404,1992,656,14959,12150,235,12385,266,,0,266
,ISRAEL,3057,402,3459,215,0,215,379,4053,2649,295,2944,129,,0,129
,NEW ZEALAND,415,107,522,776,976,1752,230,2504,682,121,803,8,,0,8
,NORWAY,2386,71,2457,63,0,63,302,2822,2078,67,2145,20,,0,20
,PORTUGAL,1028,16,1044,153,90,243,63,1350,955,34,989,22,,0,22
,SLOVAKIA,186,4,190,258,0,258,10,458,192,4,196,19,,0,19
,SPAIN,12532,745,13277,1790,807,2597,817,16691,13778,932,14710,82,,0,82
,OTHER NON G-10 DEV.,445,10,455,0,0,0,24,479,570,42,612,0,,0,0
,Total,49638,2998,52636,16916,18366,35282,4519,92437,52184,3118,55302,3103,,0,3103
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,62,1,63,64,0,64,3,130,92,0,92,46,,0,46
,CZECH REPUBLIC,263,21,284,2872,2330,5202,233,5719,266,25,291,388,,0,388
,HUNGARY,870,8,878,319,233,552,23,1453,708,9,717,118,,3,121
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,540,20,560,3680,6896,10576,43,11179,518,19,537,1000,,3783,4783
,ROMANIA,61,6,67,301,0,301,9,377,125,6,131,113,,0,113
,RUSSIA,7685,286,7971,1596,837,2433,389,10793,4589,319,4908,447,,5,452
,TURKEY,3301,188,3489,1142,0,1142,147,4778,3018,176,3194,549,,0,549
,OTHER E. EUROPE,606,19,625,78,4,82,102,809,698,14,712,11,,0,11
,Total,13388,549,13937,10052,10300,20352,949,35238,10014,568,10582,2672,,3791,6463
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,51,0,51,0,0,0,11,62,91,0,91,0,,0,0
,ARGENTINA,987,184,1171,1530,1235,2765,20,3956,1257,249,1506,160,,75,235
,BRAZIL,26483,680,27163,4877,1701,6578,1480,35221,20002,1049,21051,1638,,0,1638
,CHILE,3929,68,3997,162,3,165,242,4404,4345,161,4506,72,,0,72
,COLOMBIA,2324,207,2531,784,1790,2574,214,5319,3289,208,3497,25,,0,25
,COSTA RICA,345,22,367,119,405,524,35,926,381,32,413,72,,103,175
,DOMINICAN REPUBLIC,395,64,459,116,0,116,3,578,564,128,692,43,,0,43
,ECUADOR,308,87,395,254,0,254,0,649,553,109,662,311,,0,311
,EL SALVADOR,173,38,211,288,788,1076,11,1298,199,46,245,289,,788,1077
