,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2307,37,0,37,0,2344,,181,8,107,106,91,,91,0
,CANADA,40846,28086,2483,25603,3471,72403,,48511,3999,375,1027,208,,859,73
,FRANCE,20561,15790,442,15348,204,36555,,11462,445,2776,2775,1538,,1537,260
,GERMANY,13016,4943,64,4879,118,18077,,2948,2061,1709,1707,952,,950,69
,ITALY,845,6206,79,6127,0,7051,,1362,136,3705,3702,1304,,1301,12
,JAPAN,28342,7766,125,7641,32,36140,,657,337,903,912,314,,323,10
,LUXEMBOURG,6694,706,78,628,52,7452,,1049,239,190,190,132,,132,0
,NETHERLANDS,4763,1691,37,1654,72,6526,,1363,455,352,365,278,,291,94
,SWEDEN,2889,190,4,186,4,3083,,206,118,107,106,100,,99,9
,SWITZERLAND,3984,1191,41,1150,89,5264,,1188,335,56,53,41,,39,116
,UNITED KINGDOM,29227,31819,1811,30008,2007,63053,,25141,1160,495,497,385,,387,225
,Total,153474,98425,5164,93261,6049,257948,,94068,9293,10775,11440,5343,,6009,868
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,10613,13631,965,12666,502,24746,,13577,776,397,397,282,,283,33
,AUSTRIA,384,58,0,58,0,442,,93,0,123,114,82,,74,0
,CYPRUS,71,80,0,80,0,151,,52,5,0,0,0,,0,0
,DENMARK,725,30,1,29,2,757,,58,0,107,107,107,,107,0
,FINLAND,1603,93,0,93,0,1696,,310,0,82,83,50,,51,0
,GREECE,116,0,0,0,0,116,,2,7,0,0,0,,0,0
,IRELAND,3170,553,46,507,1444,5167,,2419,132,45,42,33,,30,18
,ISRAEL,753,62,0,62,5,820,,544,125,205,206,87,,88,47
,NEW ZEALAND,281,1743,14,1729,3,2027,,1496,9,26,26,24,,24,0
,NORWAY,2239,97,25,72,8,2344,,118,3,139,141,133,,134,17
,PORTUGAL,280,135,0,135,0,415,,10,84,278,274,186,,182,2
,SLOVAKIA,17,100,0,100,0,117,,0,0,12,12,10,,10,0
,SPAIN,2524,1703,1,1702,67,4294,,277,193,2407,2397,854,,845,7
