,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,2311,1,1840,39,2351,175,167,2344
,CANADA,38041,2870,14227,25810,66721,16277,18488,68932
,FRANCE,19419,452,9941,15361,35232,1561,2681,36351
,GERMANY,9014,72,4211,4929,14015,1247,5200,17959
,ITALY,712,79,125,6150,6941,38,148,7051
,JAPAN,16733,124,12116,7142,23999,359,12466,36108
,LUXEMBOURG,6452,16,1731,627,7095,925,1230,7400
,NETHERLANDS,6049,51,1432,1653,7753,2332,1035,6454
,SWEDEN,2363,5,787,186,2554,148,673,3079
,SWITZERLAND,2144,42,1131,1154,3340,350,2184,5175
,UNITED KINGDOM,24655,3992,10018,30913,59560,6305,7793,61046
,Total,127893,7704,57559,93964,229561,29717,52065,251899
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,10079,969,3812,13508,24556,1293,982,24244
,AUSTRIA,389,0,140,79,468,36,10,442
,CYPRUS,29,0,1,80,109,4,46,151
,DENMARK,568,1,407,29,598,13,171,755
,FINLAND,1613,2,926,94,1709,10,0,1696
,GREECE,120,0,88,0,120,31,28,116
,IRELAND,3063,191,970,469,3723,1017,1020,3723
,ISRAEL,511,0,214,0,511,41,345,815
,NEW ZEALAND,469,14,141,1733,2216,210,19,2024
,NORWAY,1909,25,787,73,2007,51,381,2336
,PORTUGAL,240,0,32,138,378,13,51,415
,SLOVAKIA,14,0,11,100,114,7,10,117
,SPAIN,1387,2,821,1705,3094,137,1271,4227
,OTHER NON G-10 DEV.,390,0,30,0,390,165,139,364
,Total,20781,1204,8380,18008,39993,3028,4473,41425
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,10,0,10,0,10,9,1,2
,CZECH REPUBLIC,80,274,46,5589,5943,105,87,5923
,HUNGARY,455,0,425,25,480,9,9,480
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,305,4078,245,4518,8901,57,81,8923
,ROMANIA,49,0,46,0,49,42,0,7
,RUSSIA,470,1,63,38,509,2,90,597
,TURKEY,788,20,457,9,817,61,28,757
,OTHER E. EUROPE,203,2,73,0,205,65,40,180
,Total,2360,4375,1365,10179,16914,350,336,16869
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,92,0,80,0,92,92,32,32
,ARGENTINA,407,78,300,668,1153,269,80,965
,BRAZIL,10344,6,5986,155,10505,756,4049,13797
,CHILE,2038,3,634,30,2071,361,150,1856
,COLOMBIA,1702,0,881,0,1702,282,79,1500
,COSTA RICA,229,0,152,0,229,86,31,174
,DOMINICAN REPUBLIC,456,0,282,0,456,237,5,224
,ECUADOR,356,0,154,26,382,162,19,238
,EL SALVADOR,264,0,208,0,264,151,2,115
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,599,0,537,0,599,234,16,382
,HONDURAS,160,0,128,0,160,103,3,58
,MEXICO,10034,4176,6502,3946,18156,1622,441,16975
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,732,0,253,0,732,193,41,581
,URUGUAY,261,371,507,198,830,222,7,615
,VENEZUELA,1629,0,921,0,1629,916,135,848
,OTHER LAT. AM. & CAR.,2732,310,1984,227,3269,1749,215,1735
,Total,32035,4944,19509,5250,42229,7435,5305,40095
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,3159,222,2343,1550,4931,335,696,5240
,INDIA,924,52,571,1097,2073,269,31,1834
,INDONESIA,236,2,122,0,238,79,102,261
,"KOREA, SOUTH",4176,1,716,8,4185,480,294,3999
,KUWAIT,329,0,316,0,329,1,78,406
,MALAYSIA,242,26,136,42,310,18,298,590
,PAKISTAN,15,22,3,11,48,13,0,2
,PHILIPPINES,318,18,52,26,362,37,16,341
,QATAR,456,0,358,0,456,32,33,457
,SAUDI ARABIA,950,24,671,4,978,5,116,1077
,TAIWAN,620,1,521,176,797,254,325,868
,THAILAND,52,0,25,219,271,20,7,258
,UNITED ARAB EMIRATES,835,0,496,1,836,41,123,918
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
