,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,0,0,0,53,-39,,1541,0,0,0,0,0,,0
,CANADA,1313,11975,13288,4792,17543,,29414,471,5,2935,0,1077,,2636
,FRANCE,94,2137,2231,2239,-2270,,8115,178,5,131,0,131,,129
,GERMANY,0,986,986,1680,489,,3111,133,1,186,0,186,,31
,ITALY,4,603,607,919,-2782,,461,11,0,0,0,0,,0
,JAPAN,0,2314,2314,2556,-6176,,2336,18,3,7115,0,0,,7115
,LUXEMBOURG,2470,766,3236,1944,-1355,,1613,19,6,127,0,127,,0
,NETHERLANDS,66,330,396,3355,3604,,1592,104,2,28,0,28,,12
,SWEDEN,0,23,23,465,2350,,1490,20,0,82,0,82,,2
,SWITZERLAND,0,6,6,1222,6149,,1301,151,0,23,0,23,,0
,UNITED KINGDOM,30607,18105,48712,17825,12411,,7198,396,5,2038,0,1615,,914
,Total,34554,37245,71799,37050,29924,,58172,1501,27,12665,0,3269,,10839
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,3314,7934,11248,6226,-5539,,6422,88,0,61,0,61,,23
,AUSTRIA,0,35,35,38,40,,2,0,0,1,0,1,,0
,CYPRUS,0,0,0,13,1,,0,0,0,0,0,0,,0
,DENMARK,0,2,2,44,37,,136,0,0,12,0,12,,0
,FINLAND,0,56,56,233,28,,474,0,0,0,0,0,,0
,GREECE,0,0,0,4,1,,0,0,0,0,0,0,,0
,IRELAND,17601,32556,50157,8639,-15564,,187,18,0,107,0,107,,7
,ISRAEL,0,0,0,103,0,,157,3,0,111,0,111,,0
,NEW ZEALAND,0,60,60,877,-1168,,152,3,0,0,0,0,,0
,NORWAY,0,215,215,1027,-81,,1114,22,4,0,0,0,,0
,PORTUGAL,0,36,36,1,-60,,43,2,0,0,0,0,,0
,SLOVAKIA,0,0,0,12,-80,,0,0,0,0,0,0,,0
,SPAIN,0,275,275,213,-595,,175,18,0,25,0,22,,3
,OTHER NON G-10 DEV.,0,0,0,5,0,,32,0,0,0,0,0,,0
,Total,20915,41169,62084,17435,-22980,,8894,154,4,317,0,314,,33
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,1,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,156,3983,4139,4079,-763,,1146,0,0,0,0,0,,0
,HUNGARY,0,1,1,11,587,,0,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,434,3175,3609,3010,-3896,,1442,0,0,0,0,0,,0
,ROMANIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,RUSSIA,0,9,9,16,52,,13,0,0,0,0,0,,0
