,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,168,3,0,171,164,1,1601,3,0,1604,1601,0,99,0,0,99,,153,0
,CANADA,8937,4431,2568,15936,22096,824,16267,3266,271,19804,1312,11,6637,696,168,7501,,6742,42
,FRANCE,9231,437,202,9870,8621,45,7152,178,0,7330,7149,0,1127,1130,0,2257,,840,4
,GERMANY,5540,354,114,6008,2534,14,2614,8,3,2625,2064,4,687,43,0,730,,459,0
,ITALY,55,106,0,161,41,0,15,93,0,108,9,0,39,130,0,169,,39,0
,JAPAN,17701,834,3,18538,6932,0,2255,17,0,2272,2255,0,7145,118,29,7292,,7133,0
,LUXEMBOURG,388,608,0,996,255,5,1108,10,0,1118,1084,0,1661,0,50,1711,,1644,0
,NETHERLANDS,1070,265,31,1366,746,24,806,0,0,806,803,0,285,41,16,342,,359,0
,SWEDEN,1765,34,0,1799,1133,2,219,1,0,220,314,0,328,0,4,332,,328,0
,SWITZERLAND,2981,150,78,3209,1082,2,0,856,0,856,0,0,143,0,1,144,,96,0
,UNITED KINGDOM,16086,3525,1222,20833,12335,2441,1101,5644,0,6745,459,1,5486,760,760,7006,,5994,158
,Total,63922,10747,4218,78887,55939,3358,33138,10076,274,43488,17050,16,23637,2918,1028,27583,,23787,204
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,7148,4155,99,11402,6364,52,0,326,0,326,76,0,211,19,400,630,,277,6
,AUSTRIA,13,1,0,14,4,0,97,0,0,97,97,0,119,1,0,120,,119,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,DENMARK,539,5,2,546,431,0,0,0,0,0,0,0,2,0,0,2,,2,0
,FINLAND,1140,9,0,1149,1141,0,361,1,0,362,361,1,0,0,0,0,,0,0
,GREECE,5,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,,25,0
,IRELAND,311,259,0,570,177,121,11,3,0,14,0,1,752,124,1434,2310,,352,62
,ISRAEL,56,54,5,115,50,0,149,5,0,154,162,0,9,0,0,9,,9,0
,NEW ZEALAND,104,183,3,290,104,9,0,2,0,2,0,0,14,3,0,17,,14,0
,NORWAY,1380,34,0,1414,1168,5,321,0,0,321,275,0,23,1,8,32,,23,0
,PORTUGAL,5,0,0,5,3,0,131,0,0,131,131,0,0,2,0,2,,0,0
,SLOVAKIA,12,3,0,15,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,1570,57,67,1694,626,1,60,3,0,63,13,0,253,99,0,352,,37,0
,OTHER NON G-10 DEV.,9,0,0,9,8,0,13,0,0,13,13,0,18,0,0,18,,140,0
,Total,12292,4760,176,17228,10080,188,1143,340,0,1483,1128,2,1401,249,1842,3492,,998,68
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,21,304,0,325,24,29,0,1152,0,1152,0,0,0,155,0,155,,0,0
,HUNGARY,44,2,0,46,38,0,0,0,0,0,0,0,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,167,1918,0,2085,125,94,20,208,0,228,20,1,0,61,0,61,,0,10
,ROMANIA,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,,0,0
,RUSSIA,21,21,0,42,14,1,0,8,0,8,0,0,1,0,0,1,,1,0
,TURKEY,327,2,0,329,377,2,1,0,0,1,1,9,0,0,0,0,,0,0
,OTHER E. EUROPE,9,2,0,11,17,2,1,0,0,1,1,0,1,0,0,1,,12,0
,Total,591,2249,0,2840,601,128,22,1368,0,1390,22,10,2,216,0,218,,13,10
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,88,0,0,0,0,0,0,0,32,0,0,32,,0,0
,ARGENTINA,6,141,0,147,8,2,3,5,0,8,1,0,5,6,0,11,,5,2
,BRAZIL,5129,63,27,5219,3469,0,2150,1,0,2151,2113,0,167,7,1,175,,155,0
,CHILE,351,67,154,572,316,0,5,3,0,8,5,1,76,0,0,76,,98,1
,COLOMBIA,615,1,10,626,716,0,14,0,0,14,14,0,25,0,1,26,,26,0
,COSTA RICA,93,0,0,93,134,0,0,0,0,0,0,0,0,0,0,0,,8,0
,DOMINICAN REPUBLIC,145,0,0,145,228,0,0,0,0,0,0,0,0,0,0,0,,1,0
,ECUADOR,1,25,0,26,1,0,0,1,0,1,0,0,5,0,0,5,,5,0
,EL SALVADOR,70,0,0,70,176,0,0,0,0,0,0,0,9,0,0,9,,10,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,303,0,0,303,412,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HONDURAS,18,0,0,18,70,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MEXICO,1128,379,4,1511,1037,29,2492,117,0,2609,2481,0,527,175,0,702,,465,4
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,123,0,0,123,133,0,30,0,0,30,30,0,4,0,0,4,,4,0
,URUGUAY,1,16,0,17,18,10,0,422,5,427,0,273,0,1,0,1,,3,1
,VENEZUELA,21,0,0,21,21,0,14,0,0,14,23,0,0,0,0,0,,0,0
,OTHER LAT. AM. & CAR.,18,4,2,24,54,2,5,11,0,16,5,11,95,0,2,97,,154,0
,Total,8022,696,197,8915,6881,43,4713,560,5,5278,4672,285,945,189,4,1138,,934,8
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,2301,467,1,2769,1872,123,0,478,0,478,0,20,103,45,1,149,,103,29
,INDIA,309,205,0,514,504,51,17,139,0,156,17,0,58,30,0,88,,58,0
,INDONESIA,34,0,0,34,102,1,1,0,0,1,1,0,0,0,0,0,,0,0
,"KOREA, SOUTH",309,8,0,317,710,1,126,0,2,128,27,0,3134,0,1,3135,,3130,0
,KUWAIT,331,0,0,331,254,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MALAYSIA,343,29,1,373,46,3,57,0,0,57,57,0,3,0,0,3,,3,0
,PAKISTAN,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,,0,0
,PHILIPPINES,2,41,0,43,37,18,2,0,0,2,2,0,0,0,0,0,,0,0
,QATAR,348,0,0,348,356,0,13,0,0,13,13,0,0,0,0,0,,0,0
,SAUDI ARABIA,252,14,0,266,178,14,323,0,49,372,323,4,0,2,0,2,,0,2
,TAIWAN,563,21,0,584,508,0,0,0,0,0,0,0,2,8,0,10,,2,0
,THAILAND,11,31,0,42,29,0,0,0,0,0,0,0,1,0,0,1,,1,0
,UNITED ARAB EMIRATES,428,0,0,428,440,0,19,0,0,19,0,0,2,0,2,4,,27,0
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,23,6,0,29,172,0,21,0,0,21,21,9,167,0,2,169,,737,0
,Total,5254,822,2,6078,5221,211,579,617,51,1247,461,44,3470,85,6,3561,,4061,31
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EGYPT,1,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GHANA,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,KENYA,6,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MOROCCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,NIGERIA,10,0,0,10,28,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,45,2,1,48,74,0,0,0,0,0,0,0,4,0,0,4,,4,0
,SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,3,1,0,4,3,0,0,0,1,1,0,0,29,0,0,29,,47,0
,Total,69,3,1,73,148,0,0,0,1,1,0,0,33,0,0,33,,51,0
,,,,,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,,,,,
,BAHAMAS,102,0,0,102,446,0,12,0,0,12,12,0,2,0,2,4,,19,0
,BAHRAIN,0,0,0,0,4,0,1,0,0,1,1,2,1,0,0,1,,1,0
,BERMUDA,9,10,0,19,9,27,1,0,0,1,1,0,3723,1,8,3732,,3645,0
,CAYMAN ISLANDS,3353,7,0,3360,6651,7,22,0,0,22,7,0,5276,22,49,5347,,4925,0
,HONG KONG,1028,206,0,1234,1419,281,5,36,0,41,114,10,63,34,4,101,,63,32
