,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,420,19,439,31,0,31,0,470,375,18,393,0,,0,0
,CANADA,8256,749,9005,12483,7210,19693,464,29162,7153,738,7891,1971,,22,1993
,FRANCE,2259,792,3051,8444,5601,14045,2,17098,2058,751,2809,403,,0,403
,GERMANY,3503,672,4175,4467,71,4538,1,8714,3291,666,3957,54,,0,54
,ITALY,708,28,736,5084,793,5877,0,6613,598,25,623,79,,0,79
,JAPAN,1106,135,1241,5679,1118,6797,0,8038,286,127,413,124,,0,124
,LUXEMBOURG,3289,248,3537,84,4,88,2,3627,3226,243,3469,11,,0,11
,NETHERLANDS,2553,49,2602,1221,164,1385,25,4012,4094,47,4141,25,,2,27
,SWEDEN,419,158,577,144,11,155,0,732,430,158,588,3,,0,3
,SWITZERLAND,714,146,860,185,0,185,10,1055,827,139,966,40,,0,40
,UNITED KINGDOM,5877,677,6554,6040,15850,21890,25,28469,5138,729,5867,1367,,25,1392
,Total,29104,3673,32777,43862,30822,74684,529,107990,27476,3641,31117,4077,,49,4126
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,2315,939,3254,4345,4786,9131,3,12388,2419,943,3362,911,,0,911
,AUSTRIA,147,8,155,26,30,56,0,211,161,8,169,0,,0,0
,CYPRUS,71,0,71,80,0,80,0,151,29,0,29,0,,0,0
,DENMARK,182,2,184,25,0,25,0,209,133,2,135,1,,0,1
,FINLAND,100,2,102,31,52,83,0,185,109,2,111,1,,0,1
,GREECE,105,6,111,0,0,0,0,111,87,6,93,0,,0,0
