,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,15890,187,9108,1057,17134,1746,7073,22462
,CANADA,42728,5810,31056,34300,82838,5101,3594,81332
,FRANCE,154905,194,127809,3115,158214,6859,17402,168758
,GERMANY,101320,386,67285,39515,141221,7422,18448,152246
,ITALY,48891,213,36443,4771,53875,5013,2016,50880
,JAPAN,61104,53680,93686,184853,299637,5740,19275,313174
,LUXEMBOURG,43606,1037,27491,5420,50063,7046,2633,45652
,NETHERLANDS,77413,141,30905,6721,84275,16232,4445,72486
,SWEDEN,17758,2,12450,375,18135,1243,1357,18248
,SWITZERLAND,27038,5804,25414,17577,50419,4149,6335,52605
,UNITED KINGDOM,76641,116260,144156,232801,425702,34812,38043,428928
,Total,667294,183714,605803,530505,1381513,95363,120621,1406771
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,26725,2768,12914,46499,75992,5251,2605,73353
,AUSTRIA,12585,0,7405,1,12586,1320,556,11822
,CYPRUS,2469,0,1383,0,2469,877,99,1690
,DENMARK,8536,12,7083,84,8632,440,1762,9953
,FINLAND,9190,1,5861,16,9207,230,983,9957
,GREECE,1117,0,658,195,1312,311,196,1197
,IRELAND,64183,5167,48213,2195,71545,10137,3297,64702
,ISRAEL,4002,179,2103,986,5167,470,660,5355
,NEW ZEALAND,1749,5,1525,1660,3414,400,21,3034
,NORWAY,9280,1,6909,74,9355,693,1042,9704
,PORTUGAL,4858,22,3527,90,4970,627,259,4601
,SLOVAKIA,269,19,103,242,530,67,10,474
,SPAIN,36705,163,25749,1727,38595,4268,1473,35805
,OTHER NON G-10 DEV.,2354,1,1956,4,2359,1576,323,1105
,Total,184022,8338,125389,53773,246133,26667,13286,232752
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,124,177,166,184,485,72,1,416
,CZECH REPUBLIC,942,148,652,3506,4596,205,54,4445
,HUNGARY,1854,136,1403,2317,4307,217,216,4306
,POLAND,6441,1013,6146,10862,18316,589,98,17826
,ROMANIA,415,435,634,1550,2400,127,1,2274
,RUSSIA,7165,749,4453,3955,11869,1160,3903,14611
,TURKEY,16227,904,14652,2782,19913,1205,2403,21116
,OTHER E. EUROPE,2608,13,1797,462,3083,411,21,2692
,Total,35776,3575,29903,25618,64969,3986,6697,67686
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
