,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,43127,9875,53002,13425,-32125,,2094,3932,1215,1664,0,79,,1568
,CANADA,6407,27000,33407,38759,15384,,15671,14565,2434,16025,1,7787,,15966
,FRANCE,392,12160,12552,54944,508,,19370,38132,9357,70442,51,30950,,70350
,GERMANY,10962,34487,45449,74074,26016,,25186,36328,8979,12829,1,4219,,12707
,ITALY,1359,9235,10594,33122,9605,,1820,24939,8319,10334,55,1159,,10334
,JAPAN,10483,98387,108870,102858,128933,,2858,60622,29000,136157,0,62940,,136154
,LUXEMBOURG,20824,16494,37318,103848,-19850,,4998,6847,674,8563,82,1788,,8563
,NETHERLANDS,26467,6337,32804,38656,-32529,,24745,17877,2360,3556,2,1943,,3273
,SWEDEN,450,375,825,7040,-421,,3490,4837,1325,4567,0,1642,,4527
,SWITZERLAND,10676,2837,13513,38456,8848,,3077,5347,196,6711,0,3112,,6688
,UNITED KINGDOM,766168,267736,1033904,282751,286421,,57664,74929,13077,106229,4,43836,,105891
,Total,897315,484923,1382238,787933,390790,,160973,288355,76936,377077,196,159455,,376021
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,3509,41745,45254,55199,13032,,19339,15505,1256,5589,17,3066,,5514
,AUSTRIA,2,48,50,6234,-49,,3040,5114,2499,2067,0,1242,,2067
,CYPRUS,0,0,0,1394,0,,0,453,9,247,0,148,,188
,DENMARK,1479,1036,2515,9999,-2391,,127,3353,260,2281,0,1377,,2281
,FINLAND,230,121,351,3796,-318,,2732,2298,465,1947,0,209,,1947
,GREECE,29,394,423,2037,-207,,0,372,50,428,0,396,,115
,IRELAND,10390,4642,15032,66444,14276,,4015,12264,405,27293,31,8877,,27264
,ISRAEL,749,792,1541,2681,-319,,271,1227,160,365,0,365,,365
,NEW ZEALAND,18,886,904,2340,814,,0,1220,126,173,20,110,,154
,NORWAY,118,573,691,8177,-607,,1400,1993,119,3084,0,371,,2846
,PORTUGAL,15,166,181,2519,-49,,110,1626,467,2015,16,511,,2015
,SLOVAKIA,53,559,612,1015,-320,,4,92,20,26,0,26,,0
,SPAIN,304,1081,1385,10954,4097,,2421,18918,3631,5204,25,1677,,5181
,OTHER NON G-10 DEV.,0,1,1,7119,4,,0,398,3,19,0,10,,9
,Total,16896,52044,68940,179908,27963,,33459,64833,9470,50738,109,18385,,49946
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,206,275,481,488,-116,,85,63,1,33,6,33,,4
,CZECH REPUBLIC,1039,2332,3371,3240,514,,630,550,257,291,1,290,,132
,HUNGARY,694,1323,2017,2446,525,,594,1108,217,462,2,270,,378
,POLAND,1832,8599,10431,11665,3525,,3747,3909,3039,3426,0,1420,,3426
,ROMANIA,472,1227,1699,1572,319,,585,643,80,120,0,120,,108
,RUSSIA,2284,3767,6051,13745,-884,,495,2883,289,431,0,395,,428
,TURKEY,1031,1195,2226,2911,1470,,237,2327,246,3962,5,3279,,3836
,OTHER E. EUROPE,97,313,410,1216,76,,42,826,141,700,0,472,,700
,Total,7655,19031,26686,37283,5429,,6415,12309,4270,9425,14,6279,,9012
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,823,0,,0,0,0,3151,0,1699,,3151
,ARGENTINA,503,3138,3641,4085,970,,492,1150,127,211,1,211,,142
,BRAZIL,532,15222,15754,18725,14480,,3653,26724,4301,9503,224,9006,,8214
,CHILE,5,20,25,2104,2286,,1105,740,187,30,0,25,,30
,COLOMBIA,82,3169,3251,3662,836,,358,1420,94,241,0,200,,221
,COSTA RICA,374,385,759,924,538,,119,164,27,236,24,224,,8
,DOMINICAN REPUBLIC,83,246,329,504,79,,113,86,16,38,2,38,,0
,ECUADOR,454,0,454,785,70,,31,427,6,71,3,71,,0
,EL SALVADOR,1213,0,1213,1298,1244,,221,22,15,14,0,14,,5
,GUATEMALA,270,491,761,840,636,,109,74,0,105,0,105,,39
,HONDURAS,26,66,92,156,95,,54,32,1,6,0,0,,0
,MEXICO,4374,57064,61438,62283,18005,,20592,12428,1461,7506,3,6259,,7198
,MONTSERRAT,0,0,0,16,0,,0,0,0,0,0,0,,0
,PERU,936,634,1570,2070,369,,203,390,33,88,0,88,,0
,URUGUAY,2441,107,2548,1104,1271,,0,374,13,56,0,56,,0
,VENEZUELA,20,627,647,3351,197,,124,218,87,2,0,2,,0
,OTHER LAT. AM. & CAR.,807,901,1708,27083,354,,712,2389,79,1759,3,288,,1592
,Total,12120,82070,94190,129813,41430,,27886,46638,6447,23017,260,18286,,20600
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,5653,23944,29597,44921,6838,,3965,41381,717,8794,179,554,,8615
,INDIA,3346,6277,9623,16125,12666,,10205,27080,312,2127,33,2127,,313
,INDONESIA,2185,2569,4754,10718,2536,,1008,3839,555,489,93,175,,374
,"KOREA, SOUTH",4992,29747,34739,37846,20849,,12749,12606,399,10809,0,5214,,10764
,KUWAIT,148,204,352,6767,-4,,218,153,1,3893,0,1065,,3893
,MALAYSIA,3804,6740,10544,14959,1435,,407,1366,86,473,45,229,,400
