,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,4236,363,1997,6596,4345,105,4605,688,1169,6462,5443,0,4333,65,520,4918,,3120,53
,CANADA,12658,3420,3989,20067,11809,499,5414,11842,2272,19528,3247,125,16031,4171,5297,25499,,16585,288
,FRANCE,41267,55,21429,62751,30147,0,24496,320,2965,27781,23684,0,73491,66,3424,76981,,73611,18
,GERMANY,22036,1190,28168,51394,15228,115,45547,36311,12552,94410,42970,4,22244,1525,2494,26263,,21650,48
,ITALY,15326,943,3671,19940,16900,8,15384,410,17904,33698,16879,2,6900,1397,1286,9583,,6580,46
,JAPAN,43709,47719,16219,107647,28926,38555,2424,112670,4516,119610,2958,6484,6656,63683,8565,78904,,4798,6739
,LUXEMBOURG,3112,21,370,3503,4023,17,1093,4356,19,5468,1480,0,22430,1488,4165,28083,,23826,802
,NETHERLANDS,10271,109,5351,15731,8843,89,7245,6573,980,14798,7302,0,28021,77,7113,35211,,29025,29
