,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5546,1628,7174,729,269,998,1052,9224,2531,451,2982,22,,7,29
,CANADA,9762,725,10487,13075,4234,17309,1672,29468,10415,672,11087,4885,,13,4898
,FRANCE,24941,1090,26031,2409,623,3032,2275,31338,26202,1261,27463,171,,5,176
,GERMANY,22121,124,22245,1065,83,1148,6526,29919,21319,153,21472,211,,8,219
,ITALY,8417,198,8615,1188,717,1905,1556,12076,8185,347,8532,111,,46,157
,JAPAN,24974,184,25158,8965,2190,11155,822,37135,24261,161,24422,1900,,2,1902
,LUXEMBOURG,12272,388,12660,492,0,492,1408,14560,14179,98,14277,218,,0,218
,NETHERLANDS,20033,62,20095,94,1,95,2599,22789,32147,96,32243,23,,0,23
,SWEDEN,2849,40,2889,4,0,4,121,3014,3150,98,3248,0,,0,0
,SWITZERLAND,9266,879,10145,2841,3255,6096,2260,18501,9675,459,10134,2896,,2703,5599
,UNITED KINGDOM,13841,1556,15397,53774,12939,66713,11220,93330,11973,2120,14093,13981,,1363,15344
,Total,154022,6874,160896,84636,24311,108947,31511,301354,164037,5916,169953,24418,,4147,28565
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7403,275,7678,7557,11220,18777,717,27172,7578,356,7934,1644,,0,1644
,AUSTRIA,2560,15,2575,0,0,0,198,2773,3439,13,3452,0,,0,0
,CYPRUS,428,9,437,0,0,0,100,537,1142,6,1148,0,,0,0
,DENMARK,2798,9,2807,0,0,0,865,3672,2388,8,2396,0,,0,0
,FINLAND,1136,4,1140,0,1,1,149,1290,1172,11,1183,0,,0,0
,GREECE,380,27,407,9,0,9,6,422,473,33,506,0,,0,0
,IRELAND,9963,252,10215,1421,404,1825,646,12686,9713,138,9851,259,,0,259
,ISRAEL,2537,383,2920,212,0,212,379,3511,2386,268,2654,129,,0,129
,NEW ZEALAND,299,60,359,197,0,197,230,786,378,74,452,3,,0,3
,NORWAY,1890,52,1942,1,0,1,302,2245,1649,53,1702,0,,0,0
,PORTUGAL,886,14,900,110,0,110,63,1073,851,32,883,22,,0,22
,SLOVAKIA,181,4,185,161,0,161,10,356,180,4,184,19,,0,19
,SPAIN,11920,716,12636,1043,10,1053,817,14506,13114,885,13999,81,,0,81
,OTHER NON G-10 DEV.,130,1,131,0,0,0,24,155,350,33,383,0,,0,0
,Total,42511,1821,44332,10711,11635,22346,4506,71184,44813,1914,46727,2157,,0,2157
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,61,0,61,64,0,64,3,128,82,0,82,46,,0,46
,CZECH REPUBLIC,223,20,243,743,209,952,233,1428,210,25,235,143,,0,143
,HUNGARY,461,5,466,297,233,530,23,1019,294,6,300,118,,3,121
,POLAND,402,16,418,2572,1597,4169,43,4630,361,16,377,785,,25,810
,ROMANIA,58,4,62,301,0,301,9,372,84,4,88,113,,0,113
,RUSSIA,7188,246,7434,1587,837,2424,389,10247,4167,286,4453,447,,5,452
,TURKEY,2903,159,3062,1142,0,1142,147,4351,2626,158,2784,540,,0,540
,OTHER E. EUROPE,452,6,458,78,4,82,102,642,529,10,539,11,,0,11
,Total,11748,456,12204,6784,2880,9664,949,22817,8353,505,8858,2203,,33,2236
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,51,0,51,0,0,0,11,62,87,0,87,0,,0,0
,ARGENTINA,881,72,953,1304,880,2184,7,3144,992,121,1113,123,,38,161
,BRAZIL,20679,299,20978,4783,1700,6483,1476,28937,15854,590,16444,1632,,0,1632
,CHILE,2612,49,2661,144,3,147,197,3005,2792,95,2887,71,,0,71
,COLOMBIA,1620,68,1688,782,1790,2572,210,4470,2449,102,2551,25,,0,25
,COSTA RICA,272,14,286,119,405,524,35,845,306,20,326,72,,103,175
,DOMINICAN REPUBLIC,338,42,380,116,0,116,3,499,391,74,465,43,,0,43
,ECUADOR,168,21,189,254,0,254,0,443,282,30,312,311,,0,311
,EL SALVADOR,166,9,175,288,788,1076,11,1262,155,12,167,289,,788,1077
,GUATEMALA,461,15,476,96,504,600,26,1102,382,11,393,94,,72,166
,HONDURAS,63,15,78,19,0,19,8,105,112,15,127,1,,0,1
,MEXICO,10297,1414,11711,14373,18954,33327,1209,46247,12715,2696,15411,3957,,45,4002
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,869,85,954,450,0,450,109,1513,769,70,839,310,,0,310
,URUGUAY,394,13,407,181,0,181,7,595,483,20,503,153,,0,153
,VENEZUELA,194,244,438,127,248,375,0,813,285,399,684,0,,0,0
,OTHER LAT. AM. & CAR.,5449,1214,6663,290,9,299,278,7240,16951,1269,18220,171,,0,171
,Total,44514,3574,48088,23326,25281,48607,3587,100282,55005,5524,60529,7252,,1046,8298
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,24235,691,24926,8399,3626,12025,299,37250,19625,748,20373,4580,,306,4886
,INDIA,15715,310,16025,7930,4161,12091,240,28356,14879,428,15307,3350,,1,3351
,INDONESIA,1861,1266,3127,2799,1,2800,143,6070,3042,1575,4617,1497,,0,1497
,"KOREA, SOUTH",10304,75,10379,5650,20130,25780,474,36633,8088,75,8163,2829,,140,2969
,KUWAIT,462,33,495,75,0,75,17,587,490,123,613,44,,0,44
,MALAYSIA,559,290,849,1011,4858,5869,176,6894,495,347,842,462,,2,464
