,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2015
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,41501,8311,49812,15860,-30127,,3869,4432,1600,1697,0,273,,1601
,CANADA,7413,39931,47344,49653,25776,,38831,14350,1668,23242,0,9936,,22905
,FRANCE,169,13797,13966,60444,-4532,,27497,36801,7749,71781,13,42520,,71728
,GERMANY,18466,39438,57904,79650,24269,,29139,43550,9125,16867,0,9028,,16588
,ITALY,177,2395,2572,34242,2027,,2779,25742,8852,8776,3,2339,,8776
,JAPAN,11067,91830,102897,96136,126937,,4056,67157,28278,125206,1,61411,,125201
,LUXEMBOURG,19667,16723,36390,77086,-25967,,6900,5984,698,7457,25,1192,,7398
,NETHERLANDS,21908,6753,28661,67858,-21948,,24498,17539,2642,3887,1,2001,,3668
,SWEDEN,321,387,708,8590,2401,,4931,4195,1459,3555,0,1296,,3412
,SWITZERLAND,10689,1607,12296,44643,16561,,3784,5015,175,5506,0,3168,,5478
,UNITED KINGDOM,818688,295924,1114612,379414,302426,,62593,83268,10932,117342,1,48782,,116108
,Total,950066,517096,1467162,913576,417823,,208877,308033,73178,385316,44,181946,,382863
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5700,48091,53791,61670,18067,,23512,15821,2195,6611,9,4120,,6450
,AUSTRIA,3,98,101,5103,-56,,3748,4969,2486,2081,13,1514,,2080
,CYPRUS,0,0,0,1641,0,,0,248,1,199,0,148,,187
,DENMARK,1355,718,2073,12049,-1941,,253,3313,239,2242,0,1212,,2233
,FINLAND,190,199,389,4566,-273,,3219,2458,944,1878,0,388,,1878
,GREECE,32,1127,1159,2517,-998,,0,354,62,389,0,358,,115
,IRELAND,27213,36138,63351,71067,12662,,4001,11117,551,28264,3,4595,,28188
,ISRAEL,872,765,1637,3517,-311,,556,1555,44,168,0,168,,98
,NEW ZEALAND,19,754,773,2845,110,,163,547,78,141,8,103,,122
,NORWAY,133,731,864,7425,-653,,2494,2642,111,4320,0,306,,4074
,PORTUGAL,9,154,163,3099,-51,,169,1099,292,1432,50,596,,1432
,SLOVAKIA,69,475,544,1016,-297,,4,66,10,32,0,32,,0
,SPAIN,336,1783,2119,14523,2339,,2722,17334,3702,5848,24,1817,,5803
,OTHER NON G-10 DEV.,0,1,1,9418,4,,32,443,1,10,0,1,,0
,Total,35931,91034,126965,200456,28602,,40873,61966,10716,53615,107,15358,,52660
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,208,278,486,1044,-140,,75,59,0,35,3,35,,5
,CZECH REPUBLIC,1238,6523,7761,7842,572,,1487,845,234,633,1,632,,483
,HUNGARY,685,1272,1957,2334,1030,,786,1017,246,347,1,211,,278
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,2979,12333,15312,16138,-521,,5607,5018,3741,900,0,900,,900
,ROMANIA,492,1354,1846,1695,49,,747,768,87,74,0,74,,64
,RUSSIA,2305,4537,6842,10802,-1434,,575,2424,296,723,0,687,,721
,TURKEY,883,1228,2111,2883,997,,325,2250,239,2191,0,1779,,2069
,OTHER E. EUROPE,105,346,451,2456,96,,11,749,197,451,0,300,,451
,Total,8895,27871,36766,45194,649,,9613,13130,5040,5354,5,4618,,4971
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,1,0,1,751,0,,0,0,0,2455,0,588,,2455
,ARGENTINA,547,3735,4282,4835,1511,,447,939,128,229,1,229,,157
,BRAZIL,470,10718,11188,17380,11555,,3509,21638,2866,8836,123,8721,,7869
,CHILE,21,50,71,1860,2129,,1097,731,163,30,0,26,,29
,COLOMBIA,27,2683,2710,3706,953,,329,1088,100,219,0,164,,199
,COSTA RICA,358,342,700,759,590,,143,125,28,268,0,257,,22
,DOMINICAN REPUBLIC,82,231,313,395,39,,123,109,24,58,0,58,,0
,ECUADOR,421,1,422,612,67,,19,376,12,53,2,53,,0
,EL SALVADOR,1232,0,1232,1239,1242,,237,41,13,4,0,4,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,253,478,731,866,768,,175,55,0,278,0,278,,147
,HONDURAS,25,62,87,115,67,,56,24,3,9,0,4,,0
,MEXICO,4597,53813,58410,60334,18763,,20707,12046,1000,5424,2,4198,,5162
,MONTSERRAT,0,0,0,3,0,,0,0,0,0,0,0,,0
