,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2015
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,5364,509,5873,748,9,757,868,7498,2878,530,3408,20,,4,24
,CANADA,17137,1296,18433,23135,10784,33919,2499,54851,17648,1205,18853,6682,,29,6711
,FRANCE,21118,1496,22614,9009,6006,15015,2086,39715,22009,1426,23435,556,,5,561
,GERMANY,24028,794,24822,4709,194,4903,7227,36952,22531,808,23339,147,,9,156
,ITALY,9306,179,9485,5923,1475,7398,2022,18905,8320,139,8459,156,,45,201
,JAPAN,22684,349,23033,15913,3306,19219,1114,43366,21231,313,21544,1936,,2,1938
,LUXEMBOURG,14391,569,14960,355,3,358,1747,17065,17149,241,17390,239,,0,239
,NETHERLANDS,20779,243,21022,1102,115,1217,2501,24740,33427,233,33660,18,,1,19
,SWEDEN,2739,179,2918,79,7,86,153,3157,2794,178,2972,2,,0,2
,SWITZERLAND,9526,828,10354,3402,3178,6580,1769,18703,10110,811,10921,2960,,2740,5700
,UNITED KINGDOM,18616,5753,24369,47109,24410,71519,7593,103481,17192,5609,22801,12217,,1107,13324
,Total,165688,12195,177883,111484,49487,160971,29579,368433,175289,11493,186782,24933,,3942,28875
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,8601,1060,9661,10988,14329,25317,1027,36005,8795,1085,9880,1989,,0,1989
,AUSTRIA,2233,14,2247,29,30,59,146,2452,3212,13,3225,0,,0,0
,CYPRUS,273,72,345,81,0,81,71,497,894,72,966,0,,0,0
,DENMARK,2379,10,2389,22,0,22,774,3185,2097,8,2105,0,,0,0
,FINLAND,1202,3,1205,28,49,77,186,1468,1111,2,1113,0,,0,0
,GREECE,530,28,558,7,6,13,5,576,632,25,657,0,,0,0
,IRELAND,13205,345,13550,2064,294,2358,644,16552,13768,206,13974,398,,0,398
,ISRAEL,2394,378,2772,122,0,122,220,3114,1975,292,2267,148,,0,148
,NEW ZEALAND,508,81,589,450,862,1312,259,2160,738,81,819,3,,0,3
,NORWAY,2291,37,2328,55,1,56,336,2720,1963,29,1992,15,,0,15
,PORTUGAL,918,38,956,161,90,251,76,1283,881,42,923,22,,0,22
,SLOVAKIA,240,0,240,177,0,177,14,431,240,0,240,19,,0,19
,SPAIN,11368,830,12198,1216,811,2027,786,15011,12027,901,12928,16,,0,16
,OTHER NON G-10 DEV.,502,84,586,0,0,0,24,610,522,82,604,0,,0,0
,Total,46644,2980,49624,15400,16472,31872,4568,86064,48855,2838,51693,2610,,0,2610
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,55,1,56,61,0,61,2,119,82,0,82,30,,0,30
,CZECH REPUBLIC,206,24,230,2954,2340,5294,158,5682,228,23,251,420,,0,420
,HUNGARY,790,8,798,346,232,578,50,1426,708,7,715,139,,1,140
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,439,15,454,3994,6805,10799,49,11302,400,14,414,1083,,3587,4670
,ROMANIA,57,5,62,296,0,296,2,360,100,5,105,99,,0,99
,RUSSIA,6724,350,7074,1241,781,2022,195,9291,3801,285,4086,391,,12,403
,TURKEY,3183,204,3387,1172,0,1172,190,4749,3029,173,3202,527,,0,527
,OTHER E. EUROPE,606,12,618,63,4,67,5,690,660,4,664,11,,0,11
,Total,12060,619,12679,10127,10162,20289,651,33619,9008,511,9519,2700,,3600,6300
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,61,1,62,0,0,0,4,66,92,1,93,0,,0,0
,ARGENTINA,705,224,929,1593,1436,3029,7,3965,1031,248,1279,156,,112,268
,BRAZIL,24186,1218,25404,4699,1386,6085,2637,34126,18255,1089,19344,1709,,1,1710
,CHILE,3774,89,3863,158,1,159,355,4377,4096,142,4238,5,,0,5
,COLOMBIA,2869,275,3144,641,1512,2153,185,5482,3476,218,3694,21,,0,21
,COSTA RICA,297,25,322,91,396,487,35,844,361,40,401,64,,98,162
,DOMINICAN REPUBLIC,411,71,482,102,0,102,3,587,571,144,715,30,,0,30
,ECUADOR,303,95,398,236,0,236,0,634,554,102,656,278,,0,278
,EL SALVADOR,138,42,180,247,788,1035,7,1222,174,48,222,250,,788,1038
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,564,49,613,84,493,577,49,1239,585,73,658,67,,82,149
,HONDURAS,83,33,116,28,0,28,8,152,177,46,223,2,,0,2
,MEXICO,14324,3088,17412,15711,19122,34833,1229,53474,18379,3662,22041,4667,,57,4724
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1213,141,1354,462,0,462,91,1907,1275,165,1440,238,,0,238
,URUGUAY,346,27,373,244,32,276,12,661,634,82,716,208,,4,212
,VENEZUELA,358,971,1329,157,267,424,0,1753,902,1381,2283,0,,0,0
,OTHER LAT. AM. & CAR.,5886,715,6601,460,344,804,193,7598,18288,815,19103,270,,194,464
,Total,55518,7064,62582,24913,25777,50690,4815,118087,68850,8256,77106,7965,,1336,9301
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,15918,1213,17131,7815,3695,11510,359,29000,11927,1256,13183,3573,,278,3851
,INDIA,13280,201,13481,8192,4324,12516,215,26212,12282,138,12420,3435,,1,3436
,INDONESIA,1880,1267,3147,2624,1,2625,119,5891,2959,1397,4356,1328,,0,1328
,"KOREA, SOUTH",9259,77,9336,5184,18199,23383,794,33513,7007,74,7081,2818,,127,2945
,KUWAIT,468,32,500,72,0,72,13,585,502,130,632,40,,0,40
,MALAYSIA,636,309,945,846,4149,4995,217,6157,588,321,909,477,,1,478
,PAKISTAN,83,11,94,161,0,161,0,255,144,11,155,26,,0,26
