,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2015
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,123,0,0,123,100,1,2123,2,0,2125,2123,0,127,0,0,127,,143,0
,CANADA,10908,2556,3148,16612,21426,780,13413,1177,380,14970,1060,13,8442,675,235,9352,,8626,69
,FRANCE,6690,473,165,7328,6295,13,8417,162,0,8579,8414,0,2262,1031,2,3295,,2217,0
,GERMANY,5847,219,221,6287,2468,18,2413,6,1,2420,1958,0,468,42,0,510,,214,0
,ITALY,43,233,0,276,38,0,13,94,0,107,9,0,23,111,0,134,,7,0
,JAPAN,6652,916,2,7570,4968,0,1657,17,0,1674,1657,0,6452,149,12,6613,,6442,0
,LUXEMBOURG,372,67,4,443,148,5,1775,379,0,2154,1758,1,1745,0,17,1762,,1798,0
,NETHERLANDS,880,220,20,1120,553,31,837,0,0,837,806,0,370,40,10,420,,324,0
,SWEDEN,1799,293,0,2092,1263,2,220,1,0,221,316,0,330,0,0,330,,330,0
,SWITZERLAND,2102,50,79,2231,721,2,0,1,0,1,0,0,215,29,8,252,,74,29
,UNITED KINGDOM,14003,3079,1343,18425,11706,1809,942,5401,0,6343,157,1,5350,495,1667,7512,,5847,96
,Total,49419,8106,4982,62507,49686,2661,31810,7240,381,39431,18258,15,25784,2572,1951,30307,,26022,194
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5560,7613,119,13292,5250,91,0,294,0,294,77,0,228,38,990,1256,,283,23
,AUSTRIA,7,1,0,8,3,0,97,0,0,97,97,0,119,1,0,120,,119,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,DENMARK,298,1,3,302,282,0,0,0,0,0,0,0,2,0,0,2,,2,0
,FINLAND,888,11,0,899,888,0,355,1,0,356,355,0,75,0,0,75,,75,0
,GREECE,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,,24,0
,IRELAND,404,949,0,1353,266,52,13,3,0,16,0,0,612,120,2084,2816,,217,57
,ISRAEL,73,55,4,132,70,0,144,6,0,150,151,0,1,0,0,1,,1,0
,NEW ZEALAND,84,718,0,802,90,0,0,2,0,2,0,0,15,0,0,15,,15,0
,NORWAY,887,32,0,919,1086,0,364,0,0,364,272,0,37,0,9,46,,37,0
,PORTUGAL,4,2,0,6,3,0,132,0,0,132,132,0,0,2,0,2,,0,0
,SLOVAKIA,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SPAIN,1999,57,51,2107,937,1,61,2,0,63,13,0,225,101,0,326,,30,0
,OTHER NON G-10 DEV.,11,1,0,12,9,0,13,0,0,13,13,0,11,0,0,11,,200,0
,Total,10223,9441,177,19841,8891,144,1179,308,0,1487,1110,0,1325,262,3083,4670,,1003,80
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,CZECH REPUBLIC,51,477,0,528,53,10,0,544,0,544,0,0,0,155,0,155,,0,0
,HUNGARY,22,2,0,24,16,0,0,0,0,0,0,0,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,63,1398,0,1461,24,86,21,275,0,296,21,0,2,63,0,65,,2,10
,ROMANIA,5,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,,0,0
,RUSSIA,26,17,0,43,15,1,0,6,0,6,0,0,0,0,0,0,,0,0
,TURKEY,329,2,0,331,372,2,3,0,0,3,3,0,4,0,0,4,,4,0
,OTHER E. EUROPE,13,3,0,16,17,3,0,0,0,0,0,0,0,0,0,0,,11,0
,Total,515,1899,0,2414,504,102,24,825,0,849,24,0,6,218,0,224,,17,10
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,41,0,0,0,0,0,0,0,47,0,0,47,,0,0
,ARGENTINA,27,160,0,187,8,2,7,1,0,8,1,0,13,11,0,24,,3,5
,BRAZIL,4774,19,10,4803,3215,0,697,0,0,697,682,0,238,6,0,244,,225,0
,CHILE,209,67,9,285,190,1,5,3,4,12,5,0,19,0,0,19,,25,1
,COLOMBIA,596,1,6,603,636,0,14,0,0,14,14,0,45,0,3,48,,46,0
,COSTA RICA,183,0,0,183,230,0,0,0,0,0,0,0,0,0,0,0,,7,0
,DOMINICAN REPUBLIC,203,0,0,203,259,0,0,0,0,0,0,0,4,0,0,4,,2,0
,ECUADOR,1,25,0,26,1,0,0,1,0,1,0,0,1,0,0,1,,1,0
,EL SALVADOR,91,0,0,91,142,0,0,0,0,0,0,0,9,0,0,9,,10,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,295,0,0,295,406,0,0,0,0,0,0,0,0,0,0,0,,0,0
,HONDURAS,18,0,0,18,24,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MEXICO,1141,540,8,1689,1066,7,2013,107,0,2120,2005,0,525,151,0,676,,485,3
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,260,0,0,260,267,0,30,0,0,30,30,0,2,0,0,2,,3,0
,URUGUAY,1,15,0,16,15,5,0,587,0,587,0,470,0,0,0,0,,3,0
,VENEZUELA,8,0,0,8,16,0,12,0,0,12,22,0,1,0,0,1,,1,0
,OTHER LAT. AM. & CAR.,14,2,2,18,53,1,5,43,0,48,5,43,106,0,4,110,,154,0
,Total,7821,829,35,8685,6569,16,2783,742,4,3529,2764,513,1010,168,7,1185,,965,9
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,1899,456,1,2356,1563,142,1729,413,0,2142,1729,5,211,118,1,330,,211,27
,INDIA,298,233,0,531,435,31,18,171,0,189,18,0,60,30,0,90,,60,0
,INDONESIA,29,0,0,29,73,4,2,0,0,2,2,0,0,0,0,0,,0,0
,"KOREA, SOUTH",276,8,0,284,229,0,339,0,4,343,28,0,2908,0,0,2908,,2908,0
,KUWAIT,254,0,0,254,153,0,0,0,0,0,0,0,0,0,0,0,,0,0
,MALAYSIA,358,19,1,378,100,4,55,0,0,55,55,0,0,0,0,0,,0,0
,PAKISTAN,11,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PHILIPPINES,1,40,0,41,38,20,12,0,0,12,12,0,1,0,0,1,,1,0
,QATAR,275,0,0,275,281,0,12,0,0,12,12,0,0,0,0,0,,0,0
,SAUDI ARABIA,193,16,0,209,191,0,29,0,86,115,29,0,6,1,0,7,,6,0
,TAIWAN,244,33,0,277,230,0,0,1,0,1,0,0,8,8,0,16,,5,0
,THAILAND,12,36,0,48,32,0,0,0,0,0,0,0,0,0,0,0,,0,0
,UNITED ARAB EMIRATES,305,0,0,305,321,0,19,0,0,19,0,0,0,0,0,0,,4,0
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,45,6,0,51,194,0,15,0,0,15,15,0,168,0,1,169,,718,0
