,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2015
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,13704,275,8682,5110,19089,1181,4839,22748
,CANADA,41538,6208,29729,31693,79439,6080,3641,76999
,FRANCE,150471,226,122847,3194,153891,7195,16653,163346
,GERMANY,109613,212,72377,35670,145495,7754,18595,156335
,ITALY,46375,265,34052,4692,51332,4918,2322,48736
,JAPAN,53436,55843,89220,173767,283046,6035,17446,294459
,LUXEMBOURG,41166,560,24101,4569,46295,8445,2472,40322
,NETHERLANDS,75476,22,30142,7881,83379,14716,3187,71849
,SWEDEN,16128,3,11227,605,16736,1635,1109,16210
,SWITZERLAND,25252,5895,23729,16689,47836,3862,5639,49614
,UNITED KINGDOM,81346,107548,138010,244049,432943,30204,32840,435577
,Total,654505,177057,584116,527919,1359481,92025,108743,1376195
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,27608,3156,15239,42023,72787,4408,2529,70906
,AUSTRIA,13145,0,7152,2,13147,1630,778,12295
,CYPRUS,1911,0,1026,0,1911,798,2,1116
,DENMARK,7775,28,6402,42,7845,185,2285,9945
,FINLAND,8822,6,5483,15,8843,99,1009,9752
,GREECE,1059,0,545,144,1203,301,164,1065
,IRELAND,65383,4951,48962,2720,73054,10378,3646,66319
,ISRAEL,3500,174,2156,925,4599,451,500,4651
,NEW ZEALAND,1505,8,1314,1610,3123,450,41,2715
,NORWAY,10732,8,8445,85,10825,512,972,11285
,PORTUGAL,3867,22,2763,96,3985,777,234,3442
,SLOVAKIA,255,19,56,216,490,19,34,505
,SPAIN,35281,91,25686,1652,37024,2808,1871,36089
,OTHER NON G-10 DEV.,2600,1,2234,5,2606,1510,277,1373
,Total,183443,8464,127463,49535,241442,24326,14342,231458
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,94,125,117,222,441,63,0,378
,CZECH REPUBLIC,1276,191,871,3489,4956,155,42,4844
,HUNGARY,1784,180,1363,2023,3987,278,142,3850
,POLAND,5272,1220,5133,10164,16656,463,75,16266
,ROMANIA,373,368,576,1562,2303,131,0,2173
,RUSSIA,6250,779,3826,4268,11297,1015,3733,14015
,TURKEY,15647,824,13903,2317,18788,1296,2237,19730
,OTHER E. EUROPE,2362,14,1775,505,2881,430,17,2471
,Total,33058,3701,27564,24550,61309,3831,6246,63727
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,2929,0,2926,0,2929,46,3,2884
,ARGENTINA,1481,631,1621,4083,6195,708,44,5530
,BRAZIL,37766,3553,25778,22364,63683,5922,14978,72741
