,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2015
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,17657,6481,638,5843,3579,27717,,13195,255,27013,26395,11629,,11003,53
,CANADA,83389,46857,7235,39622,18450,148696,,77280,11657,50278,49663,23147,,23029,408
,FRANCE,159296,5911,308,5603,22261,187468,,50371,4245,338067,330154,157479,,150677,538
,GERMANY,122611,45056,683,44373,33965,201632,,33876,4405,304360,302600,144876,,143857,877
,ITALY,42741,5207,263,4944,22419,70367,,9477,1142,301598,305471,83829,,87780,245
,JAPAN,86240,225099,58128,166971,13541,324880,,37130,5051,147654,145559,70405,,68167,123
,LUXEMBOURG,40122,7509,296,7213,6285,53916,,7817,2621,31536,32216,12747,,13622,731
,NETHERLANDS,62596,8114,886,7228,13460,84170,,24437,3775,165483,164864,74421,,74477,1230
,SWEDEN,22103,920,8,912,1818,24841,,6130,331,59325,58292,29669,,28795,126
,SWITZERLAND,36339,21081,6195,14886,8146,65566,,13627,5276,106811,102519,55480,,51722,1929
,UNITED KINGDOM,100075,332646,99614,233032,114415,547136,,150934,12267,457850,465994,219865,,230251,1599
,Total,773169,704881,174254,530627,258339,1736389,,424274,51025,1989975,1983727,883547,,883380,7859
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,36088,50704,3324,47380,6731,93523,,24324,2326,91476,89605,38729,,37528,452
,AUSTRIA,11244,52,0,52,969,12265,,1592,105,23661,24497,9504,,10396,39
,CYPRUS,1376,0,0,0,487,1863,,362,15,949,942,420,,413,5
,DENMARK,9397,126,5,121,2359,11882,,2746,121,16840,16907,7752,,7855,20
,FINLAND,10979,101,0,101,2468,13548,,1363,235,34011,32811,15944,,14921,5
,GREECE,2422,307,0,307,919,3648,,98,254,6544,6429,3329,,3246,0
,IRELAND,58243,6224,1794,4430,4850,69317,,8463,2523,25006,24478,12592,,12069,25
,ISRAEL,3994,1052,267,785,807,5853,,5697,337,7863,7791,3241,,3179,80
,NEW ZEALAND,1902,1520,13,1507,814,4236,,943,96,5336,5444,2508,,2635,14
,NORWAY,12104,80,1,79,897,13081,,3160,505,21380,21049,10561,,10281,65
,PORTUGAL,3780,88,4,84,214,4082,,321,81,44510,43069,17367,,15918,39
,SLOVAKIA,300,250,11,239,91,641,,63,61,3756,3820,1069,,1134,8
,SPAIN,41846,2715,122,2593,3718,48279,,5987,1191,138512,134015,56909,,52641,300
,OTHER NON G-10 DEV.,1392,2,0,2,262,1656,,512,33,1951,1827,879,,762,2
,Total,195067,63221,5541,57680,25586,283874,,55631,7883,421795,412684,180804,,172978,1054
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,87,300,64,236,2,389,,19,59,5079,5089,2060,,2071,0
,CZECH REPUBLIC,1004,3883,191,3692,223,5110,,903,386,3300,3440,1060,,1202,15
,HUNGARY,1810,1850,161,1689,453,4113,,976,308,14785,14587,4161,,3992,152
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,2520,10482,1347,9135,125,13127,,4250,369,11234,11058,3690,,3517,83
,ROMANIA,350,2006,419,1587,15,2371,,104,141,4221,4231,1992,,2003,37
,RUSSIA,8557,4539,988,3551,751,13847,,1372,263,79780,78030,22556,,20958,146
,TURKEY,16281,2862,726,2136,1743,20886,,644,330,53826,52718,14754,,13637,4694
,OTHER E. EUROPE,1839,466,10,456,97,2402,,132,199,16248,16327,6116,,6201,167
,Total,32448,26388,3906,22482,3409,62245,,8400,2055,188473,185480,56389,,53581,5294
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,3129,0,0,0,55,3184,,197,0,0,0,0,,0,1
,ARGENTINA,1647,4879,1059,3820,12,6538,,1563,72,7,17,7,,17,254
,BRAZIL,54138,24525,3454,21071,3640,82303,,5648,2179,54712,54317,19906,,19517,8505
,CHILE,9168,2403,248,2155,1354,12925,,910,200,5973,6353,2459,,2866,3358
,COLOMBIA,7659,3334,137,3197,563,11556,,3169,687,11144,11757,3659,,4286,1651
,COSTA RICA,1071,1077,451,626,32,2180,,431,143,97,78,67,,46,365
,DOMINICAN REPUBLIC,1301,448,45,403,2,1751,,52,177,104,109,104,,109,530
,ECUADOR,895,435,409,26,58,1388,,42,160,10,0,10,,0,152
,EL SALVADOR,390,1515,1515,0,2,1907,,405,155,158,158,58,,58,194
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,56,59,56,,59,0
,GUATEMALA,1687,1206,365,841,55,2948,,511,127,0,20,0,,20,1071
,HONDURAS,551,129,43,86,48,728,,48,25,0,0,0,,0,150
,MEXICO,25786,72317,7057,65260,3235,101338,,23127,1840,42676,46155,13556,,17218,1626
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,3593,1604,1147,457,203,5400,,171,269,7677,8048,2441,,2793,946
,URUGUAY,750,403,245,158,118,1271,,55,161,64,30,54,,21,93
,VENEZUELA,1569,1026,2,1024,3,2598,,221,35,10939,10869,3429,,3370,8
,OTHER LAT. AM. & CAR.,15330,1852,761,1091,903,18085,,1703,576,499,597,216,,314,256
,Total,128664,117153,16938,100215,10283,256100,,38253,6806,134116,138567,46022,,50694,19160
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,55858,34698,7124,27574,4097,94653,,8115,2397,55143,54941,21074,,21119,6416
,INDIA,45521,33103,4007,29096,585,79209,,9163,1754,10220,9662,5104,,4720,11470
,INDONESIA,6258,6542,4146,2396,138,12938,,1970,258,19542,19402,5249,,5113,964
,"KOREA, SOUTH",29261,43851,4897,38954,3179,76291,,10339,4649,57345,58320,22045,,21598,4038
